date,daily_volume,bin_num,bin_volume,quote_imbalance,volatility
2020-09-01,52006532,0,352986,0.2554355377449027,
2020-09-01,52006532,1,9846066,-0.5454307756108966,
2020-09-01,52006532,2,3773063,-0.48751872201328056,
2020-09-01,52006532,3,2469654,-0.1335084089292182,
2020-09-01,52006532,4,2588878,-0.5380110386766774,0.003397385268901196
2020-09-01,52006532,5,2491200,-0.016026347140419745,0.0035723140891981997
2020-09-01,52006532,6,1140588,0.08776398306483699,0.002719755802402941
2020-09-01,52006532,7,1568338,-0.20182184091953925,0.0021070488506674014
2020-09-01,52006532,8,1615561,-0.009821071612399647,0.0018771704796734638
2020-09-01,52006532,9,1877400,-0.02677701753749839,0.0020877989083516063
2020-09-01,52006532,10,1357577,0.40674416939388636,0.002287791901880505
2020-09-01,52006532,11,1223300,0.2472868574671282,0.0024122562817534437
2020-09-01,52006532,12,1263983,-0.0453194972582235,0.0022609488377900292
2020-09-01,52006532,13,1430879,0.16951120579313636,0.002067153093924428
2020-09-01,52006532,14,1250948,-0.23203710821848536,0.002206633562406591
2020-09-01,52006532,15,1168227,-0.1203044831024045,0.00236027255532844
2020-09-01,52006532,16,1445200,0.21300222369813301,0.0023210955481815124
2020-09-01,52006532,17,1596500,0.1327478390029055,0.002222677099181187
2020-09-01,52006532,18,2002314,0.2811504539088813,0.0019630600247813957
2020-09-01,52006532,19,1797100,0.18809855792662378,0.0016763101397650833
2020-09-01,52006532,20,1271100,0.25030927161860644,0.00178897423745073
2020-09-01,52006532,21,1766288,-0.22155585142686407,0.0016913144698192132
2020-09-01,52006532,22,1771821,0.16246701340423514,0.0016923930180933317
2020-09-01,52006532,23,2746100,0.00748791951409019,0.0017916965122297152
2020-09-01,52006532,24,2191461,-0.09148808240180137,0.0017332977862671295
2020-09-02,72550775,0,474900,0.33870027959613963,0.0018846512834794157
2020-09-02,72550775,1,3521855,0.09078816884154745,0.0015997654971557597
2020-09-02,72550775,2,2837816,0.0689814994835271,0.0025714422793161537
2020-09-02,72550775,3,3447302,0.6821554610900257,0.002609496949630318
2020-09-02,72550775,4,3433329,0.35938910819825015,0.002806350898467383
2020-09-02,72550775,5,3149825,0.21651141502591745,0.002910543335857372
2020-09-02,72550775,6,1548171,0.283666448531129,0.0021494483751690763
2020-09-02,72550775,7,1971407,0.44634580625363707,0.002057991116941997
2020-09-02,72550775,8,3995047,-0.06568378930581176,0.0017785964480676712
2020-09-02,72550775,9,2054707,0.06872958754924278,0.0019431479216015586
2020-09-02,72550775,10,3755637,-0.29383014199999,0.002509609925785583
2020-09-02,72550775,11,6682968,-0.2195122837389615,0.003033818368240319
2020-09-02,72550775,12,1777600,-0.10202423333519202,0.003251748842317459
2020-09-02,72550775,13,1559530,-0.5756013559654465,0.003154737919045451
2020-09-02,72550775,14,1979625,-0.49568229941737735,0.002684911258458073
2020-09-02,72550775,15,3090635,0.15644844495079102,0.0021154398807191636
2020-09-02,72550775,16,4673647,-0.30518595071142623,0.0018903377926430712
2020-09-02,72550775,17,4812281,0.14272625103645634,0.00210426396123496
2020-09-02,72550775,18,4866931,0.12521573966571312,0.0024466371613700594
2020-09-02,72550775,19,1954501,-0.43154482228771535,0.002375033966914787
2020-09-02,72550775,20,2750547,0.05628671217095232,0.0021482023373646463
2020-09-02,72550775,21,1652800,-0.18635845059930256,0.002032241857824892
2020-09-02,72550775,22,1968610,-0.06084498555559056,0.001600090658328896
2020-09-02,72550775,23,2379752,-0.028628502033954374,0.0016004744858419302
2020-09-02,72550775,24,2211352,0.17872546867936798,0.0019612229075152035
2020-09-03,79264755,0,871078,-0.4257903327221878,0.0018633136761624417
2020-09-03,79264755,1,4833490,-0.2518031577429886,0.001648201755506264
2020-09-03,79264755,2,4417955,0.18204157836050364,0.002929630541475093
2020-09-03,79264755,3,3479141,-0.29045446620659876,0.0029770588406730766
2020-09-03,79264755,4,5442040,-0.4213291475931334,0.0033612641717118766
2020-09-03,79264755,5,5120259,0.06491010100797975,0.0037806770221012606
2020-09-03,79264755,6,2837790,-0.4544929156035439,0.0032598050394204406
2020-09-03,79264755,7,5688441,-0.2788413839538231,0.0030092911757887766
2020-09-03,79264755,8,11179077,0.26083591477479934,0.002828156151742214
2020-09-03,79264755,9,3161100,0.4207342109455195,0.003325512468094911
2020-09-03,79264755,10,1544500,0.35458108325072163,0.0036113575783646074
2020-09-03,79264755,11,3133160,0.22537040000469122,0.003682490099490849
2020-09-03,79264755,12,2055500,0.28820183407647487,0.003975586747063713
2020-09-03,79264755,13,2192497,0.2586513334066696,0.0033411935082190486
2020-09-03,79264755,14,1651400,0.4166821702336373,0.0027385888505606906
2020-09-03,79264755,15,1257227,-0.12999457667026712,0.0026420517361768676
2020-09-03,79264755,16,1209476,-0.3748393571825419,0.0017874391322556494
2020-09-03,79264755,17,1463300,0.10771891010204755,0.0014392372070722158
2020-09-03,79264755,18,1795300,0.4335169246088399,0.0015148524595571383
2020-09-03,79264755,19,2220258,-0.07216838301019983,0.0016203885465879933
2020-09-03,79264755,20,1497987,0.13115434472988513,0.0021979594573192174
2020-09-03,79264755,21,3024454,-0.33370166489925335,0.002299228301816444
2020-09-03,79264755,22,2618300,-0.33295192141999763,0.0025940076541873824
2020-09-03,79264755,23,3455900,-0.07694474378071736,0.0026722989337625656
2020-09-03,79264755,24,3115125,-0.18575954417332263,0.0022219408046016288
2020-09-04,80884045,0,847600,0.07998642299729168,0.002072655565845873
2020-09-04,80884045,1,6225209,-0.037642881305868896,0.0013033131227908339
