,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24
2020-05-13,['垃圾'],['下跌步骤' '下跌步骤'],['什么样的公司管理，就什么样的股价!已经清仓，笑看剪羊毛'],[],[],[],[],[],[],[],['加油！'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2020-05-14,[],[],[],[],[],[],[],[],[],[],[],['各位大神，有谁知道怎么才能参加股东大会，该怎么操作'],[],[],[],[],[],[],[],[],[],[],[],[],[]
2020-05-15,['国家环境整治督查组点名' '垃圾' '金融支持粤港澳大湾区：探索建立跨境理财通机制'],[],['上市20多年，5.56元的增发价至今才2.70元，3年国有资产贬值30亿。这种企'],[],[],[],[],[],[],[],[],[],[],[],[],['物以稀为贵'],[],[],[],[],['你们别忘记了，它还有5亿官司'],[],[],[],[]
2020-05-18,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2020-05-19,['混改没那么快'],[],[],['一分钟三四笔的交易厉害'],[],['改名，漳州烂泥'],[],[],[],[],['烂就要烂透，才会有质变' '何时能涨？'],[],[],[],[],['我观察了十分钟，以我炒股二十年经验，000753漳州发展，在做差价出货，毫无新意'],[],[],[],[],['漳州高价增发国有资产3年贬值30亿僵尸股'],[],[],[],[]
2020-05-20,[],[],[],[],[],[],['昨天那个1万手割肉了[滴汗][滴汗]'],[],['对漳发2019年工作不满意你就投反对票'],['漳发今天古董大会，2019年工作怎么样？股东们还满意吗？'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2020-05-21,"['漳州发展:关于全资子公司漳州发展水务集团有限公司与关联方签署关联交易合同的公告' '漳州发展:2019年年度股东大会决议公告'
 '漳州发展:第七届董事会第二十二次决议公告' '漳州发展:2019年年度股东大会法律意见书' '股东大会决议都开出什么结果？']",[],[],[],[],[],[],[],[],[],[],[],[],['无言的结局……什么时候可以见到3块？什么时候才可以解套？'],[],['不关心国有资产3年贬值30亿，却热衷于担保并承担一切责任!没有一股，却代表百分之'],[],[],[],[],['万手单来了。' '人生赌博，炒股靠博。'],['买有一半一半的博。不买就是无得博。信不信由你。'],[],[],[]
2020-05-22,['应该说福建漳州是个好地方。四季花果飘香。也有很多农业项目。闽台农业合作交流。漳州' '跌！跌到一块试试！' '垃圾'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2020-05-25,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['懂事不懂资本市场，高价圈钱，点钱看贬值!漳州烂股几分钟成交不了几手，纯属浪费资源'],[],[],[],[],[],[],[],[],[]
2020-05-26,['这个票16年初到现在我买了三次，都是亏损出来，太难熬，最后还是放弃了，我出了，祝'],[],['先看3元再说！'],[],[],[],[],[],[],[],[],['就算大盘涨到400点，漳州僵尸股也涨不到5.56元的高价增发价'],[],['5.56元的高价增发价到手了，担保并以公司名义承担连带责任已经完成了，至于股东的'],[],[],[],[],[],[],[],[],['超低价的国企混改已是国家支持的核心全面发展。这是国家战略发展定向方针。'],[],[]
2020-05-27,"['假如牛市来了。你买啥股最赚钱。就买业绩稳定国资委控股的低价股。拿得好可以赚4一5' '国资委重组'
 '对这股一直抱有希望，总有种感觉让我坚持持有~']",[],[],[],[],[],['怎么上去的就怎么下来快点！'],[],[],[],[],[],[],['真是一只疆尸股'],[],[],[],[],[],[],[],[],[],[],[]
2020-05-28,[],['站上周线我就买一点！' '漳州发展不值5.56元，却5.56元增发，就是欺诈'],[],[],[],[],[],[],[],['不跑就等死！'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2020-05-29,['看高管增减持黄伟鹏的5900股减持还走的是竞价交易，还要上个公告。为什么那？'],[],[],[],[],[],[],[],['怂货，今天不跟平潭发展了？'],[],[],['僵尸，天天熊'],[],[],[],[],[],[],[],[],[],[],[],[],[]
2020-06-01,[],['漳州发展3年贬值30亿背后的黑幕'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['今天正常啊， 总是跑不赢大盘' '我发的帖子呢'],[],[],[],[],[],[]
2020-06-02,['这企业里面估摸着养了一大帮高管饿鬼弄得国有资产贬值股价如此之低' '炒股就是这样的心态平和一点'],[],['国有资产3年贬值30亿为哪般?担保连带责任?投资没有业绩?蛀虫?'],[],['商业百货都涨3个多点了，000753在干什么？'],['不到3元我一股都不会卖！'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['最后十分钟冲3！不敢想象！'],[]
