,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24
2020-05-13,"['肇万研究札记：影视公司的一些研究心得' '明天涨停' '不要说影视行业就是许多地方电视台也很难过日子了。短视频年代互联网时代，优秀的美剧'
 '4G时代，视频需求从坐等变成了主动获取，电视台不行了，看样子电视剧和电影院也要歇'
 '影视是周期行业，没有三五年很难复苏。而且新兴明星越来越烂，都是靠背景买的主角。没' '4G时代，视频需求从坐等变成了主动获取，电视台不行了'
 'MSCI中国A股在岸指数增加成份股61只，其中华策影视被纳入MSCl成分股！恭喜'
 '热烈祝贺华策影视首次被纳入MSCI中国A股在岸指数！外资准备来扫货了' '热烈祝贺华策影视被納入MSCI中国A股在岸指数'
 '华策影视05月12日获深股通加仓139.00万股']",[],[],['业绩最好就是你了，跌得最多也是你'],['谁在砸盘？光线又要红盘了'],['割肉完了吗？'],[],['创业板创新高了，你好意思吗？' '网红直播火箭发射了' '主力有出不完的货'],['买单埋大单，跌跌不休'],['网红直播火箭了'],['lj中的战斗机啊' '还浙江杭州的，丢人现眼……天天就知道套人' 'Md洗够没有，完全是浪费行情'],"['7.29元/股，买5000股底仓，打新用。' '你们这群骂的人割肉才会起，会有一根五个点左右下引才会启动' '稍等一等。'
 '简单说说：在疫情情况下，一季度业绩大增，主要是非电影剧驱动。从一季度首播、存货和']",[],[],[],[],[],[],['不累就压着吧！大盘好不趁势拉？'],[],[],['赶紧掉到6块我准备进'],[],[],[]
2020-05-14,"['MSCI中国A股在岸指数新增华策影视等61只成份股' '华策影视被纳入MSCI中国A股在岸指数'
 '新时代茅台挖掘第一季兄弟姐妹们，大家好。我开始对华策影视和慈文传媒建仓了，原因是'
 '华策暖暖请多指教5.13腾迅开播6.11追光者北京卫视开播' '主要想表达什么？' '华策影视05月13日获深股通减仓67.13万股']",[],[],[],['就是要磨，磨的一点脾气没有，要不直接干到年线加仓，要不就涨上去'],[],[],[],[],['追，主力异动'],['主力天天拉高吸引跟风盘就溜，散户一追就傻了'],[],[],['就是压着不让涨，货还没吃够' '神仙打架，哔哩哔哩'],['电影院有救了？全国影剧院预约限流开放'],[],['麻叶它也是网红直播'],[],[],[],['第一财经称，对影视业减费！'],[],[],[],[]
2020-05-15,"['政策己出，今年影视业减兔税费，整个版块上涨。' '请问至5月10日股东人数是多少，谢谢！'
 '请问一季度毛利率大幅提升的原因是不是疫情影响了拍摄活动，减少了营业支出？' '最近大股东套现的步伐明显加快，为什么？'
 '又一家影视传媒股退市乐视网。' '北上资金已大量买进华策，约占22%。北上看好华策，且现在位置低，业绩不错，所以本' '退市股越来越多'
 '4.0' '#上市公司最新财报解读#灿星文化寒冬中再闯IPO：降薪、裁员难挽业绩直降' '龙灏：刺激大消费，影视有机会'
 '华策影视05月14日获深股通加仓71.93万股' '股吧里面智能机器人太多，感觉像是股友发言，其实都是官方投放的智能机器人']",[],[],['强洗，会有下行风险？'],[],[],[],[],[],['开始出货了' '我来抄底了，哈哈，拿半年翻倍'],['感觉是一只被低估的股票，加自选。六月探底以后再考虑你。' '底应该就是6.5元' '基金出货' '抄底！抄底！' '经常盘中对敲拉高出货'],[],[],['太垃圾了'],['资金都去搞科技股了，没办法'],[],[],['已建底仓欢迎下跌谢谢老板'],[],['影视业今年大幅亏损，退市，所以大股东急忙套现'],['国内机构搞垃圾科技股，抱团取暖割小散韭菜。我还是跟北向资金比较靠谱，虽慢点但安全'],['跌下来高兴，今天加点仓位，不急！' '周一定破7.2，立贴为证，打算买入的周一、二买也不迟'],['喋喋不休'],['7.2左右建一点，破7全仓和主力一样节奏'],['今年影视业都是大幅亏损，谁买' '现在是北上割机构，机构割小散，所以必须跟着北上投资比较靠谱！']
2020-05-18,"['一位乐视网股民的人间、天上、地狱…持股8年百倍收益，灰飞烟灭仅用11天'
 '罗平锌电这个超级垃圾除了上市第一年为原始股东分配过仅有的一次外，十年未送过1股，' '杭州的耻辱，中国电影是永远没前途的记住']",[],['今天如果拉回涨3个点，调整结束，拉平下跌调整继续'],[],[],[],[],[],[],[],['吸的差不多就是了，走势洗烂了大家都没钱赚' '莫非短期调整结束了？'],[],[],['影视行业是很腐败的一个行业，水深不可测，看空[想一下]'],[],[],[],[],[],['为什么不往下狠砸呢？不上不下？不像你的风格啊！' '现在股东极少，筹码都在机构手里。'],[],[],[],[],['不跌到6我不买']
2020-05-19,"['今天科技跌成这样了，他又不是科技，有利空会下杀一波，没利空就继续震荡，不到起的时' '请问二季度播出的影视剧有哪些？有哪些即将上映？'
 '华策影视:2019年年度股东大会决议公告' '华策影视:2019年年度股东大会的法律意见书'
 '华策影视05月18日获深股通减仓105.53万股']",[],['安心持有就是了，无需多说'],[],['今天要牛叉一次！' '华策，有时候你还有点意外！！'],[],[],[],[],[],[],['半死不活了那么久，一卖就涨，韭菜命'],[],[],[],[],[],[],['等待向上突破……'],[],['开学了，放假了，看电影喽'],[],['终于解套了，走了兄弟们'],[],[]
2020-05-20,"['向上吧' '论华策影视创新低的可能性1，行业处于低迷时期，光线华谊进军电视行业加剧竞争摊薄毛'
 '华策影视05月19日获深股通加仓271.90万股' '长城影视都涨停了']",[],[],[],[],[],['douride弱鸡一个，对的起这么多人唱空么，包括我[怒]'],[],[],[],['给力吗？华策？'],['《今天华谊万达诱多传媒整个板块 请转发其他吧 》明他跌停' '《华谊和万达在诱多整个传媒板块 明天他俩领跌7%》'],[],[],[],[],[],[],[],[],[],[],[],[],[]
2020-05-21,"['《明早暴力砸盘然后拉升 你懂得》' '环保和影视都是雷区' '明天跌停' '华策实际上还是网络游戏手机游戏股呢'
 '华策影视05月20日获深股通加仓83.78万股']",[],[],[],[],[],[],[],[],[],['1分钱也做T'],[],[],['剧作龙头的行业思考'],['瞅瞅万达电影'],['服了，，，万达电影那么大的盘子都开始上攻了，画册你这是在这画皮呢？'],[],[],[],['。怎么就不涨回去点呢'],['不太好的感觉持有一个月没亏没赚割了[摊手]'],[],[],[],[]
2020-05-22,"['请问贵公司有引进《名侦探柯南：绯色的子弹》的计划吗？' '您好，请问2020年上半年财报什么时候发布？另外，贵公司是否有引进名侦探柯南剧场'
 '请问截止5月20日收盘公司股东人数是多少，谢谢!' '出回去行情，离场观望' '要铸造新底了'
 '华策影视05月21日获深股通减仓114.38万股' '委托7.21']",[],[],[],[],[],[],[],[],['电影不行。电视剧没影响啊。正好告诉发展阶段' '明天破7' '周一破7'],['如果今天收红盘，后面要跌两天'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2020-05-25,['垃圾就是垃圾'],[],[],[],[],[],['强洗，今天拉回来就证明调整结束了'],['有没有韭菜割肉，华策主力洗盘手法每次都是这样，全仓干了'],[],[],['一个公司，一直在做业务，居然亏损那么多，而股息千分之三不到，比银行理财还差，又要'],[],[],[],[],[],[],[],[],[],['关灯吃面'],[],['各位大佬，一起买几千手拉一下？'],[],[]
2020-05-26,"['哈哈哈哈哈哈哈哈()hiahiahia' '5块' '长期看好短期6块要呆一段时间了' '传媒都涨得好，就你跌' '3嘿嘿' '2块'
 '文化传媒产业难以资本化？未来融资模式向多元化发展' '大家好，我是来自华策影视的虞书欣' '托太多了小心'
 '影视公司今年真是面临降维打击下半年还要死一大片。' '周线死叉' '月线死叉' '今天能跌停不']",['这股也太恶心了吧！！！' '唐德影视涨停'],['完蛋了！'],['这个最低要买多少股，在哪里看的，小白请指教' '这股是不是有雷？'],['这么个跌法？意欲何为？' '有潜在利空，这个板块雷声滚滚'],['垃圾中的战斗机' '这么多托单，这货出不玩了'],['华策影视，三泡！'],['影视业应该比酒店旅游复苏更快更靠谱呀，可惜机构喜欢报团拉'],[],[],['6.8支撑位，6.48强支撑会到6.48的'],['作！！！6.8[买入]'],[],[],[],[],[],['关灯吃面'],['跟跌不跟涨，过两天一定破前期6.48'],[],['有什么利空吗，还是有雷？真坑！'],[],['是不是要把融资盘打爆仓才肯涨？' '逗逼业绩股居然涨不过垃圾股'],[],['月线再出15%的跌幅，小赌怡情']
