,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24
2020-05-13,"['明天决定方向了' '深冷股份:第三届监事会第九次会议决议公告' '深冷股份:独立董事关于公司第三届董事会第十一次会议相关事项的独立意见'
 '深冷股份:关于2018年限制性股票激励计划首次授予部分第二期及预留授予部分第一期解除限售条件成就的公告'
 '深冷股份:第三届董事会第十一次会议决议公告'
 '深冷股份:北京市中伦律师事务所关于公司2018年限制性股票激励计划首次授予部分第二次解锁及预留授予部分第一次解锁的法律意见'
 '深冷股份:上海荣正投资咨询股份有限公司关于公司2018年限制性股票激励计划首次授予部分第二期及预留授予部分第一期解除限售事项之独立财务顾问报告'
 '多来点公告，反正看不懂，说实在，现在出利好公告反而不喜欢。[大笑]'
 '企业不用LNG点供后悔吧,多地LNG点供天然气2元/方，部分管道天然气3元/方！']",[],[],[],[],[],[],[],[],[],['没人说话了！都割肉了吧！再不走裤头都没有了[哭]'],['13.5成本，站岗第13天，氢能源还可以？'],[],[],[],[],[],[],[],[],[],['前期17元被套的在割肉吗。千万别割，等涨。'],[],[],[]
2020-05-14,"['我的观点还是希望股价快速往下打到10元以下，才能有一波像样的反弹行情，天天这样半' '深冷股份:关于对深圳证券交易所年报问询函的回复公告'
 '[图片]' '股吧就剩一帮被套的韭菜了、锁仓长线吧等半年兴许能回来.这票我拿了一下看着挺诡异幸']",[],['是否要复刻诚迈19年5月14号以后的走势'],['此股已死'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2020-05-15,"['深冷股份:中信证券股份有限公司关于公司首次公开发行股票并在创业板上市持续督导保荐总结报告书'
 '深冷股份:《关于对成都深冷液化设备股份有限公司的年报问询函》的回复' '深冷股份:中信证券股份有限公司关于公司2019年度跟踪报告'
 '1.按照趋势分析，最晚3日内必定变盘，上有10日线压制，下有趋势支撑，这几日的窄' '感觉不好，咋买的这个垃圾股，还16.2元买的，郁闷']",[],[],[],[],[],[],[],[],[],['深冷股价快点跌吧！反正要跌！我在10.48元等着！不要在这里磨蹭'],['高位筹码峰渐渐缩小，逐步形成低位筹码峰，主力吸筹进行时。'],[],[],[],[],[],[],[],[],[],[],[],[],[]
2020-05-18,['中央、国务院：将在西部地区建设一批石油天然气生产基地，加快建立地下储气库！'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2020-05-19,['一首凉凉送给你'],[],[],[],[],[],[],[],[],[],['加油，新能源'],[],[],[],[],[],[],[],['卖票的千手哥'],[],[],[],[],['砸盘啊'],[]
2020-05-20,['什么时候能到13块，着急走！' '1.割肉的已经走了，不割的再跌也基本不会割了。所以向下的空间已经封死了。2.盘面'],[],[],[],[],[],[],[],['这个位置的成本低于主力成本，看来没有多少下跌空间。只要放量我就敢加仓'],[],[],[],[],[],[],[],[],['深冷今天的表现应该得到表扬，希望再接再厉哈。'],[],[],['刚走就涨，无赖又追回！'],[],[],[],[]
2020-05-21,"['必定再次探底' '今天庄家建仓动作，等待的日子难熬今天小加一成仓。等待庄家拉升十多个点再洗盘后再重'
 '这次军团悄悄前来潜伏加仓的筹码再也不会把你当劵商控盘骗子股弄了'
 '今天的试盘还比较理想，可惜受大盘拖累，不然7个点以上应该是没问题的，尾盘上车的是'
 '首先能突破12.54并且站稳才能确定反弹。不过上面三个跳空缺口都未回补，说明空方' '巨兽即将苏醒！']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['25号130万解禁，股权激励'],['转发'],[],[],[],[],[],['还是软弱无力，继续磨，铁棒磨成针就对了'],[]
2020-05-22,"['军团才不怕跌，加了一点筹码' '深冷股份:关于回购注销部分限制性股票的减资公告' '深冷股份:2019年度股东大会的法律意见'
 '深冷股份:2019年度股东大会决议公告' '深冷股份2019年度拟10派0.3元']",[],[],[],[],[],[],[],[],[],[],['没得办法，老千劵商机构没筹码就卷融劵裸卖空' '这种垃圾股最多值两块钱。'],[],[],[],[],[],[],[],[],[],[],[],[],['使劲跌我好接盘']
2020-05-25,[],[],[],[],[],['再次开启漫漫阴跌之路'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['深冷看这走势要ST了！否则没必要拼了老命逃！12元也在发行价之下'],[]
2020-05-26,"['深冷股份:股东减持股份预披露公告' '深冷股份：股东简阳港通等拟减持不超过总股本3.6%' '深冷股份收报11.43元，创一年新低'
 '深冷股份多名股东拟合计减持不超4.2819%股份' '深冷股份：简阳港通等股东拟合计减持不超534万股公司股份'
 '别的公司发行价之上涨了三四倍才大股东减持/而深冷的大股东一致行动人在发行价之下就'
 '深冷与容大感光比较真的叫天差地别！容大感光5元左右发行价/在25元左右大小非们才' '回到10.30吗？' '完犊子了明天[哭]'
 '黎明前的黑暗，更黑' '周二本是大盘反弹之日，偏偏这个时候公布减持，良心何在？'
 '氢能、天然气放开、西部大开发，明明有故事可讲，可偏偏要砸盘！'
 '象深冷股份上市公司可以学一下爱司凯重组！因上市几年业绩无为/盘不大/十五亿市值/' '现在只能炒次新股了，其他减持的股票太多了']",[],[],[],[],['又看见鸟庄的身影了'],[],[],[],[],[],[],[],[],[],[],['日怪，大盘涨这么多，你死迷秋烟的？'],[],[],[],[],[],['大行情各板块寻找低价，嗖嗖牛'],[],[]
