,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24
2020-05-13,"['温水煮青蛙呵呵' '600622:光大嘉宝关于为徐州光鑫房地产开发有限公司提供担保的进展公告'
 '昨天尾盘集合竞价2.1万手大单买入，今天1.2万手买入。高手解答下，什么鬼情况？'
 '我是吃饱撑着，昨天出了半仓华盛昌，明明安排好了，今天绿盘买回来，什么鬼上身一样买' '在3.95等你。'
 '坚定持有的，回报会不少，短期获利离场的，也不错，各得其所，就看各人的选择' '五个交易日以后见' '2块钱等你'
 '明天再跌6个点，不要问为什么，因为我来了。' '明日走势推演：开盘价4.15元，最高价4.23元，最低价4.06元，收盘价4.1'
 '我就想知道顶一字的傻逼是什么感受' '使劲跌吧，跌到2块卖房干你。' '等等吧'
 '割肉走人，昨天看出货那么多还逆势上涨，还以为来了强劲主力，重现龙头风采。没想到今' '今天再不拉升有点说不过了，业绩那么好，不应该这样熊！'
 '仔细品！！！！' '光大嘉宝05月12日获沪股通减仓105.08万股' '嘉宝，你可以要点脸吗？']",['先搞点在说' '这垃圾股。。。'],['涨两天……跌停一个月……还是绿帽子带着舒服[傲][傲][傲]' '这垃圾[大笑]狗带去吧' '快跑啊这股完了'],['狠' '4.06抄底的人不少啊，危险'],['坑货，进了你这个垃圾股票。。。只能怪自己手贱。。' 'reit要比海航投资正宗，这个样子不应该！' '今天可以再补点吗？'],['就不卖，就不卖，加仓加仓！' '4元以下考虑' '感觉今天要涨停'],['4块以上买买在半山腰了吧' '今天不会变红的，让你们没有机会走。4元以下考虑'],['一天跌两个点，跌一个月' '老庄股，有得磨了。'],"['那天一字板的勇士不出来自救吗？？' '今天是买点' 'A股只能投机！没有什么价值投资可言！这就是我们的价值观！大局观！'
 '擦黑庄今天拉一波吧[哭][哭]' '跌不下去你好涨一波了吧，尼玛上周进了嘉宝，心在滴血啊，太狠了擦[哭]'
 '调查下满仓套牢的有几个[滴汗]，第一天跌停开始建仓的[哭]']","['4元会破' '各位拿住了，要禁得住折腾，才能大赚' '看看海行，龙头，就是龙头！这垃圾！猪队友太多'
 '光大嘉宝绝对会大涨的向下最多破4块钱，净资产都4.31有什么好怕的向上应该可以过']","['下有大托单买不得，等' '兄弟们心是齐的，托住跌不下去，砸魂啊。黑庄[成交][成交][成交]' '已经在3.98挂单买入了'
 '3.95元可以买一点' '我说4元以下买入，有些狗托急了。哈哈哈' '诱多行情，看看咯'
 '这个杂货从转送股开始就是一直喜欢套人，以前从来不套的，再回本再不碰，劳资有的时间'
 '本来是reits龙头，现在跟在海航之流屁股后面混，光大要脸吗？嘉宝要脸吗？发公告']","['国家启动基础设施公募REITs试点，这是盘大棋。不要听什么不含住宅和商业地产之类' '3.6左右再买'
 '从盘面看4.06有支撑，临近午盘在海航带领下小拉一波，下午不排除大涨甚至涨停可能' '学学人家招商积余，涨了6倍，你基本面跟招商差不多']",['哎每次都是进了垃圾股，炒股赚钱好难。。'],['开始织布机节奏！' '这只要大涨。' '丢人啊，看看海航投资，唉，猪啊'],"['猪太多，涨一点！一群sb就砸！' '一个大户在跑路，散户在进，反正是垃圾股，没戏' '这个死股换了南山控股'
 'sb主力送钱，加sb散户在砸盘割肉']",['看看海航你爸爸'],"['快跑，都是大单砸，有托单，随时一个大单' '空头下午做最后的疯狂，多头开始修复元气，聚集畜势，趋势开始逆转了。'
 '这垃圾股票。。。真的太恶心了' '换股了，没人气，没量！买000616龙头去了' '废掉了，主力出货太坚决了'
 '昨天2选1，进了你这垃圾，没有买华北制药，现在一个亏，一个涨这么多了。。真的太恶']",[],[],['大盘红了，你也跌，大盘跌大跌！大盘小跌也大跌！一句话主力有病' '漂亮，走出自己独立的行情。不受大盘左右'],['等着被主力偷袭，加仓，做T'],['此股没戏清仓换股'],['此股没戏清仓换股' '还的跌，跑了。' '明天的走法是高开低走，继续往4元以下奔走。' '狠啊，自己都套啊[滴汗][滴汗][滴汗]'],"['留了几手点长点记性，没事就来看看' '自选股里一片红彤彤，唯独买了一个绿色的' '什么调人在拼命的抛呀？股价已经调整到位了呀'
 '这几日都跌了20多个点了，还在跌跌不休。。。真的是垃圾，垃圾中垃圾。。']",['走了，五万股割了，好痛！']
2020-05-14,"['明天如果大盘又跌的话，这股百分之百跌4个点' '今天都不涨，明天，大盘不好，基本又跌一天' '明天不拉就清仓走人了，浪费了一周的时间啊。'
 '4.6成本割了换了省广' '光大不行，真正的龙头还是中迪投资今天2选1我选择了中迪投资' '明天只要低开就满仓杀进去，必有厚报'
 'REITs概念及产品知多少' '长城证券： 证监会发改委发布推进公募 REITS通知' '下跌中继明日跌超5点以上'
 '浪费了大好机会在这渣渣票上！哎' '明天不跌停，我鸡鸡喂狗去' '公司说REITS概念跟他业绩没啥关系，是不是资金不认可，放弃了'
 'REITs的发展迎来新契机存量资产时代正式开启' 'REITs目前不在房地产和商业地产推行，大家都散了吧，今天清仓布局REITs重点'
 '淡定低吸，控制成本在4.05以下' '今天买进，明天吃肉记得卖票' '这只主力很低廉，很无奈，' '沙币董秘'
 '明天二十天线准备钱补仓[滴汗]，真的霉的碰到黑庄' '今天晚上出公告吗'
 '明日走势推演：开盘价4.18元，最高价4.25元，最底价4.08元，收盘价4.1' '明天出出力，拉根小阳线！'
 '哈哈，明天应该会踩一下4块，还没有稳定在4.20以上，还是以观望为主'
 '一字板的大单收了太多货了，跟怡亚通第一天涨停非常相似，怡亚通第二天跌了6个点我想' '明天跌停又可以抄底了' '明天收大阳线'
 '[快割肉][涨停板]' '5亿资金明天到账，明天开盘30分钟之内封死涨停板' '预期降准降息，对地产是利好吗'
 '4.97的本，就这几天微利回本就走！' '光大嘉宝05月13日获沪股通加仓69.46万股' '今天估计要见4元了，人气不旺啊！'
 '知识点[鼓掌][鼓掌][鼓掌]，今天大盘调整正好20日线下再补一波[胜利][胜利'
 '咦刚才图片怎么没了？网易财经十点直播孟晓苏对话，把reits献给当下中国[想一下' '外盘暴跌，今天低开抢入622' '又来假竞价了'
 '今天天地板？！！！' '难道我昨天被洗了' '一大早看到帖子都是唱多的，就更加确定4元以下必到。管住手' '看看']",['必破三元[微笑][微笑]' '3.6才是买入最佳点还有一个跌停板'],['垃圾股，一进就被套的死死的。。' '牛逼啊，逆势翻红' '到位！！你懂的！！' '冲上去鸭' '开始诱多，明天闷杀' '前戏做足，才有高潮！！'],['赶紧上车'],['起来了起来了' '4.03割了，卧槽你大爷' '数字货币和他有关系吗？'],['跟风股' '太没力了吧。。' '开盘的无量下跌然后机构只能对倒拉升进行护盘不然今天又是5个点的跌幅机构货比较多来' '今天涨停的机率非常大'],['海航和宁波打擂台，你连看戏的资格都没有' '海航涨停了，跟涨跟涨'],['嘉宝太想做小弟了，不想做大哥，他跟着海航投资走，海航涨他涨，海航跌他跌'],['租金到了，早盘4.02错过了，现价买入500股'],"['抛压太大！！！' '海航封死涨停，这个就该跟风？错了，主力可能会抢龙头，如果抢到，明天就是一字板' '稳住4元上方，主力也要有本领'
 '海航，电子城。本以为你是个靓仔，实则外强中干。' '今天最高点出，明天跌停进，今天进来的资金不搞好事，明天最后洗盘' '趴着前进'
 '快跑，水军来了']","['请问以后是否进入基础设施领域' '看好今天出货，大单买进都是诱多，明显买进的是自己的单，一买多少，卖一马上减多少，' '走为上策！'
 '龙头排不上你啊，争气点吧' '醒醒吧庄家给你们吸筹不要有幻想' '果然垃圾。。。哎' '没有预感错，今天就是诱多，闷杀一批进来的接盘侠'
 '散户太多' '今天收跌，明天沪股通减仓收涨，下周一沪股通加仓收跌，陪你玩，你资金量大！都可以不' '垃圾的无以言表' '空头应该是电子城'
 '发不出消息' '这也太辣鸡了吧' '力气没有了']",['至少还要跌六个点，大单至少还要出二三天才能出完，再洗个二天，这周都没有机会，只有' '连续两天，都在 60 日线上面企稳，应该会向上突破的'],[],[],['资金都走了，我也割肉吗？' '真的太垃圾了，没法说了。。。' '搞什么？' '拉高出货' '实属垃圾，买一次套一次'],['看均线支撑的来决定来买卖的基本是小儿科。除非那个reits概念真正熄火了，不然就'],['拉高出货了'],[],[],['要么砸下来让人抄底，要么拉上去让人接盘，这样不死不活出货给谁啊' '知道光大环保吗？全国投了那么多垃圾发电厂，这几天弄个资产包没事你。'],"['想干嘛啊？' '至于垃圾成这样么' '4.2没出，亏大发了' '一顿分析猛如虎，最后赚了340.53，早上2个点没舍得跑，等尾盘收回来'
 '此股已废，人气没了。。换股']",['早上竞价有大神涨停出的吗' '光大集团内部都有很多产业符合公募REITs的范围，产业园区、物流园、城镇污水处理'],['今天下午都在4.09左右磨来磨去。。。'],[],[]
2020-05-15,"['哎玛！这走势玩了一天' '满仓了光大，是吃肉还是面就看明天了' '割肉走人，看看我割了应该就涨了[怒]，如果4块以下再满仓杀进来。'
 '沙币公司沙币董秘' '走为上卖，买即将底部井喷的股权转让重组黑马600107】】'
 '不动产信托是假的，光大嘉宝也是假的，公司自己都澄清了！！！'
 '早上加仓，现在半仓，涨得猛爹得也猛，早几天4.97没卖，第二天聊半个小时天就只能'
 '看这么多满仓持有的散户，我就放心了，明天肯定跌，主力是不可能让你们几个赚钱的，结'
 '明天如果继续向上摸一下4.34这个价格，上涨有望，否则坚决清仓！！！' '底稳' '光大嘉宝05月14日获沪股通减仓75.90万股']",['这票没法玩了，散户疯了，散户疯了，散户疯了' '果然要吃面了。。。' '一分玩一天的节奏，不看了！'],[],['又TM一大堆托单，完犊子了，还幻想吗?' '买票 坚决要买龙头' '这么多大托单3.6见'],['大托单必死，托而不买，走了，又想骗人，假装有大支撑，让散户买'],['今天又收到一笔租金，可以买600股' '看到不动产，本以为是个王者，没想到是废铁！' '你才是公募地产基金标地，其他个股都是概念。'],['看样子这票不行' '一动不动是什么？' '跟跌不跟涨' '一大推散户等着拉，你觉得庄会给你散户抬轿子？就这么横盘！'],['真够完犊子的'],['这股不涨也不拉！散户请自行离开！！！' '鉴定不移出的割肉走了，没有选择向上，后期跌跌不休！'],['今天一分两分要玩一天'],"['做T的机会都不给，就一两分，不跟大盘，不跟个股，庄牛' '宝宝你怎么好意思天天带着绿帽子[滴汗][滴汗][滴汗]' '瘟了'
 '哎不死不活，科技股都涨上天了']","['垃圾已成定局[大笑][大笑]' '看这么严重的成交量缩量情况，这个股，低位基本吸不到筹码了，除非主力自己对倒砸盘，'
 '广大呀，你拉升到4.5元，我就不在这和你靠着了，我保证走。早点拉升好不好？']",[],['耐心等待，必有后报。' '不包括商业地产和住宅。'],['喜欢提问的，都是一群自欺欺人活在幻想里的可怜虫' '吴小豪是可怜的散户，据说成本6元，被套了一年多，哈哈' '自己大单进，中单出。左手倒右手'],"['没量，继续调整，拜拜了，浪费行情' '这几天大盘和其他板块都在轮动涨上天，这货浪费行情一直跌。下周大盘调整，这货绝对跌' '4.1是个坎啊'
 '6.7号那十几个亿出货还有阵子，目测下周可以看到3.5' '还有杀跌割肉的吗？今天我来接盘，主力颤抖吧！']",['公司和机构联手做空' '玩呢？一分钱。' '受不了，割了，昨天大盘跌，他没怎么跌，大盘涨，他也不怎么涨，虽说今天4.07差不'],"['我走了你拉吧' '远离垃圾，换中迪了' '刚看到个华丽家族猛拉，你能不能学学！' '砸盘才能吸到筹码，砸破3元我就割肉。'
 '快跌。看着烦，一天天的。又不跌又不涨']",['不管大盘怎么走，这垃圾就一直跌' '再来一波急杀，就是进厂机会'],['主力就是狗屎[看空]，净流入三百多万，绿油油的呵呵' '还好换了中迪投资，赶紧卖' '极度缩量，大胆干吧！！！！！' '你就是坨屎'],['缩量太猛，要调整两三天。' '低吸'],['海航都开始拉了，你还趴着？' '一个星期硬是不动一下吗' '垃圾庄家自己玩吧'],['垃圾的一逼' '此垃圾不能留'],['看看吧里那么多发言的就知道这股涨不起来，都是韭菜在等主力拉，主力给韭菜抬轿？' '终于下跌了。'],['3.5有强烈支撑不到3.5不要买' '哎，果然吃面了，下周看吧']
2020-05-18,"['明天低开的话毫不犹豫坚决清仓！' '重磅！国务院：允许商业用地调整为居住用地Hello谢同学昨天20:53近日，国务' '周一涨停'
 '但愿你不要涨，大家都等你跌呢哈哈' '大金融成都项目' '4.8的本磨啊磨，磨啊磨']","['嘉宝主力4—5元之间出货，买入风险大' '观察：基金公司开始高薪抢夺REITs专业人才' '真的吃面了，天天阴跌。。。没完没了了。。'
 '调整差不多了，可以分批建仓了' '3.53.6才是最佳入场点说了都不信' '确定你就是个菜鸡了。']",['今天要启动了，早盘砸两个点，下午拉涨停' '比中迪怎么差那么多，二选一选了这怂'],['满仓干，陪你玩了' 'D都他吗的是垃圾' '单针探底了'],['天天这样跌粥水都无得食了[亏损]' '等着MACD零轴下方金叉再进了[胜利]'],[],[],['无眼看你'],['真的是垃圾股中的垃圾股，哎，面真难吃' '今天要跌停吗'],['从哪里来，回哪里去，从来处来，回来处去[微笑]' '今天大单不少，明显放量，有资金进来？'],"['还有那么多人看多啊。主力要拉怎么可能这种走势，让你们韭菜都有机会买？' '关灯吃大面'
 '这是只庄股庄股上挣钱很难，做短线的远离，这股不适合，长线持股就好。' '明天股东大会有雷' '要死不活的狗庄']","['大家买股票是为了赚钱，现在却变成解套。。。' '撕破脸皮还来砸，下午放量下跌。'
 '告诉大家一个赚钱的秘密，你手里的股票在吧里发消息，永远要看空，哪怕抱着翻了5倍，']",['已连续跌了5天了，走出独立行情，离3.5不远了，大家多准备些子弹。准备发起冲锋！' '是不是打压股价，股东想低价增持？'],['割肉割肉' '持有宝宝的朋友每天去别的吧里，推荐光大嘉宝关注度高了就有上涨的机会就大。'],['现在这种态势，就是阴跌，一天跌2个点，慢慢跌下来，磨到散户割肉。。。。。'],"['这票不能看了，全仓了淮河能源不知怎么样？一个月之内全部都不看了，就晚上瞄一眼，这' '一只毫无抵抗的垃圾股！' '和海航比谁走得惨？？？'
 '一分钱已经磨了半小时了，牛逼。。。真的是有耐性']",[],['老话咋讲的来横久必跌！横久必跌！横久必跌！横久必跌！横久必跌！横久必跌！横久必跌'],['主力，布没织好，中间有缺口，明天从来' '主力心电图画的不工整，幼儿园水平。'],['早就告诉你们温水煮青蛙，钝刀子割肉，每天跌个几点，让你不知不觉被套死，哈哈'],['太垃圾了吧' '本周3.5立贴为证'],['还要跌多深，5月7日进的，今天第二次补仓，成本4.17，再跌子弹要打光了'],['这个1万6手的托单，害人不浅，托而不买，非奸即盗，CTMD。'],['这股确实有毒，不是暴涨就是狂跌.'],['北向资金超低了']
2020-05-19,"['连跌8天了，明天继续' '一直跌？是不是要st？' '明天涨停！我收到消息了！' '我左看右看上看下看这股票还是跌'
 '使劲跌吧，跌到6毛钱一股，直接控股，做第一大股东，等着分红养老！[大笑]' '[图片]'
 '我买了都跌，跌得怀疑人生了，今天割了，找西部大开发股' '亏4个多点了，什么时候能回本呀' '决心坚定持有，只输时间不输钱'
 '20线跌破，弱鸡。' '4.06进入套了，也就耗上了' '不要倒下，黎明已经悄然来临！' '3，45会见到的，等3.4补仓' '基本上都被套了'
 '光大嘉宝05月18日获沪股通减仓28.65万股' '董秘，你好！4月30日，中国证监会与国家发展改革委联合发布了《关于推进基础设施领'
 '你好，公司致力于成为国内领先的跨境不动产投资和资产管理平台，不动产投资包括(地产'
 '今天再收阴线，就是三只乌鸦，管你怎样，走人，永远删自选的垃圾' '放量涨，快跟进' '调整到位，今日反攻']","['居然涨1%，主力是不是搞错了。继续抛，3.66等满仓' '海航中迪，确实比你强' '2货东西，海航中迪都涨停了' '海航涨停了'
 '海航涨停了。。。你这才3个点，龙头还是龙头。。']",['涨停来一个' '走了垃圾，下来再上车' '大哥，来一个涨停吧。。。' '弱鸡东西，中迪海航都涨停了'],['今天会不会涨停，海航，中迪都一字板了' '看模样是超跌反抽' '给力点行不行，人家都涨停了，连电子城都超过你了'],[],['这个就是假的reits，如果是真的早就5个板了，哪有在回来的道理，还是看中迪投资'],[],['好不容易进了个万手哥，你这几个肯定是商量好了的[困顿]'],['只能说这股确实是垃圾股，垃圾到极点了' '刚那一笔是主力对倒，别指望这个了' '假的'],['套牢盘太多了' '拉一拉吸引点韭菜继续跑' '我只能说柚子有点瞎'],"['买了这垃圾股，真的恶心死了。。。' '大胆干！！！！！！！' '今天追的继续埋了[俏皮]' '此股看来不错！'
 '4.6进，昨天出，今天买进100股，看着它死。' '短期的快跑，这货不安好心，我是被套了无法.' '下午2点，我给大家拉一下盘子']",['看看000609和000616，嘉宝的主力莫非是娘炮？最正宗的时间最长的REIT'],['山不在高，有仙则名，水不在深，有龙则灵'],"['价值验证低估未来走出回归，慢牛爬升，耐心持股' '嘉宝主力近期净流出3亿多，拉点就出货难填权' '垃圾就是垃圾，真的太垃圾了'
 '投票在哪里投？' '今天开股东大会有好消息' '又开始1分钱行情了。。然后尾盘来一个下跌。。' '是我卡了吗，你怎么不动']",['鸡肋时间呀，4.10，4.11，玩了一天了。好无聊。' '回本就走，高高山岗好孤独！'],[],['要死不活的' '推出房产税空还是多？'],[],[],['你怎么这么垃圾，哎。。。'],[],['嘉宝边拉边出货，坚决不买。' '群众基础好，散户特别多' '自认倒霉，被技术派坑出屎，没成想基本面比较已是高位，除非大盘再上3500否则难上'],['开始下面条了' '真是去你，跟着别人后面屁都没吃到啊。' '看样子今天都跑了'],['这垃圾股还是被我预测对了' '我靠，这是要发套'],['真是日了狗了。。这垃圾股']
2020-05-20,"['打算留着打新股用，期望中个科创回本。' '明天有冲高就卖了，太垃圾了' '这垃圾股没救了明天肯定走了。。'
 '昨天跌的今天补起来了，明天就继续跌' '明日会不会跳空开盘' '等一等' '600622:光大嘉宝2019年年度股东大会决议公告'
 '600622:光大嘉宝第十届董事会第一次(临时)会议决议公告' '600622:光大嘉宝关于选举职工代表监事的公告'
 '600622:光大嘉宝独立董事关于第十届董事会第一次(临时)会议相关事项的事后独立意见'
 '600622:光大嘉宝2019年年度股东大会法律意见书' '600622:光大嘉宝第十届监事会第一次(临时)会议决议公告' '[图片]'
 '进入右侧交易，持股待涨' '跌吧，看你能跌到哪里' '6分钱，还不如不给，用于股价拉一下，不比分红好么' '沙币董秘你学学别人家董秘怎么回复'
 '光大嘉宝05月19日获沪股通加仓117.74万股' '大换血，能否起到作用，股价说明一切，视目已待' '还跌，开什么股东大会。'
 '走自己的路好吗？别天天跟着海航和中迪后面吃屁']",[],['选股真是技术活，同一个概念选了你这一个垃圾，2个涨停就这样没了。。' '这垃圾一天天的耽误挣钱' '机会来了，赶紧上车'],['又开始一分钱行情，然后等到尾盘下跌到4元以下，走势都给你算出来了。' '你爷爷海航又涨停了' '呵呵一垃圾'],"['我真的是没财呀，早就关注这个概念了，然后选了这个光大，还满仓，想不到海航涨得这么' '中战斗鸡。' '等海航开始跌了，这货跌的比谁都快。。'
 '快跌[拜神]']",['选光大死路一条。' '这主力市计生委的嘛，光会发套' '你赶紧拉升吧，解套后散户就走了，然后你该怎么玩怎么玩吧，这样一直耗着对谁有好处？'],"['长期跌破净值，老板有没有面子[亏大了]' '让我解套，我走！我发誓我这辈子不再碰你这只股[滴汗]'
 '看着海航的2个涨停，这垃圾的拼命跌，真的是选错股毁一生。祝你破产，你这垃圾。你能'
 '我没有服庄家或者机构，但真真心服了此股的散户，无论跌也好涨也好，每天都大量买进，']",['还是让我拔毛走了，这垃圾耽误了我大好时光' '这拉高出货屡试不爽次次管用' '这sb股，短期别指望了'],['装死了，割肉是不可能割肉的，先放着吧' '破4元，去3.6元'],[],['看戏，最烂的' '跑吧！！' '像这种便宜股我们散户太多，肯定不会涨了。难道还指望庄家给我们抬轿吗？'],"['后悔没买海航，哎' '今天千万不要价平量涨哦' '缩量下跌，但不会太深，3.9半年线强支撑位。'
 '之前基金一直在清仓，一季度报表中那个基金2000万股也在这波上涨4.8元清仓了，']",[],['争点气吧'],['大家都是来求财的。'],[],[],['你个垃圾！'],['卖100股试试看！'],['你爷爷海航的封单让人看到第三板的希望了，孙子啊' '烂泥扶不上墙'],[],[],[],['我的宝啊，这不是抛压太大，是我们成本太高'],['做个T，陪狗庄到老']
2020-05-21,"['做个T,陪庄哥到老。别坑我' '想多了吧，或是短双头' '尾盘拉升非奸即盗[大笑]'
 '你好，请问刚刚发布的融资租赁最强监管来了！北京率先出台指引“严苛程度史无前例对光'
 '董秘你好，贵司控股企业“光大安石”是地产基金国内领先企业，请问：400多亿地产基' '越跌我越看好，使劲跌吧，我多买点哈。' '这个董秘还行'
 '光大嘉宝05月20日获沪股通加仓94.20万股']",['真的是选错股，毁一生。。。太垃圾的股票了' '海航涨你不涨，你还跌，海航蝶趣，你也开启狂跌模式'],"['万手砸有意思' '怂股' '白白浪费这波行情了，没赚到钱还亏本，真是牛逼'
 '不着急出，散户比主力的优势在于散户几乎没有时间成本。就一手[大笑]，不着急。主力']",['真不知道你是跟哪个板块的'],[],['电子城涨停，啥时候轮到你呀'],['就这样耗着？抛盘，马上有人接的'],[],['又开始了每天的一分钱行情。。。牛逼的股票，都不觉得累。'],['电子城涨停!下一个就是光大了' '这概念那个股都有表现，就这垃圾股一直在跌' '真的太垃圾的股票了'],"['把球给我，我要回家' '垃圾玩意[大笑]每天要么跌几分，要么涨两分' '这是要换庄么，庄赔掉裤衩准备开溜了么'
 '轮动一下行不行？海航中迪完了电子城上，你啥时候来一个']",['里面散户太多，拉涨是不不可能得，大跌又不敢跌就这样震荡' '昨天4.06进的，今天4.05跑了，亏了500，删自选了，再也不碰这LJ了[滴汗'],['走了留下的发财'],['这价位居然还有这么多抛售的，哪里来的廉价筹码' '这垃圾股跟跌不跟涨，这是最典型的垃圾股表现' '拉起来是为了出货这几天又割到很多韭菜了'],['走的比大盘还累[大笑]'],['明天标准答案是收盘3.90为宜，3.89更好。三只乌鸦挂着吓人不？对了。' '这是咋了？众人拾柴火焰高不好吗'],['要炸就炸狠点，这么墨迹sb一样'],['步步为坑' '在两个万手歌砸盘了，好低买'],['糟老头子坏滴很' '我割肉了！买了省广和大集[鼓掌]'],['到3.60附近方可进去' '大盘跌他跌，大盘涨他盘整' '无语了，无奈啊，'],['糗大了糗大了' '牛逼得很在两个点干' '一字板上面的筹码一直没有洗下来'],[],"[""简直成了坑大嘉宝!goodbyedon'tseeyou!"" '30日线该往上走了']",['盼完增持，盼reits，电梯坐了一轮又一轮。现在还能盼啥呢？？' '有人已经开始召集人马，3.88建仓了，大概率事件了。'],[]
2020-05-22,"['沙币董秘' '卖到没人买也就没韭菜了！' '卖到没人买就没韭菜了！每跌10%就进五万元的。'
 '光大嘉宝明日停牌一天正式更名为：坑大嘉宝！我太难了[哭][哭][哭]goodby'
 '董秘请问你们公司股票什么时候长？我要做好高吸低抛的准备！[哭][哭][哭]' '断头闸3.6见' '董秘姓孙'
 '“光大安石”是地产基金国内龙头，据上市公司2019年报，公司地产基金前曕性的在西'
 '3.4–3.5买入，时间应该在6月中下旬，否则一定会是被套！！商业地产的REIT'
 '这只真正的Retis股票，还是破净股、光大谪系、外资、核电光环，但似乎什么题材与'
 '中轨都没啥反弹啊擦，真是看走眼了，有本事继续阴跌一周[想一下]' '几只空狗都出来了，明天买点。' '我就很佩服你龙头的牛逼样'
 '明天本人重仓介入，带动股价收阳.，保证让大家周末无优！' '亏5个点了，头大呀。。。。' '昨日成交1.55亿元！今日成交1.33亿元！'
 '炒股就要炒人气股！没人气！一分钱玩几天！' '光大嘉宝05月21日获沪股通减仓195.02万股' '自己看，机狗在里面，不敢砸的'
 '天天尼玛涨停试盘' '每天竞价，一开始都摸下涨停价，而后一泄千里，啥意思吗']",['天天跌死货'],[],['今天的行情继续出货，打压股价，各位不要抱有任何幻想，希望越大失望越大，撤了'],[],['这价位不要轻易抄底机构有这么好心让韭菜轻易抄到底吗3.5可以半仓进去2.8大胆满' '哎，这垃圾股无敌了' '哈哈，我买什么，什么就跌。。。。'],['主力的良心坏透了' '天天阴跌，一天跌2个点，跌一个月是多少。。。温水煮青蛙，慢慢熬死这些韭菜。。。' '割吧，3.5接回来，不抱希望了，'],"['前几日涨得比海航少多了，跌起来却比海航还猛，选错股，毁一生。' '庄家牛逼，这么卖力的砸，我含泪割一手以表敬意'
 '嘉宝不论涨跌，走的步伐都是六亲不认的。']",[],[],"['你最好跌停我弄点便宜的' '都是些血淋淋的筹码' '使劲砸，一锤80[大笑]' '跌到3.6元就到建仓点了'
 '要谢就多谢点了，没啥力度，拿不了货' '既然要跌就来个深蹲吧我好加仓。[想一下]' '这垃圾是庄股' '主力不靠谱啊']",['加油小庄庄我捡点便宜货'],['怎么不跌呀！想抄底，早上卖了'],['快跑呀！' '378阶段低点，大胆买入！！！'],['该退市了'],[],['庄股，别碰。。。。。。'],['垃圾' '遇到庄股，自认倒霉吧。。。。'],['今天怎么回事呀' '大盘和板块都上涨，却横盘震荡的，大盘和板块一跌，肯定领跌两市，涨知识了'],"['一买下来亏本我二十个点，天天这样下去死得多了[亏损]' '给我砸[毛估估]' '嘉宝总有出不完的货。不能买。已经套了两个涨停位的买入者'
 '尾盘拉一下，下周一继续砸']",['反弹了，这怂缺越来越低' '太惨'],['太惨'],['小手拉上去立刻就砸'],['沪股通这样帮吃儿，在做空。' '底线形成！' '收盘三八'],['光大嘉宝有没有稀土出口？[大笑]']
2020-05-25,"['3.5一下再进' '房地产光大此周心集结号吹起3元7冲锋！'
 '股票就是炒作的筹码，大资金起伏波动，形成涨跌。散户做到放量卖，缩量买就行！！！同' '去3.6---3.5是大概率']",['看人家电子城，你也太了'],['买买买机会难得一见啊，3.61全满仓，进场快点来！[鼓掌]'],['不回本不离场跟你这垃圾耗到底'],['有钱的今天可以买了，被套的可以补仓了'],[],[],[],['最正宗的reits概念股却是最垃圾得股票。。。'],[],['光大嘉宝率先调整到位，将是REITs下一轮上涨的龙头!' '垃圾完毕[大笑]'],[],[],[],['今日交易量少是卖出信号'],[],['真难为你了，每天不是下跌就是压盘'],['目标2.8大胆满仓'],[],['量都缩成什么样了'],[],[],['等这垃圾跌破3.6再玩，垃圾就这样了'],['reits概念是两会重点'],[]
2020-05-26,"['低吸' '5月21日下午，宁夏悦海宾馆会议中心会议室，由宁夏地方金融监管局联合、宁夏证监局'
 '？同样作为央企不动产投资管理平台，越秀可以大方积极就征求意见稿向管理层建言，参与' '都去看看董秘今天又说啥啦?' '最差董秘']",['垃圾股，每天骂你一下，但是我就是不卖。。。'],['两分钱要玩一天吗' '每天玩一分的垃圾[大笑]，一分贱' '观察：不用热点忽悠股民的公司好不好？' '到底了'],[],[],['等这垃圾躺尸[大笑][大笑]' '各种阴跌，让它涨就要命了。。。'],[],[],[],[],['3.77封板了吗？' '涨两分还不满意？要求太高了'],"['真是垃圾股，买入半个月像样的涨幅一个都没有，就只有跌，各种阴跌。。垃圾中的极品。' '预测一下，后天涨停[毛估估]'
 '垃圾股我就是不割肉，看谁能耗得起。。。。。' '下午是这个股票的垃圾时间，呵呵呵' '股吧古安静，是不是都在追涨梦洁和长城影视' '继续装死！']",[],[],['亲，涨停吧[鼓掌]' '还有几个涨停'],['为什么光大嘉宝突然拉升？' '大胆干！看我历史帖子！！600622！！！！'],['600622、300346看我提示历史买点，拒绝马后炮'],[],[],[],[],[],['你倒是发射呀[大笑]'],['你倒是干呀'],[]
