date,daily_volume,bin_num,bin_volume,quote_imbalance,part_volatility,volatility
2020-09-01,728634685,0,12088700,-0.36922330110030077,1.3127522945825713e-05,
2020-09-01,728634685,1,105230987,-0.43298980996977526,0.000263451688809644,
2020-09-01,728634685,2,52650593,-0.5703597147763996,5.1571922956418396e-05,
2020-09-01,728634685,3,69485067,0.4799168290416435,8.043704125966988e-05,
2020-09-01,728634685,4,43440941,-0.5312050844666646,8.160385300978669e-05,0.006069741217918777
2020-09-01,728634685,5,29912820,0.4521443409631011,8.189952293756689e-05,0.006558670773495125
2020-09-01,728634685,6,24130300,-0.5520704718244722,1.3175216101002122e-05,0.0051619653940825315
2020-09-01,728634685,7,48414136,-0.39452130240155814,0.00011814977453771924,0.004814947099323326
2020-09-01,728634685,8,20923052,-0.6256323390614442,1.303291027059316e-05,0.0051559881593342734
2020-09-01,728634685,9,25619005,-0.6524106288363735,5.213198079864454e-05,0.004516777497205613
2020-09-01,728634685,10,24361803,-0.3684400543422982,5.1757601898357916e-05,0.0042091787940533275
2020-09-01,728634685,11,8817251,-0.2847339148113522,2.895708640241847e-05,0.004603922204086164
2020-09-01,728634685,12,19512960,-0.5728845674558798,1.2892897625031175e-05,0.0036268077020646483
2020-09-01,728634685,13,23463200,-0.4152896794593782,2.906124900415083e-05,0.003625066811234943
2020-09-01,728634685,14,12133437,0.7953625903225755,2.906124900415083e-05,0.003325786747382845
2020-09-01,728634685,15,16978700,-0.7122864632791308,1.2892897625031175e-05,0.0030023928379954235
2020-09-01,728634685,16,15301734,0.13147086341848171,2.906124900415083e-05,0.0027506144605944256
2020-09-01,728634685,17,18211580,-0.7276698395863246,5.213198079864454e-05,0.0030039565464494568
2020-09-01,728634685,18,18362900,0.2699775521079907,1.3080088290607002e-05,0.0033322675207441343
2020-09-01,728634685,19,14277604,0.37039984209447824,2.9377131372190497e-05,0.0031085383217822507
2020-09-01,728634685,20,15865440,0.12315944248984852,1.3080088290607002e-05,0.003339066956573556
2020-09-01,728634685,21,19457500,0.6305464465273162,2.9483570689833087e-05,0.003115826023491032
2020-09-01,728634685,22,18515981,-0.11903421486446852,1.3127522945825713e-05,0.0027687903494872683
2020-09-01,728634685,23,23982773,0.5224496217999974,2.9483570689833087e-05,0.0027695626203932404
2020-09-01,728634685,24,47496221,-0.5532448097414187,5.1944285425774205e-05,0.002771294747137497
2020-09-02,1407714025,0,4960630,0.35232096866034573,0.0,
2020-09-02,1407714025,1,95024153,-0.2509140594859532,0.0003200365269721758,
2020-09-02,1407714025,2,137262768,-0.21321016522275907,0.0001532293476045629,
2020-09-02,1407714025,3,106233073,-0.06816948372060687,0.00011158707822213129,
2020-09-02,1407714025,4,60507617,-0.014140170901133203,4.9944852559150876e-05,0.006069741217918777
2020-09-02,1407714025,5,53390021,0.8491821374892908,2.8044306888940873e-05,0.006558670773495125
2020-09-02,1407714025,6,127143483,-0.37616692298146087,0.0001963007532334179,0.0051619653940825315
2020-09-02,1407714025,7,64616433,-0.4380855048095563,4.8562352037062153e-05,0.004814947099323326
2020-09-02,1407714025,8,61711386,-0.2910082841852571,7.574699795891447e-05,0.0051559881593342734
2020-09-02,1407714025,9,69232536,0.6711916806986854,0.0001516163775743681,0.004516777497205613
2020-09-02,1407714025,10,37250980,0.5380945457531687,4.9768834134469316e-05,0.0042091787940533275
2020-09-02,1407714025,11,28837850,0.16801794588768088,7.735433727251283e-05,0.004603922204086164
2020-09-02,1407714025,12,27127303,-0.04274149935433757,4.924632601938346e-05,0.0036268077020646483
2020-09-02,1407714025,13,37379046,-0.10907054690618562,7.681291932041902e-05,0.003625066811234943
2020-09-02,1407714025,14,34346059,-0.3166068247939498,2.7363878008878685e-05,0.003325786747382845
2020-09-02,1407714025,15,20563278,0.14911903836137239,1.2182926643560818e-05,0.0030023928379954235
2020-09-02,1407714025,16,23296584,0.760350608322973,2.745955626891278e-05,0.0027506144605944256
2020-09-02,1407714025,17,16341731,0.43069914789162017,2.745955626891278e-05,0.0030039565464494568
2020-09-02,1407714025,18,25836869,-0.20433602886704125,1.222556161174541e-05,0.0033322675207441343
2020-09-02,1407714025,19,27271631,-0.6509950989457061,2.745955626891278e-05,0.0031085383217822507
2020-09-02,1407714025,20,46124943,-0.11141844167859602,2.7363878008878685e-05,0.003339066956573556
2020-09-02,1407714025,21,161992878,-0.027010212885277978,7.496205046370792e-05,0.003115826023491032
2020-09-02,1407714025,22,51612908,0.7157908387783153,4.805867964831074e-05,0.0027687903494872683
2020-09-02,1407714025,23,47915777,-0.07220629909965612,4.8562352037062153e-05,0.0027695626203932404
2020-09-02,1407714025,24,41734088,-0.30682628842291493,3.029843198039574e-06,0.002771294747137497
2020-09-03,1129520561,0,12604600,-0.22297066946412714,1.2014597736257452e-05,
2020-09-03,1129520561,1,133187738,-0.2804289570610464,0.0005211190703869655,
2020-09-03,1129520561,2,112479483,0.19487926523441942,0.0002012038698550334,
2020-09-03,1129520561,3,50412302,0.13629547078276608,0.00025330171759408717,
2020-09-03,1129520561,4,51038446,-0.06915658696204131,7.735433727251283e-05,0.006069741217918777
2020-09-03,1129520561,5,38308353,0.4361872585477256,4.9419577360159027e-05,0.006558670773495125
2020-09-03,1129520561,6,29672077,-0.22571167992417068,2.774962133338293e-05,0.0051619653940825315
2020-09-03,1129520561,7,32537808,-0.08892742417137006,1.2268420778214148e-05,0.004814947099323326
2020-09-03,1129520561,8,28575887,0.4263560884635315,2.774962133338293e-05,0.0051559881593342734
