date,daily_volume,bin_num,bin_volume,volatility,quote_imbalance
2020-05-13,2539160.0,0,16000.0,6.951166447624339,0.36598862958627143
2020-05-13,2539160.0,1,235800.0,0.05346191492513388,0.15870420742818162
2020-05-13,2539160.0,2,198140.0,0.05675849388286653,-0.38719868964817605
2020-05-13,2539160.0,3,116400.0,0.03622115003012847,0.13936841844158757
2020-05-13,2539160.0,4,145700.0,0.036829184386106446,-0.12549021176455297
2020-05-13,2539160.0,5,98180.0,0.029048054802940523,0.47782167902591244
2020-05-13,2539160.0,6,168760.0,0.032962561302804304,-0.22281916909195926
2020-05-13,2539160.0,7,50200.0,0.02295585752304851,0.3497770897607217
2020-05-13,2539160.0,8,61380.0,0.017992388769694823,-0.1030269633836279
2020-05-13,2539160.0,9,99080.0,0.013911989071308596,-0.1463526291355184
2020-05-13,2539160.0,10,108200.0,0.02563368542257081,0.3496721329413977
2020-05-13,2539160.0,11,37300.0,0.019224453016006154,0.7017285382880166
2020-05-13,2539160.0,12,20000.0,0.010158740079360013,0.18471464311649152
2020-05-13,2539160.0,13,45600.0,0.01234544741767396,0.014947327350547143
2020-05-13,2539160.0,14,204420.0,0.03551376720692166,-0.05183117777163011
2020-05-13,2539160.0,15,158500.0,0.011859093185844143,-0.48262614986957775
2020-05-13,2539160.0,16,140500.0,0.022731383076046878,-0.22992880559465262
2020-05-13,2539160.0,17,43800.0,0.024508940106334774,-0.6496500660925105
2020-05-13,2539160.0,18,15800.0,0.013761216122946836,-0.15772588510733038
2020-05-13,2539160.0,19,65900.0,0.015965667813332425,0.27436267077334153
2020-05-13,2539160.0,20,25400.0,0.011892470571720371,-0.47724599005045404
2020-05-13,2539160.0,21,59500.0,0.010355017470127058,0.5863070316170655
2020-05-13,2539160.0,22,134300.0,0.017899670675485237,-0.29500011280815935
2020-05-13,2539160.0,23,137200.0,0.018873343384466307,0.18224169880484153
2020-05-13,2539160.0,24,153100.0,0.007545176926453314,-0.3477320202086289
2020-05-14,3832968.0,0,48000.0,5.052617449345526,-0.356699507238418
2020-05-14,3832968.0,1,487000.0,0.060539610829026064,-0.2439313668795856
2020-05-14,3832968.0,2,280200.0,0.02754778397055121,-0.15835315157716928
2020-05-14,3832968.0,3,101000.0,0.021453468097769116,-0.0018379130441592273
2020-05-14,3832968.0,4,329060.0,0.029715118505077492,-0.0830537441824696
2020-05-14,3832968.0,5,277500.0,0.04067535853627026,-0.21146133620896493
2020-05-14,3832968.0,6,434481.0,0.052098279906639844,0.24418863631337634
2020-05-14,3832968.0,7,142999.0,0.02644775872305215,0.15208679142596718
2020-05-14,3832968.0,8,163400.0,0.013986136013872255,-0.24498180752260865
2020-05-14,3832968.0,9,44000.0,0.009941309902604657,-0.05172095424503901
2020-05-14,3832968.0,10,69600.0,0.00877716169915672,-0.6408573431778724
2020-05-14,3832968.0,11,58480.0,0.017994583904938747,-0.11410060608128418
2020-05-14,3832968.0,12,53000.0,0.01940652402486605,0.624310513097375
2020-05-14,3832968.0,13,263020.0,0.016979299656850487,-0.15930642509054319
2020-05-14,3832968.0,14,96700.0,0.01885788129140946,-0.07383231799070371
2020-05-14,3832968.0,15,94900.0,0.009831597909816794,0.001979474802258022
2020-05-14,3832968.0,16,87693.0,0.013644470488224774,0.2048629201864601
2020-05-14,3832968.0,17,72100.0,0.0095977919470903,-0.03655689420032945
2020-05-14,3832968.0,18,75400.0,0.02569088052281682,-0.24965435535598754
2020-05-14,3832968.0,19,87500.0,0.025233189185634608,0.07548518641469476
2020-05-14,3832968.0,20,108800.0,0.013974001834578084,0.22870765489605022
2020-05-14,3832968.0,21,51000.0,0.021511398367852288,-0.3105659568841386
2020-05-14,3832968.0,22,31880.0,0.015745324469573246,-0.4502728769352343
2020-05-14,3832968.0,23,103554.0,0.026749596648548285,-0.19063988449462055
2020-05-14,3832968.0,24,271701.0,0.03545700416608428,-0.0455110253404446
2020-05-15,2332994.0,0,7400.0,6.737763797648876,0.2810222363242539
2020-05-15,2332994.0,1,138500.0,0.030518924368972012,0.4515327569205794
2020-05-15,2332994.0,2,222200.0,0.018577261243395222,0.025687028085569052
2020-05-15,2332994.0,3,255000.0,0.03170724656640998,0.6994168385945827
2020-05-15,2332994.0,4,273500.0,0.04845223470201298,-0.7311023341582334
2020-05-15,2332994.0,5,118100.0,0.020143660508139857,0.1171280641081085
2020-05-15,2332994.0,6,54114.0,0.02569614039978251,0.004060706047984059
2020-05-15,2332994.0,7,45200.0,0.015374805000082486,-0.32907873380440306
2020-05-15,2332994.0,8,66600.0,0.019839538954722864,0.11163305809601955
2020-05-15,2332994.0,9,49400.0,0.008920446718114601,0.2125184044173589
2020-05-15,2332994.0,10,33800.0,0.012375971684304975,-0.17323607449365805
2020-05-15,2332994.0,11,21700.0,0.007612090726838148,-0.3891828784897949
2020-05-15,2332994.0,12,30340.0,0.008315121462153189,-0.553532360768183
2020-05-15,2332994.0,13,28600.0,0.007951298038425222,0.6040059029309531
2020-05-15,2332994.0,14,65300.0,0.006656152904312056,0.6116679883701357
2020-05-15,2332994.0,15,63040.0,0.015540427330260724,0.6828891968296072
2020-05-15,2332994.0,16,78280.0,0.011177074041398902,-0.08560308602906516
2020-05-15,2332994.0,17,55820.0,0.026168251670198865,-0.5016925543294563
2020-05-15,2332994.0,18,42800.0,0.005674847843861747,0.25288541195311165
2020-05-15,2332994.0,19,68000.0,0.015409956476044474,0.3973602703366794
2020-05-15,2332994.0,20,73200.0,0.010987848440449883,0.8477024463095207
2020-05-15,2332994.0,21,48340.0,0.014334554477025115,0.7677084113340962
