date,daily_volume,bin_num,bin_volume,max,min,first,last,quote_imbalance
2020-09-03,1129520561,13,40624626,5.71,5.69,5.69,5.71,-0.7659250572923051
2020-09-03,1129520561,14,38216143,5.71,5.69,5.7,5.7,-0.03811098795908723
2020-09-03,1129520561,15,108554690,5.78,5.69,5.7,5.76,0.4909947245614328
2020-09-03,1129520561,16,25941318,5.77,5.74,5.76,5.76,-0.21104524792103213
2020-09-03,1129520561,17,27788444,5.76,5.73,5.75,5.73,0.24422728496198828
2020-09-03,1129520561,18,21919108,5.75,5.73,5.73,5.73,0.603894186996785
2020-09-03,1129520561,19,54650090,5.78,5.73,5.74,5.76,0.4010661202357877
2020-09-03,1129520561,20,46656235,5.78,5.74,5.76,5.77,-0.6005598947218153
2020-09-03,1129520561,21,40539402,5.78,5.75,5.78,5.76,-0.03398907604383776
2020-09-03,1129520561,22,23861554,5.76,5.74,5.76,5.75,0.13619050183636838
2020-09-03,1129520561,23,50976900,5.75,5.69,5.75,5.71,0.20359767001246945
2020-09-03,1129520561,24,35510075,5.72,5.7,5.71,5.71,0.014165833904182036
2020-09-04,740041716,0,14861400,5.55,5.54,5.55,5.54,0.08166996332026502
2020-09-04,740041716,1,107598975,5.64,5.54,5.54,5.63,0.07273058312463541
2020-09-04,740041716,2,94458001,5.66,5.6,5.62,5.65,-0.24566086443392185
2020-09-04,740041716,3,32975281,5.66,5.62,5.66,5.63,0.12156226782065124
2020-09-04,740041716,4,36796097,5.67,5.62,5.64,5.63,0.33227077964327084
2020-09-04,740041716,5,53883878,5.64,5.58,5.63,5.58,0.6371259087046736
2020-09-04,740041716,6,23488616,5.61,5.58,5.58,5.6,-0.4997322620511418
2020-09-04,740041716,7,19942800,5.6,5.58,5.59,5.59,0.5944368760330949
2020-09-04,740041716,8,20904344,5.6,5.57,5.59,5.59,-0.15600223840803512
2020-09-04,740041716,9,49868880,5.59,5.54,5.59,5.54,-0.57557036129124
2020-09-04,740041716,10,16949816,5.57,5.54,5.54,5.56,0.3310914709919345
2020-09-04,740041716,11,22510504,5.56,5.53,5.56,5.55,-0.4554819837886509
2020-09-04,740041716,12,10985160,5.57,5.55,5.56,5.57,0.17180818442074183
2020-09-04,740041716,13,22704543,5.6,5.56,5.57,5.59,-0.7430851986647989
2020-09-04,740041716,14,14386901,5.6,5.56,5.59,5.57,0.46010676368501624
2020-09-04,740041716,15,13336631,5.58,5.55,5.57,5.56,0.20416996095410522
2020-09-04,740041716,16,15615100,5.59,5.55,5.56,5.57,-0.5537823312730005
2020-09-04,740041716,17,19979056,5.6,5.56,5.57,5.58,0.06121887737279794
2020-09-04,740041716,18,16959010,5.59,5.57,5.58,5.59,0.037347404201016926
2020-09-04,740041716,19,19401097,5.62,5.58,5.59,5.6,-0.27706663410702465
2020-09-04,740041716,20,20748745,5.62,5.6,5.61,5.61,-0.5375584238114104
2020-09-04,740041716,21,18693448,5.63,5.6,5.62,5.62,-0.6726697142501081
2020-09-04,740041716,22,16503572,5.64,5.62,5.63,5.63,-0.208172712161804
2020-09-04,740041716,23,22778330,5.63,5.61,5.63,5.63,0.013888178807123607
2020-09-04,740041716,24,33711531,5.64,5.61,5.63,5.62,-0.3374416612192603
2020-09-07,939395872,0,4829935,5.63,5.62,5.62,5.63,0.04564133861222679
2020-09-07,939395872,1,80751479,5.64,5.56,5.62,5.63,-0.1443113701045625
2020-09-07,939395872,2,56625300,5.64,5.57,5.63,5.57,0.5052776024791422
2020-09-07,939395872,3,62050966,5.58,5.52,5.57,5.54,0.25892699840773997
2020-09-07,939395872,4,41148734,5.54,5.51,5.54,5.52,0.42194482722276294
2020-09-07,939395872,5,65901034,5.53,5.48,5.51,5.5,0.025310172419203806
2020-09-07,939395872,6,35150142,5.5,5.47,5.49,5.48,0.33599406421626526
2020-09-07,939395872,7,71137573,5.48,5.43,5.48,5.47,-0.2995144503012688
2020-09-07,939395872,8,21240800,5.47,5.45,5.46,5.47,0.243784456650737
2020-09-07,939395872,9,21990000,5.48,5.45,5.46,5.46,0.33687241384339767
2020-09-07,939395872,10,24332347,5.49,5.44,5.46,5.49,-0.2455955586197669
2020-09-07,939395872,11,13962620,5.49,5.47,5.49,5.49,0.28553303500601096
2020-09-07,939395872,12,17473804,5.52,5.48,5.49,5.51,0.6299751246715146
2020-09-07,939395872,13,20743316,5.51,5.48,5.51,5.49,0.5239294706002731
2020-09-07,939395872,14,16532692,5.5,5.48,5.49,5.49,0.4218916240123808
2020-09-07,939395872,15,19309413,5.51,5.47,5.5,5.48,0.1862307568460431
2020-09-07,939395872,16,17688587,5.49,5.45,5.48,5.45,0.41511016579100035
2020-09-07,939395872,17,20828699,5.47,5.45,5.45,5.47,0.2836369555573645
2020-09-07,939395872,18,26306800,5.47,5.43,5.47,5.44,0.694549354265349
2020-09-07,939395872,19,25872363,5.47,5.42,5.44,5.42,0.6164188840035163
2020-09-07,939395872,20,59139074,5.43,5.39,5.43,5.4,-0.2224433401876406
2020-09-07,939395872,21,39756300,5.41,5.37,5.39,5.37,0.32895798271200977
2020-09-07,939395872,22,71680097,5.39,5.3,5.37,5.31,0.3138436129698179
2020-09-07,939395872,23,66706444,5.41,5.3,5.31,5.41,-0.07663216745894884
2020-09-07,939395872,24,38237353,5.41,5.37,5.4,5.38,0.2880551061945002
2020-09-08,745294834,0,2558700,5.39,5.38,5.38,5.39,0.27299408663403396
2020-09-08,745294834,1,66711568,5.4,5.3,5.39,5.31,0.2041757095921665
2020-09-08,745294834,2,68947895,5.44,5.29,5.3,5.42,0.1755232542617854
2020-09-08,745294834,3,46117866,5.44,5.4,5.42,5.44,-0.41728965368955867
2020-09-08,745294834,4,58062033,5.51,5.43,5.44,5.47,0.46084972163651095
2020-09-08,745294834,5,23034800,5.48,5.43,5.48,5.46,-0.30888311167005184
2020-09-08,745294834,6,22861995,5.46,5.42,5.46,5.42,-0.027503648552134774
2020-09-08,745294834,7,18129207,5.44,5.41,5.42,5.43,0.3225467635285672
2020-09-08,745294834,8,15919800,5.45,5.41,5.43,5.41,0.590875864308005
2020-09-08,745294834,9,13720393,5.43,5.4,5.42,5.41,0.25360506253893833
2020-09-08,745294834,10,19547700,5.41,5.37,5.4,5.38,0.618651006804361
2020-09-08,745294834,11,20329693,5.4,5.35,5.38,5.37,0.2720920887970158
2020-09-08,745294834,12,10299900,5.4,5.37,5.38,5.38,0.34239407146153433
2020-09-08,745294834,13,20921437,5.4,5.36,5.39,5.39,-0.06610417317360885
2020-09-08,745294834,14,17774811,5.44,5.39,5.39,5.43,0.11135697604126175
2020-09-08,745294834,15,16663300,5.45,5.42,5.44,5.44,-0.06033962975501846
2020-09-08,745294834,16,28213140,5.46,5.43,5.43,5.45,-0.16385245861328987
2020-09-08,745294834,17,64418650,5.51,5.44,5.45,5.51,0.11909271884871205
2020-09-08,745294834,18,31902587,5.52,5.49,5.51,5.49,-0.14992564374889758
2020-09-08,745294834,19,16637918,5.5,5.48,5.49,5.48,0.32848299289094685
2020-09-08,745294834,20,30305700,5.5,5.48,5.49,5.5,-0.4142724969146082
2020-09-08,745294834,21,30906400,5.51,5.47,5.5,5.49,0.08758340554896218
2020-09-08,745294834,22,27422971,5.51,5.48,5.49,5.5,-0.3969893853154295
2020-09-08,745294834,23,37459893,5.51,5.48,5.51,5.5,-0.27478915381582864
2020-09-08,745294834,24,36426477,5.52,5.49,5.5,5.51,0.035422935398271675
2020-09-09,706250412,0,3665000,5.42,5.42,5.42,5.42,0.004547856891548796
2020-09-09,706250412,1,69235402,5.42,5.37,5.42,5.39,0.0744668891301222
2020-09-09,706250412,2,59400165,5.39,5.36,5.39,5.36,0.07087190144886112
2020-09-09,706250412,3,59173511,5.37,5.32,5.37,5.34,0.75052820192049
2020-09-09,706250412,4,37429200,5.35,5.32,5.35,5.32,0.29046301202204594
2020-09-09,706250412,5,41764534,5.33,5.31,5.32,5.32,0.5510353184211835
2020-09-09,706250412,6,30598466,5.33,5.3,5.32,5.31,-0.12850521567565498
2020-09-09,706250412,7,51948994,5.32,5.29,5.31,5.29,-0.044806715302835545
2020-09-09,706250412,8,35963350,5.35,5.29,5.3,5.34,-0.10382030582565964
2020-09-09,706250412,9,16344852,5.36,5.33,5.34,5.36,0.0038847105452910874
2020-09-09,706250412,10,15146883,5.38,5.34,5.35,5.37,0.11734563605453363
2020-09-09,706250412,11,9929600,5.37,5.34,5.36,5.36,-0.11915792717086644
2020-09-09,706250412,12,9585300,5.38,5.36,5.37,5.37,-0.22244251789291386
2020-09-09,706250412,13,13589600,5.38,5.36,5.37,5.37,-0.008073406401493653
2020-09-09,706250412,14,17473400,5.39,5.35,5.37,5.38,-0.46118808382716536
2020-09-09,706250412,15,13323800,5.4,5.37,5.38,5.38,-0.23314459216055883
2020-09-09,706250412,16,14924336,5.4,5.36,5.38,5.4,-0.3867740043140857
2020-09-09,706250412,17,21364161,5.41,5.36,5.4,5.37,0.12446829299619716
2020-09-09,706250412,18,15357357,5.38,5.35,5.37,5.35,0.005722244596252636
2020-09-09,706250412,19,15052037,5.38,5.34,5.36,5.37,0.4965419410942047
2020-09-09,706250412,20,12754871,5.39,5.36,5.37,5.37,-0.09877913403904816
2020-09-09,706250412,21,19819429,5.38,5.34,5.37,5.35,-0.11482914637482163
2020-09-09,706250412,22,17733500,5.36,5.33,5.34,5.35,-0.11757148122686012
2020-09-09,706250412,23,41001603,5.36,5.31,5.35,5.33,0.2506240245800991
2020-09-09,706250412,24,63671061,5.34,5.29,5.34,5.3,0.48934546217939995
2020-09-10,856712544,0,5513427,5.37,5.37,5.37,5.37,0.22124513437690807
2020-09-10,856712544,1,57251973,5.39,5.34,5.38,5.36,-0.5924730146174817
2020-09-10,856712544,2,38407637,5.37,5.32,5.36,5.34,0.0013434152225449882
2020-09-10,856712544,3,35522358,5.35,5.3,5.33,5.3,0.23970824051861442
2020-09-10,856712544,4,48168236,5.32,5.27,5.3,5.31,-0.15786698773365115
2020-09-10,856712544,5,28235400,5.35,5.3,5.31,5.33,-0.059009370740443504
2020-09-10,856712544,6,20475675,5.34,5.29,5.33,5.32,-0.2526561010226101
2020-09-10,856712544,7,17755900,5.34,5.3,5.32,5.31,0.2785041410450124
2020-09-10,856712544,8,17435020,5.31,5.28,5.31,5.29,0.8078986648809324
2020-09-10,856712544,9,41590200,5.3,5.25,5.29,5.25,0.479458494857351
2020-09-10,856712544,10,78174779,5.26,5.17,5.25,5.18,0.12026760510406857
2020-09-10,856712544,11,69980182,5.19,5.15,5.18,5.17,-0.28892355018455174
2020-09-10,856712544,12,30760307,5.2,5.16,5.16,5.16,0.6281879065503481
2020-09-10,856712544,13,51650251,5.17,5.13,5.17,5.15,0.20466908119448102
2020-09-10,856712544,14,27269600,5.2,5.13,5.15,5.2,-0.14830549007686464
2020-09-10,856712544,15,16974100,5.21,5.18,5.2,5.21,0.03977670745454082
2020-09-10,856712544,16,13553600,5.22,5.17,5.21,5.18,0.43496702850223473
2020-09-10,856712544,17,15826187,5.2,5.16,5.17,5.19,-0.4463875918859325
2020-09-10,856712544,18,24758693,5.22,5.18,5.19,5.19,0.5313079221155135
2020-09-10,856712544,19,14933333,5.2,5.16,5.19,5.18,0.3328704480861115
2020-09-10,856712544,20,23928100,5.18,5.14,5.17,5.15,-0.45205028988866813
2020-09-10,856712544,21,28304300,5.16,5.12,5.14,5.12,0.21007771267671818
2020-09-10,856712544,22,57564000,5.14,5.09,5.13,5.1,-0.37229572206189104
2020-09-10,856712544,23,48531678,5.12,5.07,5.1,5.11,-0.26879251092049883
2020-09-10,856712544,24,44147608,5.12,5.08,5.11,5.08,0.4522767613433963
2020-09-11,596018218,0,1454305,5.11,5.1,5.1,5.11,0.4063644470014459
2020-09-11,596018218,1,63037917,5.13,5.03,5.12,5.04,-0.0362159141871822
2020-09-11,596018218,2,45744636,5.1,5.02,5.04,5.1,-0.39549054451601073
2020-09-11,596018218,3,31645000,5.13,5.09,5.1,5.13,0.3085325856644045
2020-09-11,596018218,4,33988624,5.15,5.12,5.13,5.15,-0.6642243971548066
2020-09-11,596018218,5,26770042,5.16,5.13,5.14,5.15,-0.47058686449740866
2020-09-11,596018218,6,26652431,5.16,5.13,5.14,5.16,-0.24811372949318608
2020-09-11,596018218,7,31516200,5.18,5.15,5.16,5.16,0.473467088350574
2020-09-11,596018218,8,19473695,5.18,5.13,5.16,5.14,-0.14227916452765801
2020-09-11,596018218,9,13415400,5.15,5.12,5.13,5.14,-0.21321029316238363
2020-09-11,596018218,10,12629729,5.16,5.12,5.13,5.15,0.43026857477092056
2020-09-11,596018218,11,16335693,5.17,5.13,5.14,5.15,-0.4647550099331422
2020-09-11,596018218,12,22123400,5.19,5.15,5.16,5.18,-0.5672734333170194
2020-09-11,596018218,13,37686641,5.24,5.18,5.19,5.23,-0.36761186026141
2020-09-11,596018218,14,24993113,5.25,5.22,5.23,5.24,-0.46503472185229056
2020-09-11,596018218,15,24425732,5.26,5.23,5.23,5.25,-0.34551530430248867
2020-09-11,596018218,16,21069472,5.27,5.24,5.24,5.27,-0.03568020125761686
2020-09-11,596018218,17,12554398,5.27,5.24,5.26,5.26,-0.4869125547892338
2020-09-11,596018218,18,20016400,5.26,5.24,5.25,5.25,-0.4030959076007247
2020-09-11,596018218,19,14334327,5.26,5.23,5.25,5.23,-0.4230825649701486
2020-09-11,596018218,20,12870023,5.26,5.23,5.24,5.25,-0.6372458468767801
2020-09-11,596018218,21,20498100,5.27,5.24,5.25,5.25,0.21016920245156945
2020-09-11,596018218,22,23429700,5.26,5.24,5.24,5.26,-0.8682749923531321
2020-09-11,596018218,23,14542489,5.26,5.23,5.25,5.24,0.6273643231070887
2020-09-11,596018218,24,24810751,5.25,5.23,5.23,5.24,-0.39753464615357564
2020-09-14,517055695,0,4164900,5.26,5.24,5.26,5.24,-0.27940728272806253
2020-09-14,517055695,1,84356266,5.34,5.24,5.25,5.34,-0.28451220719703607
2020-09-14,517055695,2,45847331,5.34,5.29,5.33,5.29,-0.18858268898802968
2020-09-14,517055695,3,27575880,5.3,5.26,5.3,5.28,0.44987483393321653
2020-09-14,517055695,4,25926431,5.29,5.24,5.28,5.25,0.13699194208173196
2020-09-14,517055695,5,27125139,5.26,5.23,5.24,5.24,-0.04090779623179717
2020-09-14,517055695,6,18504500,5.26,5.23,5.23,5.25,-0.42282335329741494
2020-09-14,517055695,7,21240400,5.26,5.23,5.25,5.24,-0.33532686644242155
2020-09-14,517055695,8,15358500,5.25,5.22,5.24,5.23,0.18365326053326347
2020-09-14,517055695,9,25943094,5.23,5.2,5.22,5.21,0.21251748215237462
2020-09-14,517055695,10,22690906,5.22,5.18,5.22,5.21,-0.055649313754056406
2020-09-14,517055695,11,11383194,5.24,5.21,5.21,5.24,0.01725467852650138
2020-09-14,517055695,12,21372600,5.27,5.24,5.24,5.24,0.2905043547737878
2020-09-14,517055695,13,11323300,5.25,5.22,5.24,5.23,-0.5484998902001069
2020-09-14,517055695,14,12073600,5.23,5.2,5.22,5.22,-0.034440531306556284
2020-09-14,517055695,15,11595028,5.24,5.2,5.21,5.24,-0.39214003647882373
2020-09-14,517055695,16,11059288,5.25,5.22,5.24,5.24,0.03305358110351814
2020-09-14,517055695,17,13105704,5.26,5.24,5.24,5.25,0.385762706542962
2020-09-14,517055695,18,10010307,5.25,5.22,5.24,5.23,0.5464651409317323
2020-09-14,517055695,19,14696600,5.24,5.21,5.23,5.21,-0.48795714198416157
2020-09-14,517055695,20,12938400,5.24,5.2,5.22,5.23,0.509499707431043
2020-09-14,517055695,21,11190500,5.24,5.22,5.23,5.23,-0.3657532368826673
2020-09-14,517055695,22,12480960,5.24,5.21,5.23,5.22,-0.5351937874740379
2020-09-14,517055695,23,18172618,5.24,5.22,5.22,5.23,-0.32260566290671233
2020-09-14,517055695,24,26920249,5.24,5.22,5.23,5.24,-0.31936612477077453
2020-09-15,397330728,0,1302500,5.24,5.24,5.24,5.24,0.10854983991802356
2020-09-15,397330728,1,48637128,5.23,5.14,5.23,5.16,-0.14891559630672496
2020-09-15,397330728,2,37774345,5.18,5.13,5.16,5.17,0.10039143462615685
2020-09-15,397330728,3,18711800,5.18,5.16,5.17,5.17,-0.2859325762014872
2020-09-15,397330728,4,14010823,5.19,5.16,5.17,5.18,-0.11768660178687214
2020-09-15,397330728,5,23877800,5.21,5.17,5.19,5.19,-0.15446771232460585
2020-09-15,397330728,6,12847420,5.19,5.16,5.18,5.17,-0.22629679784016055
2020-09-15,397330728,7,8700238,5.17,5.15,5.16,5.16,0.2156409068225706
2020-09-15,397330728,8,17568280,5.17,5.14,5.17,5.15,0.802944233521302
2020-09-15,397330728,9,9088820,5.18,5.14,5.14,5.17,0.025544203572923092
2020-09-15,397330728,10,9588640,5.19,5.17,5.17,5.17,-0.03572421376815341
2020-09-15,397330728,11,5956720,5.19,5.17,5.17,5.18,0.2892290208261308
2020-09-15,397330728,12,21584547,5.22,5.17,5.18,5.2,-0.5975477771804937
2020-09-15,397330728,13,18554400,5.23,5.2,5.2,5.22,0.007524975865036896
2020-09-15,397330728,14,11342610,5.24,5.22,5.23,5.22,-0.7931275187466235
2020-09-15,397330728,15,10756000,5.23,5.2,5.22,5.21,0.31115474138245697
2020-09-15,397330728,16,14219066,5.23,5.2,5.2,5.23,-0.37495776415231136
2020-09-15,397330728,17,16334400,5.23,5.19,5.22,5.2,-0.061120338852448164
2020-09-15,397330728,18,9175000,5.21,5.19,5.19,5.21,0.23172083400032914
2020-09-15,397330728,19,12090060,5.21,5.18,5.2,5.2,0.23056172747355236
2020-09-15,397330728,20,8994440,5.21,5.19,5.19,5.2,-0.695147092959777
2020-09-15,397330728,21,9773700,5.22,5.2,5.2,5.2,-0.06822519156995216
2020-09-15,397330728,22,19684702,5.23,5.2,5.2,5.23,-0.1496308351477193
2020-09-15,397330728,23,17809400,5.23,5.2,5.23,5.21,-0.5075221813589935
2020-09-15,397330728,24,18947889,5.23,5.21,5.21,5.22,-0.20384959885892448
2020-09-16,414305643,0,1788900,5.19,5.18,5.19,5.18,-0.19495398057886765
2020-09-16,414305643,1,35769006,5.23,5.16,5.18,5.23,0.22105797075142453
2020-09-16,414305643,2,22506565,5.23,5.17,5.23,5.19,-0.3153148150098997
2020-09-16,414305643,3,63222737,5.27,5.19,5.19,5.26,-0.28658839637598155
2020-09-16,414305643,4,24279133,5.27,5.23,5.26,5.24,0.17278655120871936
2020-09-16,414305643,5,17479483,5.25,5.22,5.23,5.23,-0.2221305332005448
2020-09-16,414305643,6,19556796,5.25,5.22,5.22,5.22,-0.13164635922707224
2020-09-16,414305643,7,21142696,5.23,5.2,5.23,5.21,0.3860902157773486
2020-09-16,414305643,8,10048728,5.23,5.21,5.21,5.21,0.7940290808231043
2020-09-16,414305643,9,11987780,5.23,5.19,5.22,5.2,0.31319778312784274
2020-09-16,414305643,10,9773534,5.21,5.18,5.2,5.2,-0.20559254980326414
2020-09-16,414305643,11,4388259,5.21,5.19,5.2,5.2,0.1371662601629208
2020-09-16,414305643,12,4661904,5.2,5.18,5.19,5.19,-0.38973011897636267
2020-09-16,414305643,13,12712100,5.19,5.17,5.19,5.17,0.3428358512614561
2020-09-16,414305643,14,12878900,5.18,5.16,5.17,5.18,0.6138226193573898
2020-09-16,414305643,15,7836900,5.19,5.17,5.17,5.18,0.5355263851704312
2020-09-16,414305643,16,8710100,5.18,5.16,5.18,5.17,0.4913109582504172
2020-09-16,414305643,17,11043100,5.17,5.15,5.16,5.15,0.8283011000817436
2020-09-16,414305643,18,12213503,5.17,5.15,5.16,5.16,0.5263942036120145
2020-09-16,414305643,19,12662308,5.16,5.14,5.16,5.14,0.26801352517099064
2020-09-16,414305643,20,23640089,5.15,5.12,5.14,5.14,-0.5788125503299539
2020-09-16,414305643,21,19287501,5.14,5.11,5.13,5.13,0.6137554570000975
2020-09-16,414305643,22,13425698,5.16,5.12,5.12,5.15,-0.45345298631460434
2020-09-16,414305643,23,13735458,5.17,5.14,5.15,5.16,0.9045775891170034
2020-09-16,414305643,24,19554465,5.18,5.15,5.17,5.17,-0.4958549196665807
2020-09-17,563599230,0,1531700,5.13,5.13,5.13,5.13,0.2922339902360502
2020-09-17,563599230,1,21853186,5.15,5.11,5.13,5.12,-0.12551091098810338
2020-09-17,563599230,2,26796014,5.13,5.11,5.13,5.12,-0.32449963714081703
2020-09-17,563599230,3,20064372,5.18,5.12,5.13,5.17,-0.3108739019754178
2020-09-17,563599230,4,15311472,5.18,5.15,5.18,5.15,-0.3404439191344059
