date,daily_volume,bin_num,bin_volume,quote_imbalance,volatility
2020-09-01,52006532,0,352986,0.2554355377449027,
2020-09-01,52006532,1,9846066,-0.5454307756108966,
2020-09-01,52006532,2,3773063,-0.48751872201328056,
2020-09-01,52006532,3,2469654,-0.1335084089292182,
2020-09-01,52006532,4,2588878,-0.5380110386766774,
2020-09-01,52006532,5,2491200,-0.016026347140419745,
2020-09-01,52006532,6,1140588,0.08776398306483699,
2020-09-01,52006532,7,1568338,-0.20182184091953925,
2020-09-01,52006532,8,1615561,-0.009821071612399647,
2020-09-01,52006532,9,1877400,-0.02677701753749839,
2020-09-01,52006532,10,1357577,0.40674416939388636,
2020-09-01,52006532,11,1223300,0.2472868574671282,0.0639809642233441
2020-09-01,52006532,12,1263983,-0.0453194972582235,0.05948039407612378
2020-09-01,52006532,13,1430879,0.16951120579313636,0.05205651814644196
2020-09-01,52006532,14,1250948,-0.23203710821848536,0.04835454757689328
2020-09-01,52006532,15,1168227,-0.1203044831024045,0.043898535178431
2020-09-01,52006532,16,1445200,0.21300222369813301,0.0533500881853539
2020-09-01,52006532,17,1596500,0.1327478390029055,0.05410419438496364
2020-09-01,52006532,18,2002314,0.2811504539088813,0.062480197181151644
2020-09-01,52006532,19,1797100,0.18809855792662378,0.05903083078152834
2020-09-01,52006532,20,1271100,0.25030927161860644,0.05336986490904765
2020-09-01,52006532,21,1766288,-0.22155585142686407,0.04939341212399867
2020-09-01,52006532,22,1771821,0.16246701340423514,0.05435569937444701
2020-09-01,52006532,23,2746100,0.00748791951409019,0.050067220536740245
2020-09-01,52006532,24,2191461,-0.09148808240180137,0.05234828009755265
2020-09-02,72550775,0,474900,0.33870027959613963,0.06204233648279882
2020-09-02,72550775,1,3521855,0.09078816884154745,0.0922182245430921
2020-09-02,72550775,2,2837816,0.0689814994835271,0.09381156301492746
2020-09-02,72550775,3,3447302,0.6821554610900257,0.08319824859463616
2020-09-02,72550775,4,3433329,0.35938910819825015,0.07604963498748002
2020-09-02,72550775,5,3149825,0.21651141502591745,0.06599228810801999
2020-09-02,72550775,6,1548171,0.283666448531129,0.05820722150562349
2020-09-02,72550775,7,1971407,0.44634580625363707,0.06478821775187923
2020-09-02,72550775,8,3995047,-0.06568378930581176,0.06259827806250419
2020-09-02,72550775,9,2054707,0.06872958754924278,0.06311329145268851
2020-09-02,72550775,10,3755637,-0.29383014199999,0.08866620121538507
2020-09-02,72550775,11,6682968,-0.2195122837389615,0.09818435903379354
2020-09-02,72550775,12,1777600,-0.10202423333519202,0.09462343974193478
2020-09-02,72550775,13,1559530,-0.5756013559654465,0.08421579302871869
2020-09-02,72550775,14,1979625,-0.49568229941737735,0.07589529395384312
2020-09-02,72550775,15,3090635,0.15644844495079102,0.0652927185897786
2020-09-02,72550775,16,4673647,-0.30518595071142623,0.07205466422179158
2020-09-02,72550775,17,4812281,0.14272625103645634,0.06572335522559646
2020-09-02,72550775,18,4866931,0.12521573966571312,0.0852229195976832
2020-09-02,72550775,19,1954501,-0.43154482228771535,0.07689135776851304
2020-09-02,72550775,20,2750547,0.05628671217095232,0.06988373488935869
2020-09-02,72550775,21,1652800,-0.18635845059930256,0.06458993832169192
2020-09-02,72550775,22,1968610,-0.06084498555559056,0.06611353289408044
2020-09-02,72550775,23,2379752,-0.028628502033954374,0.060222194674301746
2020-09-02,72550775,24,2211352,0.17872546867936798,0.06107657303230494
2020-09-03,79264755,0,871078,-0.4257903327221878,0.05935520862544112
2020-09-03,79264755,1,4833490,-0.2518031577429886,0.06464627344048804
2020-09-03,79264755,2,4417955,0.18204157836050364,0.06343248159609663
2020-09-03,79264755,3,3479141,-0.29045446620659876,0.05920454072636393
2020-09-03,79264755,4,5442040,-0.4213291475931334,0.07729614515700092
2020-09-03,79264755,5,5120259,0.06491010100797975,0.07994821987934965
2020-09-03,79264755,6,2837790,-0.4544929156035439,0.07209624207901755
2020-09-03,79264755,7,5688441,-0.2788413839538231,0.06847038450928786
2020-09-03,79264755,8,11179077,0.26083591477479934,0.07565254679125542
2020-09-03,79264755,9,3161100,0.4207342109455195,0.0830218404884264
2020-09-03,79264755,10,1544500,0.35458108325072163,0.09587273057229925
2020-09-03,79264755,11,3133160,0.22537040000469122,0.0852885196815144
2020-09-03,79264755,12,2055500,0.28820183407647487,0.09368598269845638
2020-09-03,79264755,13,2192497,0.2586513334066696,0.09050448111150851
2020-09-03,79264755,14,1651400,0.4166821702336373,0.0791739354650265
2020-09-03,79264755,15,1257227,-0.12999457667026712,0.07118158638158525
2020-09-03,79264755,16,1209476,-0.3748393571825419,0.06552352582700463
2020-09-03,79264755,17,1463300,0.10771891010204755,0.059167120180108175
2020-09-03,79264755,18,1795300,0.4335169246088399,0.07188981522180965
2020-09-03,79264755,19,2220258,-0.07216838301019983,0.06459347469239708
2020-09-03,79264755,20,1497987,0.13115434472988513,0.07624270973553732
2020-09-03,79264755,21,3024454,-0.33370166489925335,0.06800004690067767
2020-09-03,79264755,22,2618300,-0.33295192141999763,0.07032822294663127
2020-09-03,79264755,23,3455900,-0.07694474378071736,0.07036824469966467
2020-09-03,79264755,24,3115125,-0.18575954417332263,0.06485414679790265
2020-09-04,80884045,0,847600,0.07998642299729168,0.05849747615080766
2020-09-04,80884045,1,6225209,-0.037642881305868896,0.1042060441692781
2020-09-04,80884045,2,4591444,-0.44572341685711064,0.0927028180421841
2020-09-04,80884045,3,4031630,-0.14553814207978208,0.09291426809214155
2020-09-04,80884045,4,7289344,0.04202446787425427,0.08369987105844641
