date,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24
2020-05-13,"[74600.0, 74600.0, 74600.0, 0.0039, 74600.0, 2.3425, -0.3806]","[1314200.0, 1388800.0, 694400.0, 0.0684, 1314200.0, 0.0144, 0.1314]","[820009.0, 2208809.0, 736269.6667, 0.0427, 820009.0, 0.0106, 0.0001]","[935100.0, 3143909.0, 1023103.0, 0.0487, 935100.0, 0.0082, 0.2576]","[1677907.0, 4821816.0, 1144338.6667, 0.0874, 1677907.0, 0.0115, 0.0543]","[1643691.0, 6465507.0, 1418899.3333, 0.0856, 1643691.0, 0.0108, -0.1821]","[698600.0, 7164107.0, 1340066.0, 0.0364, 698600.0, 0.0058, 0.1151]","[923200.0, 8087307.0, 1088497.0, 0.0481, 923200.0, 0.0094, 0.1141]","[406400.0, 8493707.0, 676066.6667, 0.0212, 406400.0, 0.0117, 0.379]","[207200.0, 8700907.0, 512266.6667, 0.0108, 207200.0, 0.0052, -0.0334]","[515200.0, 9216107.0, 376266.6667, 0.0268, 515200.0, 0.0087, -0.3893]","[552400.0, 9768507.0, 424933.3333, 0.0288, 552400.0, 0.0061, 0.6547]","[931800.0, 10700307.0, 666466.6667, 0.0485, 931800.0, 0.0088, 0.1391]","[684804.0, 11385111.0, 723001.3333, 0.0357, 684804.0, 0.0114, -0.1688]","[516800.0, 11901911.0, 711134.6667, 0.0269, 516800.0, 0.0091, 0.2218]","[759800.0, 12661711.0, 653801.3333, 0.0396, 759800.0, 0.0075, 0.2836]","[242500.0, 12904211.0, 506366.6667, 0.0126, 242500.0, 0.0051, 0.0302]","[417900.0, 13322111.0, 473400.0, 0.0218, 417900.0, 0.0125, 0.1116]","[850400.0, 14172511.0, 503600.0, 0.0443, 850400.0, 0.0071, -0.3401]","[468100.0, 14640611.0, 578800.0, 0.0244, 468100.0, 0.0182, -0.3459]","[542200.0, 15182811.0, 620233.3333, 0.0282, 542200.0, 0.0081, -0.276]","[805100.0, 15987911.0, 605133.3333, 0.0419, 805100.0, 0.0133, -0.0258]","[1265100.0, 17253011.0, 870800.0, 0.0659, 1265100.0, 0.0144, 0.3031]","[1047400.0, 18300411.0, 1039200.0, 0.0545, 1047400.0, 0.0094, 0.3609]","[908100.0, 19208511.0, 1073533.3333, 0.0473, 908100.0, 0.0112, 0.4675]"
2020-05-14,"[62300.0, 62300.0, 62300.0, 0.0028, 74600.0, 2.5344, -0.3517]","[1895600.0, 1957900.0, 978950.0, 0.0617, 1314200.0, 0.0412, 0.1595]","[2067266.0, 4025166.0, 1341722.0, 0.0513, 820009.0, 0.0342, -0.3349]","[4308600.0, 8333766.0, 2757155.3333, 0.0867, 935100.0, 0.0442, -0.1317]","[5830041.0, 14163807.0, 4068635.6667, 0.1281, 1677907.0, 0.0305, 0.0113]","[2064600.0, 16228407.0, 4067747.0, 0.0727, 1643691.0, 0.012, -0.1226]","[3860400.0, 20088807.0, 3918347.0, 0.0741, 698600.0, 0.0246, -0.4024]","[1010800.0, 21099607.0, 2311933.3333, 0.0387, 923200.0, 0.0077, -0.622]","[819800.0, 21919407.0, 1897000.0, 0.0224, 406400.0, 0.01, 0.2959]","[949100.0, 22868507.0, 926566.6667, 0.0191, 207200.0, 0.0133, 0.3728]","[587291.0, 23455798.0, 785397.0, 0.0219, 515200.0, 0.0089, -0.1897]","[726800.0, 24182598.0, 754397.0, 0.0249, 552400.0, 0.0077, -0.1789]","[1135300.0, 25317898.0, 816463.6667, 0.0407, 931800.0, 0.0121, 0.0562]","[926100.0, 26243998.0, 929400.0, 0.0312, 684804.0, 0.0102, 0.3712]","[701209.0, 26945207.0, 920869.6667, 0.0236, 516800.0, 0.0071, -0.1257]","[863291.0, 27808498.0, 830200.0, 0.0323, 759800.0, 0.0105, -0.2623]","[562500.0, 28370998.0, 709000.0, 0.0145, 242500.0, 0.0053, -0.508]","[444000.0, 28814998.0, 623263.6667, 0.0173, 417900.0, 0.0057, 0.0829]","[588000.0, 29402998.0, 531500.0, 0.0306, 850400.0, 0.007, 0.3544]","[992100.0, 30395098.0, 674700.0, 0.0265, 468100.0, 0.0166, 0.0734]","[586300.0, 30981398.0, 722133.3333, 0.0226, 542200.0, 0.0063, 0.4001]","[513600.0, 31494998.0, 697333.3333, 0.0284, 805100.0, 0.0091, 0.1647]","[478200.0, 31973198.0, 526033.3333, 0.0399, 1265100.0, 0.006, 0.2545]","[963600.0, 32936798.0, 651800.0, 0.0412, 1047400.0, 0.0091, 0.3669]","[1600400.0, 34537198.0, 1014066.6667, 0.0468, 908100.0, 0.0088, -0.4008]"
2020-05-15,"[257100.0, 257100.0, 257100.0, 0.0053, 74600.0, 2.2127, 0.2304]","[3179800.0, 3436900.0, 1718450.0, 0.0832, 1314200.0, 0.0296, -0.1783]","[1196000.0, 4632900.0, 1544300.0, 0.05, 820009.0, 0.009, 0.0543]","[909304.0, 5542204.0, 1761701.3333, 0.0698, 935100.0, 0.0131, 0.1422]","[1250400.0, 6792604.0, 1118568.0, 0.1019, 1677907.0, 0.0204, -0.0898]","[741100.0, 7533704.0, 966934.6667, 0.0583, 1643691.0, 0.011, -0.2449]","[1160600.0, 8694304.0, 1050700.0, 0.0647, 698600.0, 0.0131, -0.3376]","[1429500.0, 10123804.0, 1110400.0, 0.0447, 923200.0, 0.0126, -0.4032]","[1197500.0, 11321304.0, 1262533.3333, 0.0308, 406400.0, 0.0114, 0.118]","[759500.0, 12080804.0, 1128833.3333, 0.0228, 207200.0, 0.0168, 0.1805]","[681800.0, 12762604.0, 879600.0, 0.0236, 515200.0, 0.0111, -0.6853]","[691200.0, 13453804.0, 710833.3333, 0.0257, 552400.0, 0.0104, -0.5275]","[524100.0, 13977904.0, 632366.6667, 0.0341, 931800.0, 0.0066, -0.4382]","[1289604.0, 15267508.0, 834968.0, 0.0379, 684804.0, 0.009, -0.2718]","[1051200.0, 16318708.0, 954968.0, 0.0296, 516800.0, 0.0136, -0.1124]","[1836700.0, 18155408.0, 1392501.3333, 0.0458, 759800.0, 0.0158, 0.0382]","[662600.0, 18818008.0, 1183500.0, 0.0184, 242500.0, 0.0092, 0.2372]","[743600.0, 19561608.0, 1080966.6667, 0.0214, 417900.0, 0.0084, -0.1694]","[631900.0, 20193508.0, 679366.6667, 0.0288, 850400.0, 0.0079, -0.089]","[546613.0, 20740121.0, 640704.3333, 0.0249, 468100.0, 0.0079, 0.1393]","[557300.0, 21297421.0, 578604.3333, 0.0224, 542200.0, 0.008, -0.3533]","[284600.0, 21582021.0, 462837.6667, 0.0227, 805100.0, 0.0061, -0.0419]","[700800.0, 22282821.0, 514233.3333, 0.0358, 1265100.0, 0.0148, 0.4687]","[1429500.0, 23712321.0, 804966.6667, 0.0464, 1047400.0, 0.0109, -0.1365]","[1477692.0, 25190013.0, 1202664.0, 0.0508, 908100.0, 0.0091, -0.0887]"
2020-05-18,"[408100.0, 408100.0, 408100.0, 0.0086, 74600.0, 2.2938, 0.043]","[5251604.0, 5659704.0, 2829852.0, 0.1199, 1314200.0, 0.0396, -0.2886]","[2385000.0, 8044704.0, 2681568.0, 0.0628, 820009.0, 0.0438, -0.068]","[1888600.0, 9933304.0, 3175068.0, 0.075, 935100.0, 0.02, -0.4625]","[1026500.0, 10959804.0, 1766700.0, 0.0845, 1677907.0, 0.0112, 0.3684]","[893000.0, 11852804.0, 1269366.6667, 0.0399, 1643691.0, 0.0232, -0.0261]","[869000.0, 12721804.0, 929500.0, 0.0625, 698600.0, 0.0152, 0.3003]","[782900.0, 13504704.0, 848300.0, 0.0376, 923200.0, 0.0142, -0.0728]","[478100.0, 13982804.0, 710000.0, 0.0292, 406400.0, 0.011, 0.2277]","[463904.0, 14446708.0, 574968.0, 0.0245, 207200.0, 0.0094, -0.7592]","[402492.0, 14849200.0, 448165.3333, 0.0193, 515200.0, 0.0101, 0.0442]","[366096.0, 15215296.0, 410830.6667, 0.0203, 552400.0, 0.0143, 0.253]","[814200.0, 16029496.0, 527596.0, 0.0271, 931800.0, 0.0119, 0.3461]","[687600.0, 16717096.0, 622632.0, 0.0338, 684804.0, 0.0121, 0.1727]","[1113600.0, 17830696.0, 871800.0, 0.0333, 516800.0, 0.007, -0.0481]","[876400.0, 18707096.0, 892533.3333, 0.0426, 759800.0, 0.0127, -0.1747]","[447300.0, 19154396.0, 812433.3333, 0.0193, 242500.0, 0.0081, 0.4154]","[547000.0, 19701396.0, 623566.6667, 0.0203, 417900.0, 0.0134, 0.2571]","[351700.0, 20053096.0, 448666.6667, 0.018, 850400.0, 0.0071, -0.2292]","[550500.0, 20603596.0, 483066.6667, 0.0231, 468100.0, 0.0093, 0.291]","[1070900.0, 21674496.0, 657700.0, 0.0252, 542200.0, 0.017, 0.3213]","[1500100.0, 23174596.0, 1040500.0, 0.0257, 805100.0, 0.0169, 0.5661]","[2606613.0, 25781209.0, 1725871.0, 0.0435, 1265100.0, 0.0293, 0.4251]","[2166900.0, 27948109.0, 2091204.3333, 0.0528, 1047400.0, 0.0156, -0.045]","[1437700.0, 29385809.0, 2070404.3333, 0.0513, 908100.0, 0.0091, 0.0749]"
2020-05-19,"[80400.0, 80400.0, 80400.0, 0.0086, 74600.0, 2.5455, -0.3544]","[2074200.0, 2154600.0, 1077300.0, 0.1168, 1314200.0, 0.0129, -0.053]","[1706900.0, 3861500.0, 1287166.6667, 0.0553, 820009.0, 0.0178, 0.1516]","[1588900.0, 5450400.0, 1790000.0, 0.0451, 935100.0, 0.0106, -0.067]","[2091658.0, 7542058.0, 1795819.3333, 0.0435, 1677907.0, 0.0198, -0.314]","[3001400.0, 10543458.0, 2227319.3333, 0.0418, 1643691.0, 0.0219, -0.2892]","[1709200.0, 12252658.0, 2267419.3333, 0.0377, 698600.0, 0.0189, 0.0793]","[773400.0, 13026058.0, 1828000.0, 0.0334, 923200.0, 0.0148, -0.035]","[495400.0, 13521458.0, 992666.6667, 0.0249, 406400.0, 0.0053, 0.3242]","[755700.0, 14277158.0, 674833.3333, 0.0208, 207200.0, 0.0132, -0.1163]","[920500.0, 15197658.0, 723866.6667, 0.0203, 515200.0, 0.013, 0.0973]","[433300.0, 15630958.0, 703166.6667, 0.0165, 552400.0, 0.0085, -0.2751]","[591500.0, 16222458.0, 648433.3333, 0.0205, 931800.0, 0.0108, -0.6544]","[390800.0, 16613258.0, 471866.6667, 0.0277, 684804.0, 0.0087, 0.2825]","[792400.0, 17405658.0, 591566.6667, 0.0323, 516800.0, 0.01, 0.7166]","[321900.0, 17727558.0, 501700.0, 0.0366, 759800.0, 0.0082, -0.513]","[935400.0, 18662958.0, 683233.3333, 0.0207, 242500.0, 0.0109, -0.4077]","[1237700.0, 19900658.0, 831666.6667, 0.0251, 417900.0, 0.0089, 0.28]","[4213400.0, 24114058.0, 2128833.3333, 0.0431, 850400.0, 0.0558, -0.1329]","[8896400.0, 33010458.0, 4782500.0, 0.0784, 468100.0, 0.0284, -0.07]","[3797300.0, 36807758.0, 5635700.0, 0.0472, 542200.0, 0.0255, 0.083]","[1748800.0, 38556558.0, 4814166.6667, 0.0335, 805100.0, 0.0085, -0.0916]","[1149500.0, 39706058.0, 2231866.6667, 0.0472, 1265100.0, 0.0076, 0.5944]","[1910200.0, 41616258.0, 1602833.3333, 0.0574, 1047400.0, 0.0145, 0.2433]","[4051000.0, 45667258.0, 2370233.3333, 0.0654, 908100.0, 0.0085, -0.2813]"
2020-05-20,"[545700.0, 545700.0, 545700.0, 0.0099, 74600.0, 2.4345, -0.2856]","[7063500.0, 7609200.0, 3804600.0, 0.1349, 1314200.0, 0.0242, 0.314]","[4234700.0, 11843900.0, 3947966.6667, 0.0756, 820009.0, 0.0486, -0.0752]","[1822400.0, 13666300.0, 4373533.3333, 0.0485, 935100.0, 0.0141, 0.2703]","[1584700.0, 15251000.0, 2547266.6667, 0.0404, 1677907.0, 0.0125, 0.3348]","[2352600.0, 17603600.0, 1919900.0, 0.0521, 1643691.0, 0.0238, 0.3956]","[2356400.0, 19960000.0, 2097900.0, 0.0424, 698600.0, 0.0156, 0.053]","[1086874.0, 21046874.0, 1931958.0, 0.0238, 923200.0, 0.0148, -0.2581]","[831000.0, 21877874.0, 1424758.0, 0.0161, 406400.0, 0.0083, 0.2885]","[617900.0, 22495774.0, 845258.0, 0.016, 207200.0, 0.0075, -0.3485]","[1588300.0, 24084074.0, 1012400.0, 0.0248, 515200.0, 0.0179, -0.4156]","[1585100.0, 25669174.0, 1263766.6667, 0.0208, 552400.0, 0.0121, 0.2248]","[412600.0, 26081774.0, 1195333.3333, 0.0171, 931800.0, 0.0057, -0.5062]","[1022858.6, 27104632.6, 1006852.8667, 0.0194, 684804.0, 0.0153, -0.1444]","[586300.0, 27690932.6, 673919.5333, 0.0234, 516800.0, 0.0079, -0.3095]","[603300.0, 28294232.6, 737486.2, 0.0174, 759800.0, 0.0095, 0.3266]","[536000.0, 28830232.6, 575200.0, 0.0165, 242500.0, 0.0078, -0.1383]","[1095520.4, 29925753.0, 744940.1333, 0.0246, 417900.0, 0.0155, -0.0212]","[1576500.0, 31502253.0, 1069340.1333, 0.0482, 850400.0, 0.0121, 0.1605]","[1597100.0, 33099353.0, 1423040.1333, 0.0848, 468100.0, 0.0095, 0.6052]","[1764937.9, 34864290.9, 1646179.3, 0.0549, 542200.0, 0.0137, 0.4717]","[880760.0, 35745050.9, 1414265.9667, 0.0373, 805100.0, 0.0129, 0.0337]","[838200.0, 36583250.9, 1161299.3, 0.0451, 1265100.0, 0.0126, 0.4531]","[1178400.0, 37761650.9, 965786.6667, 0.0486, 1047400.0, 0.0083, 0.014]","[1380000.0, 39141650.9, 1132200.0, 0.0576, 908100.0, 0.012, 0.1562]"
2020-05-21,"[115000.0, 115000.0, 115000.0, 0.0063, 62300.0, 2.3219, -0.3995]","[1764200.0, 1879200.0, 939600.0, 0.0921, 1895600.0, 0.0263, 0.2897]","[2064313.5, 3943513.5, 1314504.5, 0.0681, 2067266.0, 0.0298, 0.1766]","[3190600.0, 7134113.5, 2339704.5, 0.0574, 4308600.0, 0.0229, 0.521]","[961200.0, 8095313.5, 2072037.8333, 0.0379, 5830041.0, 0.0227, 0.4674]","[698400.0, 8793713.5, 1616733.3333, 0.0486, 2064600.0, 0.0138, -0.0154]","[618300.0, 9412013.5, 759300.0, 0.0384, 3860400.0, 0.0147, 0.348]","[1057348.2, 10469361.7, 791349.4, 0.025, 1010800.0, 0.0127, 0.4205]","[532500.0, 11001861.7, 736049.4, 0.0158, 819800.0, 0.0094, 0.1115]","[300400.0, 11302261.7, 630082.7333, 0.0136, 949100.0, 0.0066, -0.1454]","[1165813.5, 12468075.2, 666237.8333, 0.0313, 587291.0, 0.0234, -0.0489]","[952900.0, 13420975.2, 806371.1667, 0.0257, 726800.0, 0.0106, 0.0493]","[1443300.0, 14864275.2, 1187337.8333, 0.0215, 1135300.0, 0.0199, 0.5097]","[1082600.0, 15946875.2, 1159600.0, 0.0219, 926100.0, 0.0115, 0.4106]","[1621749.0, 17568624.2, 1382549.6667, 0.0262, 701209.0, 0.0076, 0.0768]","[1798713.5, 19367337.7, 1501020.8333, 0.0246, 863291.0, 0.0204, -0.1586]","[1417100.0, 20784437.7, 1612520.8333, 0.0249, 562500.0, 0.0076, -0.189]","[2442800.0, 23227237.7, 1886204.5, 0.0416, 444000.0, 0.0125, -0.0808]","[928900.0, 24156137.7, 1596266.6667, 0.053, 588000.0, 0.0068, 0.0953]","[2018600.0, 26174737.7, 1796766.6667, 0.0977, 992100.0, 0.0275, 0.2209]","[1904400.0, 28079137.7, 1617300.0, 0.0608, 586300.0, 0.0105, 0.3908]","[2088900.0, 30168037.7, 2003966.6667, 0.0401, 513600.0, 0.0107, 0.3613]","[1217236.0, 31385273.7, 1736845.3333, 0.0271, 478200.0, 0.0077, 0.725]","[1983974.0, 33369247.7, 1763370.0, 0.0428, 963600.0, 0.0145, 0.6579]","[1701600.0, 35070847.7, 1634270.0, 0.0575, 1600400.0, 0.0086, 0.0608]"
2020-05-22,"[117000.0, 117000.0, 117000.0, 0.007, 257100.0, 2.2536, 0.0955]","[1593100.0, 1710100.0, 855050.0, 0.0936, 3179800.0, 0.0185, -0.0291]","[2407848.2, 4117948.2, 1372649.4, 0.0808, 1196000.0, 0.0462, -0.0424]","[2477713.6, 6595661.8, 2159553.9333, 0.0717, 909304.0, 0.0365, -0.3257]","[847000.0, 7442661.8, 1910853.9333, 0.0315, 1250400.0, 0.0112, 0.4985]","[680000.0, 8122661.8, 1334904.5333, 0.0338, 741100.0, 0.0233, 0.338]","[986000.0, 9108661.8, 837666.6667, 0.0362, 1160600.0, 0.0148, -0.1537]","[1143200.0, 10251861.8, 936400.0, 0.0312, 1429500.0, 0.0197, -0.2028]","[2500103.4, 12751965.2, 1543101.1333, 0.0383, 1197500.0, 0.0344, -0.2635]","[2068365.2, 14820330.4, 1903889.5333, 0.0297, 759500.0, 0.0141, 0.113]","[1159800.0, 15980130.4, 1909422.8667, 0.0367, 681800.0, 0.0079, 0.0913]","[1235000.0, 17215130.4, 1487721.7333, 0.0355, 691200.0, 0.021, 0.1021]","[1723823.8, 18938954.2, 1372874.6, 0.0352, 524100.0, 0.0108, 0.0086]","[1460493.0, 20399447.2, 1473105.6, 0.0343, 1289604.0, 0.0235, -0.321]","[1226507.0, 21625954.2, 1470274.6, 0.0332, 1051200.0, 0.012, -0.4428]","[1053300.0, 22679254.2, 1246766.6667, 0.0332, 1836700.0, 0.014, 0.493]","[1020700.0, 23699954.2, 1100169.0, 0.0287, 662600.0, 0.015, 0.7337]","[794396.5, 24494350.7, 956132.1667, 0.0408, 743600.0, 0.0209, 0.3381]","[634500.0, 25128850.7, 816532.1667, 0.0289, 631900.0, 0.0157, 0.6285]","[666700.0, 25795550.7, 698532.1667, 0.0398, 546613.0, 0.0202, 0.2689]","[1321100.0, 27116650.7, 874100.0, 0.0469, 557300.0, 0.0227, -0.0813]","[883900.0, 28000550.7, 957233.3333, 0.0366, 284600.0, 0.0165, -0.116]","[1785154.8, 29785705.5, 1330051.6, 0.0374, 700800.0, 0.0191, 0.3879]","[794200.0, 30579905.5, 1154418.2667, 0.0372, 1429500.0, 0.0061, -0.109]","[1324300.0, 31904205.5, 1301218.2667, 0.0418, 1477692.0, 0.0082, -0.2513]"
2020-05-25,"[83600.0, 83600.0, 83600.0, 0.0041, 408100.0, 2.1455, 0.3816]","[1705458.0, 1789058.0, 894529.0, 0.0705, 5251604.0, 0.0167, 0.2126]","[2027404.0, 3816462.0, 1272154.0, 0.0889, 2385000.0, 0.0159, 0.3441]","[1070996.0, 4887458.0, 1601286.0, 0.0795, 1888600.0, 0.0153, 0.2051]","[892300.0, 5779758.0, 1330233.3333, 0.0374, 1026500.0, 0.0121, -0.0447]","[834500.0, 6614258.0, 932598.6667, 0.0319, 893000.0, 0.0093, 0.3242]","[327400.0, 6941658.0, 684733.3333, 0.0233, 869000.0, 0.0112, 0.7846]","[669800.0, 7611458.0, 610566.6667, 0.0366, 782900.0, 0.0094, 0.5338]","[1357000.0, 8968458.0, 784733.3333, 0.0607, 478100.0, 0.0121, 0.178]","[239700.0, 9208158.0, 755500.0, 0.0297, 463904.0, 0.0101, -0.3559]","[358400.0, 9566558.0, 651700.0, 0.031, 402492.0, 0.0219, 0.6281]","[376000.0, 9942558.0, 324700.0, 0.0301, 366096.0, 0.0091, 0.3964]","[297600.0, 10240158.0, 344000.0, 0.0382, 814200.0, 0.0142, 0.516]","[475900.0, 10716058.0, 383166.6667, 0.0359, 687600.0, 0.0176, -0.3169]","[682800.0, 11398858.0, 485433.3333, 0.0431, 1113600.0, 0.0225, 0.0856]","[301100.0, 11699958.0, 486600.0, 0.0347, 876400.0, 0.0085, 0.631]","[679200.0, 12379158.0, 554366.6667, 0.0389, 447300.0, 0.0088, -0.1095]","[417400.0, 12796558.0, 465900.0, 0.0406, 547000.0, 0.0098, 0.6493]","[233600.0, 13030158.0, 443400.0, 0.0205, 351700.0, 0.0128, -0.1545]","[108700.0, 13138858.0, 253233.3333, 0.0285, 550500.0, 0.0049, -0.1118]","[378900.0, 13517758.0, 240400.0, 0.0401, 1070900.0, 0.0146, -0.4271]","[192100.0, 13709858.0, 226566.6667, 0.0333, 1500100.0, 0.0088, -0.0904]","[282200.0, 13992058.0, 284400.0, 0.0364, 2606613.0, 0.0055, 0.1459]","[459200.0, 14451258.0, 311166.6667, 0.0371, 2166900.0, 0.0078, -0.0407]","[869000.0, 15320258.0, 536800.0, 0.0489, 1437700.0, 0.0094, 0.4887]"
2020-05-26,"[47600.0, 47600.0, 47600.0, 0.0039, 80400.0, 2.4995, -0.2163]","[1549600.0, 1597200.0, 798600.0, 0.0824, 2074200.0, 0.0137, -0.4755]","[2026858.6, 3624058.6, 1208019.5333, 0.1067, 1706900.0, 0.0159, -0.4186]","[1084500.0, 4708558.6, 1553652.8667, 0.0692, 1588900.0, 0.0107, -0.3326]","[907200.0, 5615758.6, 1339519.5333, 0.045, 2091658.0, 0.0049, 0.4473]","[893900.0, 6509658.6, 961866.6667, 0.0418, 3001400.0, 0.008, -0.1961]","[836100.0, 7345758.6, 879066.6667, 0.0329, 1709200.0, 0.01, 0.615]","[795900.0, 8141658.6, 841966.6667, 0.0412, 773400.0, 0.0088, 0.2666]","[633900.0, 8775558.6, 755300.0, 0.0673, 495400.0, 0.0106, -0.0636]","[572900.0, 9348458.6, 667566.6667, 0.0374, 755700.0, 0.0058, -0.2163]","[483300.0, 9831758.6, 563366.6667, 0.0288, 920500.0, 0.0061, 0.0586]","[754000.0, 10585758.6, 603400.0, 0.035, 433300.0, 0.0079, 0.2499]","[547100.0, 11132858.6, 594800.0, 0.0346, 591500.0, 0.006, 0.2878]","[789500.0, 11922358.6, 696866.6667, 0.0402, 390800.0, 0.0121, -0.2962]","[599800.0, 12522158.6, 645466.6667, 0.0387, 792400.0, 0.0079, -0.2839]","[556000.0, 13078158.6, 648433.3333, 0.0278, 321900.0, 0.0085, -0.4024]","[405500.0, 13483658.6, 520433.3333, 0.0329, 935400.0, 0.0054, -0.1413]","[272900.0, 13756558.6, 411466.6667, 0.0224, 1237700.0, 0.0063, 0.2836]","[346600.0, 14103158.6, 341666.6667, 0.0181, 4213400.0, 0.0052, 0.4905]","[463300.0, 14566458.6, 360933.3333, 0.0179, 8896400.0, 0.0077, -0.2964]","[270200.0, 14836658.6, 360033.3333, 0.027, 3797300.0, 0.0056, -0.1446]","[374400.0, 15211058.6, 369300.0, 0.0203, 1748800.0, 0.0053, -0.2115]","[670500.0, 15881558.6, 438366.6667, 0.0372, 1149500.0, 0.0068, -0.5243]","[867213.3, 16748771.9, 637371.1, 0.0343, 1910200.0, 0.0101, -0.2424]","[1308000.0, 18056771.9, 948571.1, 0.0569, 4051000.0, 0.0057, 0.2157]"
