date,daily_volume,bin_num,bin_volume,volatility,quote_imbalance
2020-05-13,39173806.0,0,668800.0,0.986482130738816,0.2129537870739988
2020-05-13,39173806.0,1,4117702.0,0.01490951332156049,0.38254771428864864
2020-05-13,39173806.0,2,3237088.0,0.010295460813238554,-0.06110622549271193
2020-05-13,39173806.0,3,1545000.0,0.007299069736101828,-0.44122195977030276
2020-05-13,39173806.0,4,779100.0,0.0062958312928439175,-0.37513751856274474
2020-05-13,39173806.0,5,1374564.0,0.006277946944583967,-0.03250429710905642
2020-05-13,39173806.0,6,1932636.0,0.01099122390838327,0.39374625786000955
2020-05-13,39173806.0,7,1386470.0,0.007410853528838872,0.7249057652698425
2020-05-13,39173806.0,8,815400.0,0.006447105510861755,0.3507925635799932
2020-05-13,39173806.0,9,1051430.0,0.0064937361874222825,0.6155672954978338
2020-05-13,39173806.0,10,1122300.0,0.004843581860687024,-0.1952772112657424
2020-05-13,39173806.0,11,2222600.0,0.011504227581508104,-0.19212152769755236
2020-05-13,39173806.0,12,1505700.0,0.006396133054696031,-0.5664983815902318
2020-05-13,39173806.0,13,1394015.0,0.0088594808762241,0.21600230112765703
2020-05-13,39173806.0,14,1153864.0,0.007993161650832383,-0.5702514158494635
2020-05-13,39173806.0,15,2590080.0,0.0062136751302477216,-0.13980411173825408
2020-05-13,39173806.0,16,1739445.0,0.006582408409614529,0.07646494766698675
2020-05-13,39173806.0,17,508123.0,0.006574079212933713,0.4576791416832724
2020-05-13,39173806.0,18,593500.0,0.006322216191132168,0.8028647659305163
2020-05-13,39173806.0,19,910820.0,0.004138038661668934,0.4018335042130746
2020-05-13,39173806.0,20,1754692.0,0.012425096629095243,0.47230788966951986
2020-05-13,39173806.0,21,458900.0,0.005012932314788491,-0.3532130088755947
2020-05-13,39173806.0,22,1364997.0,0.005705338337081873,-0.3456947794470158
2020-05-13,39173806.0,23,1658700.0,0.006102647629574117,0.5259593437453804
2020-05-13,39173806.0,24,3287880.0,0.0072732982873151995,0.4862002120395589
2020-05-14,43958395.0,0,247500.0,0.8208879506239343,0.41035303048900895
2020-05-14,43958395.0,1,3042100.0,0.014949758741847398,0.5909517349196347
2020-05-14,43958395.0,2,4009200.0,0.026462309179409275,0.03052514420435987
2020-05-14,43958395.0,3,2588100.0,0.01125205433965464,0.15583352806129344
2020-05-14,43958395.0,4,7781706.0,0.013267507871226724,-0.21288014958752122
2020-05-14,43958395.0,5,2597400.0,0.01378484848992057,0.15385921482094292
2020-05-14,43958395.0,6,1773800.0,0.010780564987468313,0.7634381858447367
2020-05-14,43958395.0,7,1096432.0,0.005690669108926708,-0.034929072892583804
2020-05-14,43958395.0,8,901000.0,0.007148957026832827,-0.06699008219003626
2020-05-14,43958395.0,9,3272300.0,0.01667556015987934,-0.07491395028227128
2020-05-14,43958395.0,10,3057300.0,0.00978617549246058,0.16443155176620733
2020-05-14,43958395.0,11,742757.0,0.006459782246890209,-0.698679997600985
2020-05-14,43958395.0,12,774473.0,0.010490662140522912,-0.2229794768779294
2020-05-14,43958395.0,13,717643.0,0.01083668174770832,0.4313787181529711
2020-05-14,43958395.0,14,874350.0,0.005232607509373593,0.1607175526037431
2020-05-14,43958395.0,15,997000.0,0.00862684737793538,-0.12826405346863767
2020-05-14,43958395.0,16,545300.0,0.010204887854612515,-0.4265937353061957
2020-05-14,43958395.0,17,442400.0,0.005500599332342439,0.2155799305342006
2020-05-14,43958395.0,18,1169041.0,0.0066972599298392825,0.3712917105076708
2020-05-14,43958395.0,19,612400.0,0.0055262089016516955,0.1915228008695235
2020-05-14,43958395.0,20,1281790.0,0.005822240330827343,-0.1641184520842101
2020-05-14,43958395.0,21,830560.0,0.009499424938315324,-0.03546094974774426
2020-05-14,43958395.0,22,953170.0,0.007208635545823781,-0.20197060397388586
2020-05-14,43958395.0,23,1031700.0,0.005092589873507425,0.7532300225799656
2020-05-14,43958395.0,24,2618973.0,0.005490970202872998,0.22545588928968613
2020-05-15,29643708.0,0,207900.0,1.1879583519489523,-0.4396901662452794
2020-05-15,29643708.0,1,3010457.0,0.010403513090056736,-0.2722742368597028
2020-05-15,29643708.0,2,2406189.0,0.00547116983542545,0.21786430487638472
2020-05-15,29643708.0,3,1442900.0,0.00601660693765167,-0.17324309574327712
2020-05-15,29643708.0,4,1284380.0,0.009321763015679572,0.4260491897490371
2020-05-15,29643708.0,5,1101800.0,0.005853078248253051,-0.0920481622415859
2020-05-15,29643708.0,6,902500.0,0.006349673933520248,0.4337361672794788
2020-05-15,29643708.0,7,670600.0,0.0052465645410074745,0.45665826207713767
2020-05-15,29643708.0,8,920995.0,0.008345988364668367,-0.16521056154502556
2020-05-15,29643708.0,9,518835.0,0.005616802254796837,0.5618398132027761
2020-05-15,29643708.0,10,1051265.0,0.007314891528440232,-0.23914752287174537
2020-05-15,29643708.0,11,365500.0,0.00476430612603179,-0.00038419590841435794
2020-05-15,29643708.0,12,671600.0,0.004269147095294704,0.37818523902630974
2020-05-15,29643708.0,13,1126800.0,0.005583233692523084,0.5459767452852157
2020-05-15,29643708.0,14,827705.0,0.006563710232669791,0.8766201073192569
2020-05-15,29643708.0,15,1171980.0,0.006212383495631853,0.007429068937154817
2020-05-15,29643708.0,16,770805.0,0.004951499059066674,-0.20053794414748793
2020-05-15,29643708.0,17,794700.0,0.005373805991503207,-0.36761766949387853
2020-05-15,29643708.0,18,1020615.0,0.00692784484095269,0.5402667982506686
2020-05-15,29643708.0,19,771600.0,0.005319961962732162,0.1780169596914994
