date,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24
2020-05-13,"[-1.0, 1314200.0, 1314200.0, 1314200.0, 0.0687, 1314200.0, 0.0144, 0.1314, 0.0]","[-1.0, 820009.0, 2134209.0, 1067104.5, 0.0429, 820009.0, 0.0106, 0.0001, -1.0]","[-1.0, 935100.0, 3069309.0, 1023103.0, 0.0489, 935100.0, 0.0082, 0.2576, -1.0]","[-1.0, 1677907.0, 4747216.0, 1144338.6667, 0.0877, 1677907.0, 0.0115, 0.0543, 0.0]","[-1.0, 1643691.0, 6390907.0, 1418899.3333, 0.0859, 1643691.0, 0.0108, -0.1821, 0.0]","[-1.0, 698600.0, 7089507.0, 1340066.0, 0.0365, 698600.0, 0.0058, 0.1151, 0.0]","[-1.0, 923200.0, 8012707.0, 1088497.0, 0.0482, 923200.0, 0.0094, 0.1141, -1.0]","[-1.0, 406400.0, 8419107.0, 676066.6667, 0.0212, 406400.0, 0.0117, 0.379, -1.0]","[-1.0, 207200.0, 8626307.0, 512266.6667, 0.0108, 207200.0, 0.0052, -0.0334, 0.0]","[-1.0, 515200.0, 9141507.0, 376266.6667, 0.0269, 515200.0, 0.0087, -0.3893, -1.0]","[-1.0, 552400.0, 9693907.0, 424933.3333, 0.0289, 552400.0, 0.0061, 0.6547, -1.0]","[-1.0, 931800.0, 10625707.0, 666466.6667, 0.0487, 931800.0, 0.0088, 0.1391, 0.0]","[-1.0, 684804.0, 11310511.0, 723001.3333, 0.0358, 684804.0, 0.0114, -0.1688, 0.0]","[-1.0, 516800.0, 11827311.0, 711134.6667, 0.027, 516800.0, 0.0091, 0.2218, 0.0]","[-1.0, 759800.0, 12587111.0, 653801.3333, 0.0397, 759800.0, 0.0075, 0.2836, -1.0]","[-1.0, 242500.0, 12829611.0, 506366.6667, 0.0127, 242500.0, 0.0051, 0.0302, 0.0]","[-1.0, 417900.0, 13247511.0, 473400.0, 0.0218, 417900.0, 0.0125, 0.1116, 0.0]","[-1.0, 850400.0, 14097911.0, 503600.0, 0.0444, 850400.0, 0.0071, -0.3401, 0.0]","[-1.0, 468100.0, 14566011.0, 578800.0, 0.0245, 468100.0, 0.0182, -0.3459, 0.0]","[-1.0, 542200.0, 15108211.0, 620233.3333, 0.0283, 542200.0, 0.0081, -0.276, 0.0]","[-1.0, 805100.0, 15913311.0, 605133.3333, 0.0421, 805100.0, 0.0133, -0.0258, 0.0]","[-1.0, 1265100.0, 17178411.0, 870800.0, 0.0661, 1265100.0, 0.0144, 0.3031, 0.0]","[-1.0, 1047400.0, 18225811.0, 1039200.0, 0.0547, 1047400.0, 0.0094, 0.3609, 0.0]","[-1.0, 908100.0, 19133911.0, 1073533.3333, 0.0475, 908100.0, 0.0112, 0.4675, -1.0]"
2020-05-14,"[-1.1649, 1895600.0, 1895600.0, 1895600.0, 0.0618, 1314200.0, 0.0412, 0.1595, -1.0]","[-1.1649, 2067266.0, 3962866.0, 1981433.0, 0.0514, 820009.0, 0.0342, -0.3349, 1.0]","[-1.1649, 4308600.0, 8271466.0, 2757155.3333, 0.0869, 935100.0, 0.0442, -0.1317, -1.0]","[-1.1649, 5830041.0, 14101507.0, 4068635.6667, 0.1284, 1677907.0, 0.0305, 0.0113, 0.0]","[-1.1649, 2064600.0, 16166107.0, 4067747.0, 0.0729, 1643691.0, 0.012, -0.1226, 1.0]","[-1.1649, 3860400.0, 20026507.0, 3918347.0, 0.0742, 698600.0, 0.0246, -0.4024, 1.0]","[-1.1649, 1010800.0, 21037307.0, 2311933.3333, 0.0388, 923200.0, 0.0077, -0.622, -1.0]","[-1.1649, 819800.0, 21857107.0, 1897000.0, 0.0225, 406400.0, 0.01, 0.2959, 0.0]","[-1.1649, 949100.0, 22806207.0, 926566.6667, 0.0192, 207200.0, 0.0133, 0.3728, 0.0]","[-1.1649, 587291.0, 23393498.0, 785397.0, 0.022, 515200.0, 0.0089, -0.1897, 0.0]","[-1.1649, 726800.0, 24120298.0, 754397.0, 0.025, 552400.0, 0.0077, -0.1789, -1.0]","[-1.1649, 1135300.0, 25255598.0, 816463.6667, 0.0408, 931800.0, 0.0121, 0.0562, -1.0]","[-1.1649, 926100.0, 26181698.0, 929400.0, 0.0313, 684804.0, 0.0102, 0.3712, 0.0]","[-1.1649, 701209.0, 26882907.0, 920869.6667, 0.0237, 516800.0, 0.0071, -0.1257, -1.0]","[-1.1649, 863291.0, 27746198.0, 830200.0, 0.0324, 759800.0, 0.0105, -0.2623, 1.0]","[-1.1649, 562500.0, 28308698.0, 709000.0, 0.0145, 242500.0, 0.0053, -0.508, 0.0]","[-1.1649, 444000.0, 28752698.0, 623263.6667, 0.0174, 417900.0, 0.0057, 0.0829, -1.0]","[-1.1649, 588000.0, 29340698.0, 531500.0, 0.0308, 850400.0, 0.007, 0.3544, -1.0]","[-1.1649, 992100.0, 30332798.0, 674700.0, 0.0266, 468100.0, 0.0166, 0.0734, 0.0]","[-1.1649, 586300.0, 30919098.0, 722133.3333, 0.0227, 542200.0, 0.0063, 0.4001, -1.0]","[-1.1649, 513600.0, 31432698.0, 697333.3333, 0.0285, 805100.0, 0.0091, 0.1647, 0.0]","[-1.1649, 478200.0, 31910898.0, 526033.3333, 0.04, 1265100.0, 0.006, 0.2545, -1.0]","[-1.1649, 963600.0, 32874498.0, 651800.0, 0.0413, 1047400.0, 0.0091, 0.3669, -1.0]","[-1.1649, 1600400.0, 34474898.0, 1014066.6667, 0.0469, 908100.0, 0.0088, -0.4008, -1.0]"
2020-05-15,"[3.1268, 3179800.0, 3179800.0, 3179800.0, 0.0837, 1314200.0, 0.0296, -0.1783, -1.0]","[3.1268, 1196000.0, 4375800.0, 2187900.0, 0.0503, 820009.0, 0.009, 0.0543, 0.0]","[3.1268, 909304.0, 5285104.0, 1761701.3333, 0.0701, 935100.0, 0.0131, 0.1422, 0.0]","[3.1268, 1250400.0, 6535504.0, 1118568.0, 0.1023, 1677907.0, 0.0204, -0.0898, 0.0]","[3.1268, 741100.0, 7276604.0, 966934.6667, 0.0585, 1643691.0, 0.011, -0.2449, 0.0]","[3.1268, 1160600.0, 8437204.0, 1050700.0, 0.065, 698600.0, 0.0131, -0.3376, 0.0]","[3.1268, 1429500.0, 9866704.0, 1110400.0, 0.045, 923200.0, 0.0126, -0.4032, 0.0]","[3.1268, 1197500.0, 11064204.0, 1262533.3333, 0.031, 406400.0, 0.0114, 0.118, 0.0]","[3.1268, 759500.0, 11823704.0, 1128833.3333, 0.0229, 207200.0, 0.0168, 0.1805, 1.0]","[3.1268, 681800.0, 12505504.0, 879600.0, 0.0238, 515200.0, 0.0111, -0.6853, -1.0]","[3.1268, 691200.0, 13196704.0, 710833.3333, 0.0259, 552400.0, 0.0104, -0.5275, -1.0]","[3.1268, 524100.0, 13720804.0, 632366.6667, 0.0342, 931800.0, 0.0066, -0.4382, 0.0]","[3.1268, 1289604.0, 15010408.0, 834968.0, 0.0381, 684804.0, 0.009, -0.2718, -1.0]","[3.1268, 1051200.0, 16061608.0, 954968.0, 0.0298, 516800.0, 0.0136, -0.1124, -1.0]","[3.1268, 1836700.0, 17898308.0, 1392501.3333, 0.0461, 759800.0, 0.0158, 0.0382, -1.0]","[3.1268, 662600.0, 18560908.0, 1183500.0, 0.0185, 242500.0, 0.0092, 0.2372, -1.0]","[3.1268, 743600.0, 19304508.0, 1080966.6667, 0.0215, 417900.0, 0.0084, -0.1694, 0.0]","[3.1268, 631900.0, 19936408.0, 679366.6667, 0.0289, 850400.0, 0.0079, -0.089, -1.0]","[3.1268, 546613.0, 20483021.0, 640704.3333, 0.0251, 468100.0, 0.0079, 0.1393, 0.0]","[3.1268, 557300.0, 21040321.0, 578604.3333, 0.0226, 542200.0, 0.008, -0.3533, 0.0]","[3.1268, 284600.0, 21324921.0, 462837.6667, 0.0228, 805100.0, 0.0061, -0.0419, 0.0]","[3.1268, 700800.0, 22025721.0, 514233.3333, 0.036, 1265100.0, 0.0148, 0.4687, 0.0]","[3.1268, 1429500.0, 23455221.0, 804966.6667, 0.0467, 1047400.0, 0.0109, -0.1365, 0.0]","[3.1268, 1477692.0, 24932913.0, 1202664.0, 0.051, 908100.0, 0.0091, -0.0887, -1.0]"
2020-05-18,"[0.5873, 5251604.0, 5251604.0, 5251604.0, 0.1212, 1314200.0, 0.0396, -0.2886, 0.0]","[0.5873, 2385000.0, 7636604.0, 3818302.0, 0.0634, 820009.0, 0.0438, -0.068, -1.0]","[0.5873, 1888600.0, 9525204.0, 3175068.0, 0.0755, 935100.0, 0.02, -0.4625, 0.0]","[0.5873, 1026500.0, 10551704.0, 1766700.0, 0.0849, 1677907.0, 0.0112, 0.3684, -1.0]","[0.5873, 893000.0, 11444704.0, 1269366.6667, 0.0401, 1643691.0, 0.0232, -0.0261, -1.0]","[0.5873, 869000.0, 12313704.0, 929500.0, 0.0628, 698600.0, 0.0152, 0.3003, -1.0]","[0.5873, 782900.0, 13096604.0, 848300.0, 0.0379, 923200.0, 0.0142, -0.0728, -1.0]","[0.5873, 478100.0, 13574704.0, 710000.0, 0.0294, 406400.0, 0.011, 0.2277, -1.0]","[0.5873, 463904.0, 14038608.0, 574968.0, 0.0247, 207200.0, 0.0094, -0.7592, 0.0]","[0.5873, 402492.0, 14441100.0, 448165.3333, 0.0194, 515200.0, 0.0101, 0.0442, 0.0]","[0.5873, 366096.0, 14807196.0, 410830.6667, 0.0205, 552400.0, 0.0143, 0.253, -1.0]","[0.5873, 814200.0, 15621396.0, 527596.0, 0.0273, 931800.0, 0.0119, 0.3461, 0.0]","[0.5873, 687600.0, 16308996.0, 622632.0, 0.0341, 684804.0, 0.0121, 0.1727, 0.0]","[0.5873, 1113600.0, 17422596.0, 871800.0, 0.0336, 516800.0, 0.007, -0.0481, 0.0]","[0.5873, 876400.0, 18298996.0, 892533.3333, 0.043, 759800.0, 0.0127, -0.1747, -1.0]","[0.5873, 447300.0, 18746296.0, 812433.3333, 0.0194, 242500.0, 0.0081, 0.4154, -1.0]","[0.5873, 547000.0, 19293296.0, 623566.6667, 0.0205, 417900.0, 0.0134, 0.2571, -1.0]","[0.5873, 351700.0, 19644996.0, 448666.6667, 0.0182, 850400.0, 0.0071, -0.2292, -1.0]","[0.5873, 550500.0, 20195496.0, 483066.6667, 0.0232, 468100.0, 0.0093, 0.291, 0.0]","[0.5873, 1070900.0, 21266396.0, 657700.0, 0.0254, 542200.0, 0.017, 0.3213, -1.0]","[0.5873, 1500100.0, 22766496.0, 1040500.0, 0.026, 805100.0, 0.0169, 0.5661, 0.0]","[0.5873, 2606613.0, 25373109.0, 1725871.0, 0.044, 1265100.0, 0.0293, 0.4251, -1.0]","[0.5873, 2166900.0, 27540009.0, 2091204.3333, 0.0534, 1047400.0, 0.0156, -0.045, -1.0]","[0.5873, 1437700.0, 28977709.0, 2070404.3333, 0.0518, 908100.0, 0.0091, 0.0749, -1.0]"
2020-05-19,"[-0.803, 2074200.0, 2074200.0, 2074200.0, 0.1181, 1314200.0, 0.0129, -0.053, 0.0]","[-0.803, 1706900.0, 3781100.0, 1890550.0, 0.0559, 820009.0, 0.0178, 0.1516, 0.0]","[-0.803, 1588900.0, 5370000.0, 1790000.0, 0.0455, 935100.0, 0.0106, -0.067, 0.0]","[-0.803, 2091658.0, 7461658.0, 1795819.3333, 0.0438, 1677907.0, 0.0198, -0.314, 0.0]","[-0.803, 3001400.0, 10463058.0, 2227319.3333, 0.0421, 1643691.0, 0.0219, -0.2892, 1.0]","[-0.803, 1709200.0, 12172258.0, 2267419.3333, 0.038, 698600.0, 0.0189, 0.0793, -1.0]","[-0.803, 773400.0, 12945658.0, 1828000.0, 0.0338, 923200.0, 0.0148, -0.035, 0.0]","[-0.803, 495400.0, 13441058.0, 992666.6667, 0.0251, 406400.0, 0.0053, 0.3242, -1.0]","[-0.803, 755700.0, 14196758.0, 674833.3333, 0.021, 207200.0, 0.0132, -0.1163, 0.0]","[-0.803, 920500.0, 15117258.0, 723866.6667, 0.0205, 515200.0, 0.013, 0.0973, -1.0]","[-0.803, 433300.0, 15550558.0, 703166.6667, 0.0166, 552400.0, 0.0085, -0.2751, 0.0]","[-0.803, 591500.0, 16142058.0, 648433.3333, 0.0207, 931800.0, 0.0108, -0.6544, 0.0]","[-0.803, 390800.0, 16532858.0, 471866.6667, 0.028, 684804.0, 0.0087, 0.2825, 0.0]","[-0.803, 792400.0, 17325258.0, 591566.6667, 0.0327, 516800.0, 0.01, 0.7166, 0.0]","[-0.803, 321900.0, 17647158.0, 501700.0, 0.037, 759800.0, 0.0082, -0.513, 0.0]","[-0.803, 935400.0, 18582558.0, 683233.3333, 0.0208, 242500.0, 0.0109, -0.4077, 0.0]","[-0.803, 1237700.0, 19820258.0, 831666.6667, 0.0253, 417900.0, 0.0089, 0.28, 0.0]","[-0.803, 4213400.0, 24033658.0, 2128833.3333, 0.0433, 850400.0, 0.0558, -0.1329, -1.0]","[-0.803, 8896400.0, 32930058.0, 4782500.0, 0.0787, 468100.0, 0.0284, -0.07, 0.0]","[-0.803, 3797300.0, 36727358.0, 5635700.0, 0.0475, 542200.0, 0.0255, 0.083, 0.0]","[-0.803, 1748800.0, 38476158.0, 4814166.6667, 0.0338, 805100.0, 0.0085, -0.0916, 0.0]","[-0.803, 1149500.0, 39625658.0, 2231866.6667, 0.0478, 1265100.0, 0.0076, 0.5944, -1.0]","[-0.803, 1910200.0, 41535858.0, 1602833.3333, 0.058, 1047400.0, 0.0145, 0.2433, 1.0]","[-0.803, 4051000.0, 45586858.0, 2370233.3333, 0.0659, 908100.0, 0.0085, -0.2813, 0.0]"
2020-05-20,"[6.7873, 7063500.0, 7063500.0, 7063500.0, 0.1366, 1314200.0, 0.0242, 0.314, 0.0]","[6.7873, 4234700.0, 11298200.0, 5649100.0, 0.0765, 820009.0, 0.0486, -0.0752, 0.0]","[6.7873, 1822400.0, 13120600.0, 4373533.3333, 0.0491, 935100.0, 0.0141, 0.2703, -1.0]","[6.7873, 1584700.0, 14705300.0, 2547266.6667, 0.0408, 1677907.0, 0.0125, 0.3348, 0.0]","[6.7873, 2352600.0, 17057900.0, 1919900.0, 0.0525, 1643691.0, 0.0238, 0.3956, 0.0]","[6.7873, 2356400.0, 19414300.0, 2097900.0, 0.0428, 698600.0, 0.0156, 0.053, -1.0]","[6.7873, 1086874.0, 20501174.0, 1931958.0, 0.024, 923200.0, 0.0148, -0.2581, -1.0]","[6.7873, 831000.0, 21332174.0, 1424758.0, 0.0163, 406400.0, 0.0083, 0.2885, -1.0]","[6.7873, 617900.0, 21950074.0, 845258.0, 0.0162, 207200.0, 0.0075, -0.3485, 0.0]","[6.7873, 1588300.0, 23538374.0, 1012400.0, 0.0251, 515200.0, 0.0179, -0.4156, 0.0]","[6.7873, 1585100.0, 25123474.0, 1263766.6667, 0.0211, 552400.0, 0.0121, 0.2248, -1.0]","[6.7873, 412600.0, 25536074.0, 1195333.3333, 0.0173, 931800.0, 0.0057, -0.5062, -1.0]","[6.7873, 1022858.6, 26558932.6, 1006852.8667, 0.0196, 684804.0, 0.0153, -0.1444, -1.0]","[6.7873, 586300.0, 27145232.6, 673919.5333, 0.0237, 516800.0, 0.0079, -0.3095, 0.0]","[6.7873, 603300.0, 27748532.6, 737486.2, 0.0176, 759800.0, 0.0095, 0.3266, 0.0]","[6.7873, 536000.0, 28284532.6, 575200.0, 0.0166, 242500.0, 0.0078, -0.1383, 0.0]","[6.7873, 1095520.4, 29380053.0, 744940.1333, 0.0248, 417900.0, 0.0155, -0.0212, -1.0]","[6.7873, 1576500.0, 30956553.0, 1069340.1333, 0.0485, 850400.0, 0.0121, 0.1605, -1.0]","[6.7873, 1597100.0, 32553653.0, 1423040.1333, 0.0852, 468100.0, 0.0095, 0.6052, 0.0]","[6.7873, 1764937.9, 34318590.9, 1646179.3, 0.0553, 542200.0, 0.0137, 0.4717, 0.0]","[6.7873, 880760.0, 35199350.9, 1414265.9667, 0.0376, 805100.0, 0.0129, 0.0337, 0.0]","[6.7873, 838200.0, 36037550.9, 1161299.3, 0.0456, 1265100.0, 0.0126, 0.4531, -1.0]","[6.7873, 1178400.0, 37215950.9, 965786.6667, 0.0491, 1047400.0, 0.0083, 0.014, 0.0]","[6.7873, 1380000.0, 38595950.9, 1132200.0, 0.0581, 908100.0, 0.012, 0.1562, 0.0]"
2020-05-21,"[-1.7893, 1764200.0, 1764200.0, 1764200.0, 0.093, 1895600.0, 0.0263, 0.2897, -1.0]","[-1.7893, 2064313.5, 3828513.5, 1914256.75, 0.0687, 2067266.0, 0.0298, 0.1766, 0.0]","[-1.7893, 3190600.0, 7019113.5, 2339704.5, 0.0578, 4308600.0, 0.0229, 0.521, -1.0]","[-1.7893, 961200.0, 7980313.5, 2072037.8333, 0.0381, 5830041.0, 0.0227, 0.4674, 0.0]","[-1.7893, 698400.0, 8678713.5, 1616733.3333, 0.0489, 2064600.0, 0.0138, -0.0154, 0.0]","[-1.7893, 618300.0, 9297013.5, 759300.0, 0.0387, 3860400.0, 0.0147, 0.348, 0.0]","[-1.7893, 1057348.2, 10354361.7, 791349.4, 0.0251, 1010800.0, 0.0127, 0.4205, 0.0]","[-1.7893, 532500.0, 10886861.7, 736049.4, 0.0159, 819800.0, 0.0094, 0.1115, 0.0]","[-1.7893, 300400.0, 11187261.7, 630082.7333, 0.0137, 949100.0, 0.0066, -0.1454, 0.0]","[-1.7893, 1165813.5, 12353075.2, 666237.8333, 0.0316, 587291.0, 0.0234, -0.0489, -1.0]","[-1.7893, 952900.0, 13305975.2, 806371.1667, 0.0259, 726800.0, 0.0106, 0.0493, -1.0]","[-1.7893, 1443300.0, 14749275.2, 1187337.8333, 0.0217, 1135300.0, 0.0199, 0.5097, 0.0]","[-1.7893, 1082600.0, 15831875.2, 1159600.0, 0.022, 926100.0, 0.0115, 0.4106, -1.0]","[-1.7893, 1621749.0, 17453624.2, 1382549.6667, 0.0263, 701209.0, 0.0076, 0.0768, 0.0]","[-1.7893, 1798713.5, 19252337.7, 1501020.8333, 0.0247, 863291.0, 0.0204, -0.1586, -1.0]","[-1.7893, 1417100.0, 20669437.7, 1612520.8333, 0.025, 562500.0, 0.0076, -0.189, -1.0]","[-1.7893, 2442800.0, 23112237.7, 1886204.5, 0.0418, 444000.0, 0.0125, -0.0808, -1.0]","[-1.7893, 928900.0, 24041137.7, 1596266.6667, 0.0533, 588000.0, 0.0068, 0.0953, 0.0]","[-1.7893, 2018600.0, 26059737.7, 1796766.6667, 0.0981, 992100.0, 0.0275, 0.2209, -1.0]","[-1.7893, 1904400.0, 27964137.7, 1617300.0, 0.0612, 586300.0, 0.0105, 0.3908, 0.0]","[-1.7893, 2088900.0, 30053037.7, 2003966.6667, 0.0403, 513600.0, 0.0107, 0.3613, 0.0]","[-1.7893, 1217236.0, 31270273.7, 1736845.3333, 0.0273, 478200.0, 0.0077, 0.725, -1.0]","[-1.7893, 1983974.0, 33254247.7, 1763370.0, 0.0431, 963600.0, 0.0145, 0.6579, -1.0]","[-1.7893, 1701600.0, 34955847.7, 1634270.0, 0.0578, 1600400.0, 0.0086, 0.0608, -1.0]"
2020-05-22,"[-0.9826, 1593100.0, 1593100.0, 1593100.0, 0.0945, 3179800.0, 0.0185, -0.0291, 0.0]","[-0.9826, 2407848.2, 4000948.2, 2000474.1, 0.0815, 1196000.0, 0.0462, -0.0424, -1.0]","[-0.9826, 2477713.6, 6478661.8, 2159553.9333, 0.0721, 909304.0, 0.0365, -0.3257, -1.0]","[-0.9826, 847000.0, 7325661.8, 1910853.9333, 0.0317, 1250400.0, 0.0112, 0.4985, 0.0]","[-0.9826, 680000.0, 8005661.8, 1334904.5333, 0.0341, 741100.0, 0.0233, 0.338, -1.0]","[-0.9826, 986000.0, 8991661.8, 837666.6667, 0.0366, 1160600.0, 0.0148, -0.1537, -1.0]","[-0.9826, 1143200.0, 10134861.8, 936400.0, 0.0315, 1429500.0, 0.0197, -0.2028, 0.0]","[-0.9826, 2500103.4, 12634965.2, 1543101.1333, 0.0385, 1197500.0, 0.0344, -0.2635, 0.0]","[-0.9826, 2068365.2, 14703330.4, 1903889.5333, 0.0299, 759500.0, 0.0141, 0.113, -1.0]","[-0.9826, 1159800.0, 15863130.4, 1909422.8667, 0.037, 681800.0, 0.0079, 0.0913, -1.0]","[-0.9826, 1235000.0, 17098130.4, 1487721.7333, 0.0357, 691200.0, 0.021, 0.1021, -1.0]","[-0.9826, 1723823.8, 18821954.2, 1372874.6, 0.0354, 524100.0, 0.0108, 0.0086, -1.0]","[-0.9826, 1460493.0, 20282447.2, 1473105.6, 0.0345, 1289604.0, 0.0235, -0.321, 0.0]","[-0.9826, 1226507.0, 21508954.2, 1470274.6, 0.0334, 1051200.0, 0.012, -0.4428, 0.0]","[-0.9826, 1053300.0, 22562254.2, 1246766.6667, 0.0334, 1836700.0, 0.014, 0.493, 0.0]","[-0.9826, 1020700.0, 23582954.2, 1100169.0, 0.0288, 662600.0, 0.015, 0.7337, 0.0]","[-0.9826, 794396.5, 24377350.7, 956132.1667, 0.0411, 743600.0, 0.0209, 0.3381, 0.0]","[-0.9826, 634500.0, 25011850.7, 816532.1667, 0.0291, 631900.0, 0.0157, 0.6285, 0.0]","[-0.9826, 666700.0, 25678550.7, 698532.1667, 0.04, 546613.0, 0.0202, 0.2689, 0.0]","[-0.9826, 1321100.0, 26999650.7, 874100.0, 0.0473, 557300.0, 0.0227, -0.0813, -1.0]","[-0.9826, 883900.0, 27883550.7, 957233.3333, 0.0368, 284600.0, 0.0165, -0.116, -1.0]","[-0.9826, 1785154.8, 29668705.5, 1330051.6, 0.0376, 700800.0, 0.0191, 0.3879, -1.0]","[-0.9826, 794200.0, 30462905.5, 1154418.2667, 0.0374, 1429500.0, 0.0061, -0.109, -1.0]","[-0.9826, 1324300.0, 31787205.5, 1301218.2667, 0.042, 1477692.0, 0.0082, -0.2513, -1.0]"
2020-05-25,"[-1.2855, 1705458.0, 1705458.0, 1705458.0, 0.0708, 5251604.0, 0.0167, 0.2126, 0.0]","[-1.2855, 2027404.0, 3732862.0, 1866431.0, 0.0893, 2385000.0, 0.0159, 0.3441, 0.0]","[-1.2855, 1070996.0, 4803858.0, 1601286.0, 0.0798, 1888600.0, 0.0153, 0.2051, 0.0]","[-1.2855, 892300.0, 5696158.0, 1330233.3333, 0.0376, 1026500.0, 0.0121, -0.0447, 0.0]","[-1.2855, 834500.0, 6530658.0, 932598.6667, 0.032, 893000.0, 0.0093, 0.3242, 0.0]","[-1.2855, 327400.0, 6858058.0, 684733.3333, 0.0234, 869000.0, 0.0112, 0.7846, -1.0]","[-1.2855, 669800.0, 7527858.0, 610566.6667, 0.0367, 782900.0, 0.0094, 0.5338, -1.0]","[-1.2855, 1357000.0, 8884858.0, 784733.3333, 0.061, 478100.0, 0.0121, 0.178, 0.0]","[-1.2855, 239700.0, 9124558.0, 755500.0, 0.0298, 463904.0, 0.0101, -0.3559, -1.0]","[-1.2855, 358400.0, 9482958.0, 651700.0, 0.0311, 402492.0, 0.0219, 0.6281, -1.0]","[-1.2855, 376000.0, 9858958.0, 324700.0, 0.0303, 366096.0, 0.0091, 0.3964, -1.0]","[-1.2855, 297600.0, 10156558.0, 344000.0, 0.0384, 814200.0, 0.0142, 0.516, 0.0]","[-1.2855, 475900.0, 10632458.0, 383166.6667, 0.0361, 687600.0, 0.0176, -0.3169, 0.0]","[-1.2855, 682800.0, 11315258.0, 485433.3333, 0.0433, 1113600.0, 0.0225, 0.0856, 0.0]","[-1.2855, 301100.0, 11616358.0, 486600.0, 0.0348, 876400.0, 0.0085, 0.631, 0.0]","[-1.2855, 679200.0, 12295558.0, 554366.6667, 0.0391, 447300.0, 0.0088, -0.1095, 0.0]","[-1.2855, 417400.0, 12712958.0, 465900.0, 0.0408, 547000.0, 0.0098, 0.6493, 0.0]","[-1.2855, 233600.0, 12946558.0, 443400.0, 0.0206, 351700.0, 0.0128, -0.1545, 0.0]","[-1.2855, 108700.0, 13055258.0, 253233.3333, 0.0286, 550500.0, 0.0049, -0.1118, 0.0]","[-1.2855, 378900.0, 13434158.0, 240400.0, 0.0403, 1070900.0, 0.0146, -0.4271, 0.0]","[-1.2855, 192100.0, 13626258.0, 226566.6667, 0.0334, 1500100.0, 0.0088, -0.0904, 0.0]","[-1.2855, 282200.0, 13908458.0, 284400.0, 0.0365, 2606613.0, 0.0055, 0.1459, 0.0]","[-1.2855, 459200.0, 14367658.0, 311166.6667, 0.0373, 2166900.0, 0.0078, -0.0407, 0.0]","[-1.2855, 869000.0, 15236658.0, 536800.0, 0.0491, 1437700.0, 0.0094, 0.4887, 0.0]"
2020-05-26,"[-0.4306, 1549600.0, 1549600.0, 1549600.0, 0.0827, 2074200.0, 0.0137, -0.4755, 0.0]","[-0.4306, 2026858.6, 3576458.6, 1788229.3, 0.1071, 1706900.0, 0.0159, -0.4186, 0.0]","[-0.4306, 1084500.0, 4660958.6, 1553652.8667, 0.0695, 1588900.0, 0.0107, -0.3326, 0.0]","[-0.4306, 907200.0, 5568158.6, 1339519.5333, 0.0452, 2091658.0, 0.0049, 0.4473, 0.0]","[-0.4306, 893900.0, 6462058.6, 961866.6667, 0.0419, 3001400.0, 0.008, -0.1961, 0.0]","[-0.4306, 836100.0, 7298158.6, 879066.6667, 0.033, 1709200.0, 0.01, 0.615, -1.0]","[-0.4306, 795900.0, 8094058.6, 841966.6667, 0.0414, 773400.0, 0.0088, 0.2666, -1.0]","[-0.4306, 633900.0, 8727958.6, 755300.0, 0.0676, 495400.0, 0.0106, -0.0636, -1.0]","[-0.4306, 572900.0, 9300858.6, 667566.6667, 0.0375, 755700.0, 0.0058, -0.2163, 0.0]","[-0.4306, 483300.0, 9784158.6, 563366.6667, 0.0289, 920500.0, 0.0061, 0.0586, 0.0]","[-0.4306, 754000.0, 10538158.6, 603400.0, 0.0351, 433300.0, 0.0079, 0.2499, 0.0]","[-0.4306, 547100.0, 11085258.6, 594800.0, 0.0347, 591500.0, 0.006, 0.2878, 0.0]","[-0.4306, 789500.0, 11874758.6, 696866.6667, 0.0403, 390800.0, 0.0121, -0.2962, -1.0]","[-0.4306, 599800.0, 12474558.6, 645466.6667, 0.0389, 792400.0, 0.0079, -0.2839, 0.0]","[-0.4306, 556000.0, 13030558.6, 648433.3333, 0.0279, 321900.0, 0.0085, -0.4024, 0.0]","[-0.4306, 405500.0, 13436058.6, 520433.3333, 0.0331, 935400.0, 0.0054, -0.1413, 0.0]","[-0.4306, 272900.0, 13708958.6, 411466.6667, 0.0225, 1237700.0, 0.0063, 0.2836, 0.0]","[-0.4306, 346600.0, 14055558.6, 341666.6667, 0.0182, 4213400.0, 0.0052, 0.4905, 0.0]","[-0.4306, 463300.0, 14518858.6, 360933.3333, 0.0179, 8896400.0, 0.0077, -0.2964, 0.0]","[-0.4306, 270200.0, 14789058.6, 360033.3333, 0.0271, 3797300.0, 0.0056, -0.1446, 0.0]","[-0.4306, 374400.0, 15163458.6, 369300.0, 0.0204, 1748800.0, 0.0053, -0.2115, 0.0]","[-0.4306, 670500.0, 15833958.6, 438366.6667, 0.0373, 1149500.0, 0.0068, -0.5243, 1.0]","[-0.4306, 867213.3, 16701171.9, 637371.1, 0.0344, 1910200.0, 0.0101, -0.2424, 0.0]","[-0.4306, 1308000.0, 18009171.9, 948571.1, 0.0571, 4051000.0, 0.0057, 0.2157, 0.0]"
