date,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24
2020-05-13,"[-1.0, 1247100.0, 1247100.0, 415700.0, 0.0722, 1247100.0, 0.0516, 0.2715, -1.0]","[-1.0, 412200.0, 1659300.0, 553100.0, 0.0239, 412200.0, 0.023, 0.4426, 0.0]","[-1.0, 306100.0, 1965400.0, 655133.3333, 0.0177, 306100.0, 0.0136, 0.0844, -1.0]","[-1.0, 178107.0, 2143507.0, 298802.3333, 0.0103, 178107.0, 0.03, -0.0524, -1.0]","[-1.0, 490000.0, 2633507.0, 324735.6667, 0.0284, 490000.0, 0.0458, 0.0392, 0.0]","[-1.0, 436893.0, 3070400.0, 368333.3333, 0.0253, 436893.0, 0.0151, 0.4358, -1.0]","[-1.0, 169600.0, 3240000.0, 365497.6667, 0.0098, 169600.0, 0.0154, -0.4462, -1.0]","[-1.0, 72400.0, 3312400.0, 226297.6667, 0.0042, 72400.0, 0.0164, 0.101, -1.0]","[-1.0, 286600.0, 3599000.0, 176200.0, 0.0166, 286600.0, 0.0157, -0.0585, 0.0]","[-1.0, 282427.0, 3881427.0, 213809.0, 0.0164, 282427.0, 0.0133, -0.0413, -1.0]","[-1.0, 154700.0, 4036127.0, 241242.3333, 0.009, 154700.0, 0.0159, 0.399, 0.0]","[-1.0, 51900.0, 4088027.0, 163009.0, 0.003, 51900.0, 0.01, -0.1313, 0.0]","[-1.0, 92981.0, 4181008.0, 99860.3333, 0.0054, 92981.0, 0.0186, 0.1064, -1.0]","[-1.0, 170645.0, 4351653.0, 105175.3333, 0.0099, 170645.0, 0.0442, 0.4266, 0.0]","[-1.0, 140100.0, 4491753.0, 134575.3333, 0.0081, 140100.0, 0.0181, 0.5028, -1.0]","[-1.0, 72800.0, 4564553.0, 127848.3333, 0.0042, 72800.0, 0.0142, -0.2638, -1.0]","[-1.0, 126200.0, 4690753.0, 113033.3333, 0.0073, 126200.0, 0.0188, 0.646, -1.0]","[-1.0, 191200.0, 4881953.0, 130066.6667, 0.0111, 191200.0, 0.0249, 0.0807, -1.0]","[-1.0, 68300.0, 4950253.0, 128566.6667, 0.004, 68300.0, 0.0164, 0.1926, -1.0]","[-1.0, 78100.0, 5028353.0, 112533.3333, 0.0045, 78100.0, 0.0156, 0.3014, -1.0]","[-1.0, 73500.0, 5101853.0, 73300.0, 0.0043, 73500.0, 0.0176, -0.1385, -1.0]","[-1.0, 122500.0, 5224353.0, 91366.6667, 0.0071, 122500.0, 0.0112, 0.4973, -1.0]","[-1.0, 160636.0, 5384989.0, 118878.6667, 0.0093, 160636.0, 0.0131, -0.162, 0.0]","[-1.0, 371800.0, 5756789.0, 218312.0, 0.0215, 371800.0, 0.0077, -0.1761, 0.0]"
2020-05-14,"[-1.4318, 503859.0, 503859.0, 167953.0, 0.122, 1247100.0, 0.0249, 0.0944, -1.0]","[-1.4318, 334400.0, 838259.0, 279419.6667, 0.0569, 412200.0, 0.0203, -0.316, -1.0]","[-1.4318, 185700.0, 1023959.0, 341319.6667, 0.0361, 306100.0, 0.0222, 0.5268, -1.0]","[-1.4318, 126800.0, 1150759.0, 215633.3333, 0.0229, 178107.0, 0.0111, -0.0919, -1.0]","[-1.4318, 100300.0, 1251059.0, 137600.0, 0.0383, 490000.0, 0.0127, -0.698, 0.0]","[-1.4318, 77500.0, 1328559.0, 101533.3333, 0.033, 436893.0, 0.0062, 0.0993, -1.0]","[-1.4318, 197500.0, 1526059.0, 125100.0, 0.0293, 169600.0, 0.0317, -0.0087, -1.0]","[-1.4318, 125200.0, 1651259.0, 133400.0, 0.0166, 72400.0, 0.0146, -0.2507, 0.0]","[-1.4318, 54100.0, 1705359.0, 125600.0, 0.0219, 286600.0, 0.0153, 0.5504, 0.0]","[-1.4318, 44786.0, 1750145.0, 74695.3333, 0.0208, 282427.0, 0.0171, -0.2033, 1.0]","[-1.4318, 39900.0, 1790045.0, 46262.0, 0.0129, 154700.0, 0.0095, 0.5072, -1.0]","[-1.4318, 52800.0, 1842845.0, 45828.6667, 0.0082, 51900.0, 0.0071, 0.4504, 0.0]","[-1.4318, 74600.0, 1917445.0, 55766.6667, 0.0128, 92981.0, 0.0288, -0.7591, 0.0]","[-1.4318, 83100.0, 2000545.0, 70166.6667, 0.0181, 170645.0, 0.0112, 0.1644, 0.0]","[-1.4318, 74100.0, 2074645.0, 77266.6667, 0.0154, 140100.0, 0.0072, 0.4536, 0.0]","[-1.4318, 94000.0, 2168645.0, 83733.3333, 0.0135, 72800.0, 0.0098, 0.4701, -1.0]","[-1.4318, 30300.0, 2198945.0, 66133.3333, 0.0103, 126200.0, 0.0074, -0.2209, 1.0]","[-1.4318, 131700.0, 2330645.0, 85333.3333, 0.0241, 191200.0, 0.0082, 0.0395, -1.0]","[-1.4318, 78300.0, 2408945.0, 80100.0, 0.0117, 68300.0, 0.0198, 0.0453, -1.0]","[-1.4318, 94800.0, 2503745.0, 101600.0, 0.0139, 78100.0, 0.0108, -0.2547, 0.0]","[-1.4318, 77200.0, 2580945.0, 83433.3333, 0.0119, 73500.0, 0.008, 0.5791, 0.0]","[-1.4318, 127407.0, 2708352.0, 99802.3333, 0.0197, 122500.0, 0.021, -0.4879, 1.0]","[-1.4318, 162500.0, 2870852.0, 122369.0, 0.0254, 160636.0, 0.0109, 0.6506, 1.0]","[-1.4318, 500100.0, 3370952.0, 263335.6667, 0.071, 371800.0, 0.0125, 0.2674, 0.0]"
2020-05-15,"[-1.6628, 193700.0, 193700.0, 64566.6667, 0.1463, 1247100.0, 0.0227, 0.1572, 0.0]","[-1.6628, 145386.0, 339086.0, 113028.6667, 0.0751, 412200.0, 0.02, -0.4954, -1.0]","[-1.6628, 129800.0, 468886.0, 156295.3333, 0.0523, 306100.0, 0.0154, 0.4624, 0.0]","[-1.6628, 196469.0, 665355.0, 157218.3333, 0.0475, 178107.0, 0.0235, -0.1211, 0.0]","[-1.6628, 58300.0, 723655.0, 128189.6667, 0.0456, 490000.0, 0.0141, 0.1428, -1.0]","[-1.6628, 102200.0, 825855.0, 118989.6667, 0.0458, 436893.0, 0.0167, -0.4142, -1.0]","[-1.6628, 98300.0, 924155.0, 86266.6667, 0.0417, 169600.0, 0.0133, -0.1769, 0.0]","[-1.6628, 79100.0, 1003255.0, 93200.0, 0.0265, 72400.0, 0.0064, 0.7073, -1.0]","[-1.6628, 58000.0, 1061255.0, 78466.6667, 0.0292, 286600.0, 0.011, 0.5867, -1.0]","[-1.6628, 104700.0, 1165955.0, 80600.0, 0.0339, 282427.0, 0.0114, -0.1245, -1.0]","[-1.6628, 39700.0, 1205655.0, 67466.6667, 0.0179, 154700.0, 0.0177, -0.362, -1.0]","[-1.6628, 22100.0, 1227755.0, 55500.0, 0.011, 51900.0, 0.0114, -0.4294, 0.0]","[-1.6628, 82700.0, 1310455.0, 48166.6667, 0.0231, 92981.0, 0.0084, -0.2062, -1.0]","[-1.6628, 56300.0, 1366755.0, 53700.0, 0.0251, 170645.0, 0.0046, -0.4194, -1.0]","[-1.6628, 62500.0, 1429255.0, 67166.6667, 0.0233, 140100.0, 0.0049, 0.245, -1.0]","[-1.6628, 47400.0, 1476655.0, 55400.0, 0.0194, 72800.0, 0.0052, -0.3641, -1.0]","[-1.6628, 62500.0, 1539155.0, 57466.6667, 0.0181, 126200.0, 0.0048, -0.3524, 0.0]","[-1.6628, 41400.0, 1580555.0, 50433.3333, 0.0293, 191200.0, 0.0044, -0.7932, -1.0]","[-1.6628, 54100.0, 1634655.0, 52666.6667, 0.0185, 68300.0, 0.0064, 0.4161, -1.0]","[-1.6628, 120500.0, 1755155.0, 72000.0, 0.029, 78100.0, 0.0077, -0.2983, -1.0]","[-1.6628, 162300.0, 1917455.0, 112300.0, 0.0322, 73500.0, 0.0067, 0.2757, 1.0]","[-1.6628, 143500.0, 2060955.0, 142100.0, 0.0377, 122500.0, 0.0059, 0.0931, -1.0]","[-1.6628, 225800.0, 2286755.0, 177200.0, 0.0536, 160636.0, 0.0128, 0.1166, -1.0]","[-1.6628, 375300.0, 2662055.0, 248200.0, 0.118, 371800.0, 0.02, -0.1122, -1.0]"
2020-05-18,"[1.8923, 1011500.0, 1011500.0, 337166.6667, 0.1766, 1247100.0, 0.0377, -0.1477, 1.0]","[1.8923, 199900.0, 1211400.0, 403800.0, 0.0715, 412200.0, 0.0286, 0.1245, -1.0]","[1.8923, 142800.0, 1354200.0, 451400.0, 0.0491, 306100.0, 0.0196, -0.1626, 0.0]","[1.8923, 153000.0, 1507200.0, 165233.3333, 0.0527, 178107.0, 0.0165, -0.135, 0.0]","[1.8923, 115600.0, 1622800.0, 137133.3333, 0.0289, 490000.0, 0.0155, 0.2501, 1.0]","[1.8923, 104800.0, 1727600.0, 124466.6667, 0.0311, 436893.0, 0.0083, 0.5628, 0.0]","[1.8923, 39600.0, 1767200.0, 86666.6667, 0.0359, 169600.0, 0.0088, -0.1006, 0.0]","[1.8923, 56000.0, 1823200.0, 66800.0, 0.028, 72400.0, 0.0069, 0.4672, 0.0]","[1.8923, 66105.0, 1889305.0, 53901.6667, 0.0193, 286600.0, 0.0056, 0.3551, 0.0]","[1.8923, 61200.0, 1950505.0, 61101.6667, 0.0237, 282427.0, 0.0082, -0.2608, -1.0]","[1.8923, 39300.0, 1989805.0, 55535.0, 0.0129, 154700.0, 0.0065, -0.5249, -1.0]","[1.8923, 124800.0, 2114605.0, 75100.0, 0.0206, 51900.0, 0.0044, -0.2796, -1.0]","[1.8923, 77700.0, 2192305.0, 80600.0, 0.0256, 92981.0, 0.0062, -0.2856, -1.0]","[1.8923, 69700.0, 2262005.0, 90733.3333, 0.0223, 170645.0, 0.0146, 0.265, 0.0]","[1.8923, 48300.0, 2310305.0, 65233.3333, 0.02, 140100.0, 0.0076, 0.6445, 0.0]","[1.8923, 54569.0, 2364874.0, 57523.0, 0.0208, 72800.0, 0.0082, -0.0241, 0.0]","[1.8923, 25048.0, 2389922.0, 42639.0, 0.0134, 126200.0, 0.0061, -0.2369, 0.0]","[1.8923, 105683.0, 2495605.0, 61766.6667, 0.0289, 191200.0, 0.0144, 0.5606, -1.0]","[1.8923, 61200.0, 2556805.0, 63977.0, 0.0207, 68300.0, 0.0133, 0.5349, -1.0]","[1.8923, 89369.0, 2646174.0, 85417.3333, 0.0335, 78100.0, 0.0149, -0.1403, -1.0]","[1.8923, 88900.0, 2735074.0, 79823.0, 0.037, 73500.0, 0.0232, -0.1267, 0.0]","[1.8923, 175600.0, 2910674.0, 117956.3333, 0.0484, 122500.0, 0.0379, -0.0798, 0.0]","[1.8923, 208500.0, 3119174.0, 157666.6667, 0.0655, 160636.0, 0.0222, 0.0101, 0.0]","[1.8923, 168800.0, 3287974.0, 184300.0, 0.1136, 371800.0, 0.0075, -0.0022, -1.0]"
2020-05-19,"[-0.6223, 308500.0, 308500.0, 102833.3333, 0.1673, 1247100.0, 0.0185, 0.501, 0.0]","[-0.6223, 142700.0, 451200.0, 150400.0, 0.0572, 412200.0, 0.0113, 0.3096, -1.0]","[-0.6223, 76100.0, 527300.0, 175766.6667, 0.0407, 306100.0, 0.0114, 0.19, -1.0]","[-0.6223, 134000.0, 661300.0, 117600.0, 0.0577, 178107.0, 0.0258, -0.2921, 0.0]","[-0.6223, 165000.0, 826300.0, 125033.3333, 0.0407, 490000.0, 0.0243, -0.7694, -1.0]","[-0.6223, 77294.0, 903594.0, 125431.3333, 0.0336, 436893.0, 0.0168, 0.1093, 1.0]","[-0.6223, 80300.0, 983894.0, 107531.3333, 0.0269, 169600.0, 0.0248, -0.314, 1.0]","[-0.6223, 45600.0, 1029494.0, 67731.3333, 0.0216, 72400.0, 0.0199, -0.5535, 0.0]","[-0.6223, 95500.0, 1124994.0, 73800.0, 0.0265, 286600.0, 0.0183, -0.0709, -1.0]","[-0.6223, 44500.0, 1169494.0, 61866.6667, 0.0252, 282427.0, 0.0162, -0.1407, -1.0]","[-0.6223, 23200.0, 1192694.0, 54400.0, 0.012, 154700.0, 0.006, 0.5907, -1.0]","[-0.6223, 43200.0, 1235894.0, 36966.6667, 0.0211, 51900.0, 0.0195, 0.192, 0.0]","[-0.6223, 71100.0, 1306994.0, 45833.3333, 0.0276, 92981.0, 0.018, 0.2279, 0.0]","[-0.6223, 65000.0, 1371994.0, 59766.6667, 0.0226, 170645.0, 0.0159, 0.2756, 0.0]","[-0.6223, 39900.0, 1411894.0, 58666.6667, 0.018, 140100.0, 0.0169, -0.1424, 1.0]","[-0.6223, 54100.0, 1465994.0, 53000.0, 0.0186, 72800.0, 0.0104, 0.2339, -1.0]","[-0.6223, 73800.0, 1539794.0, 55933.3333, 0.0201, 126200.0, 0.016, -0.4572, 0.0]","[-0.6223, 271200.0, 1810994.0, 133033.3333, 0.0515, 191200.0, 0.0115, 0.0035, 0.0]","[-0.6223, 130200.0, 1941194.0, 158400.0, 0.0301, 68300.0, 0.014, -0.1567, 0.0]","[-0.6223, 64788.0, 2005982.0, 155396.0, 0.0327, 78100.0, 0.0058, -0.169, -1.0]","[-0.6223, 126600.0, 2132582.0, 107196.0, 0.046, 73500.0, 0.0108, -0.3341, 0.0]","[-0.6223, 88112.0, 2220694.0, 93166.6667, 0.0473, 122500.0, 0.0099, -0.266, 0.0]","[-0.6223, 120800.0, 2341494.0, 111837.3333, 0.0653, 160636.0, 0.0083, -0.3661, -1.0]","[-0.6223, 197886.0, 2539380.0, 135599.3333, 0.0901, 371800.0, 0.009, 0.2959, -1.0]"
2020-05-20,"[-1.669, 462800.0, 462800.0, 154266.6667, 0.1616, 1247100.0, 0.027, 0.4426, -1.0]","[-1.669, 154500.0, 617300.0, 205766.6667, 0.0452, 412200.0, 0.0164, 0.0844, -1.0]","[-1.669, 129900.0, 747200.0, 249066.6667, 0.0297, 306100.0, 0.0162, -0.2322, 0.0]","[-1.669, 136900.0, 884100.0, 140433.3333, 0.0386, 178107.0, 0.0098, -0.194, -1.0]","[-1.669, 183700.0, 1067800.0, 150166.6667, 0.0407, 490000.0, 0.017, -0.1086, -1.0]","[-1.669, 157145.0, 1224945.0, 159248.3333, 0.0271, 436893.0, 0.0131, 0.4415, -1.0]","[-1.669, 179600.0, 1404545.0, 173481.6667, 0.0218, 169600.0, 0.0268, -0.1433, -1.0]","[-1.669, 82700.0, 1487245.0, 139815.0, 0.015, 72400.0, 0.0084, 0.3802, 0.0]","[-1.669, 57200.0, 1544445.0, 106500.0, 0.0215, 286600.0, 0.0191, -0.1206, 0.0]","[-1.669, 55655.0, 1600100.0, 65185.0, 0.0143, 282427.0, 0.0203, 0.4224, -1.0]","[-1.669, 86000.0, 1686100.0, 66285.0, 0.0105, 154700.0, 0.0094, 0.5929, -1.0]","[-1.669, 56200.0, 1742300.0, 65951.6667, 0.0206, 51900.0, 0.0052, 0.8298, 0.0]","[-1.669, 47300.0, 1789600.0, 63166.6667, 0.0191, 92981.0, 0.0059, 0.2028, 0.0]","[-1.669, 50800.0, 1840400.0, 51433.3333, 0.0176, 170645.0, 0.0048, 0.0718, 0.0]","[-1.669, 45012.0, 1885412.0, 47704.0, 0.0119, 140100.0, 0.0118, -0.14, 0.0]","[-1.669, 40200.0, 1925612.0, 45337.3333, 0.0142, 72800.0, 0.0076, -0.456, 0.0]","[-1.669, 80300.0, 2005912.0, 55170.6667, 0.0154, 126200.0, 0.011, -0.4924, 0.0]","[-1.669, 487091.0, 2493003.0, 202530.3333, 0.0659, 191200.0, 0.0873, 0.0065, 0.0]","[-1.669, 363900.0, 2856903.0, 310430.3333, 0.0379, 68300.0, 0.0326, -0.0905, -1.0]","[-1.669, 2301323.0, 5158226.0, 1050771.3333, 0.1099, 78100.0, 0.1832, -0.383, -1.0]","[-1.669, 666248.0, 5824474.0, 1110490.3333, 0.0524, 73500.0, 0.0327, -0.3125, -1.0]","[-1.669, 333300.0, 6157774.0, 1100290.3333, 0.0427, 122500.0, 0.0204, 0.1672, -1.0]","[-1.669, 1021200.0, 7178974.0, 673582.6667, 0.078, 160636.0, 0.0536, 0.4128, 1.0]","[-1.669, 1128700.0, 8307674.0, 827733.3333, 0.0884, 371800.0, 0.0245, -0.1471, 0.0]"
2020-05-21,"[5.766, 1638894.0, 1638894.0, 546298.0, 0.1129, 503859.0, 0.0632, 0.0258, 1.0]","[5.766, 1537793.0, 3176687.0, 1058895.6667, 0.0755, 334400.0, 0.0474, -0.0785, -1.0]","[5.766, 807459.0, 3984146.0, 1328048.6667, 0.0417, 185700.0, 0.0291, -0.2343, 0.0]","[5.766, 549932.0, 4534078.0, 965061.3333, 0.0411, 126800.0, 0.0194, 0.1435, -1.0]","[5.766, 496900.0, 5030978.0, 618097.0, 0.0454, 100300.0, 0.0195, -0.3601, 0.0]","[5.766, 496791.0, 5527769.0, 514541.0, 0.0328, 77500.0, 0.0147, -0.4117, -1.0]","[5.766, 504200.0, 6031969.0, 499297.0, 0.0343, 197500.0, 0.0448, 0.4233, 1.0]","[5.766, 283200.0, 6315169.0, 428063.6667, 0.0186, 125200.0, 0.0284, 0.4764, 0.0]","[5.766, 142600.0, 6457769.0, 310000.0, 0.0195, 54100.0, 0.0163, 0.5537, 0.0]","[5.766, 138500.0, 6596269.0, 188100.0, 0.0126, 44786.0, 0.0098, -0.0363, 0.0]","[5.766, 405055.2, 7001324.2, 228718.4, 0.0198, 39900.0, 0.0573, 0.1735, -1.0]","[5.766, 245600.0, 7246924.2, 263051.7333, 0.016, 52800.0, 0.02, 0.0814, -1.0]","[5.766, 128900.0, 7375824.2, 259851.7333, 0.0155, 74600.0, 0.0123, 0.2445, 0.0]","[5.766, 205500.0, 7581324.2, 193333.3333, 0.0173, 83100.0, 0.0093, 0.4955, -1.0]","[5.766, 325941.6, 7907265.8, 220113.8667, 0.0178, 74100.0, 0.0294, -0.0006, -1.0]","[5.766, 276807.0, 8184072.8, 269416.2, 0.0178, 94000.0, 0.0315, -0.1772, -1.0]","[5.766, 223441.1, 8407513.9, 275396.5667, 0.0203, 30300.0, 0.0242, 0.0731, -1.0]","[5.766, 164773.9, 8572287.8, 221674.0, 0.0606, 131700.0, 0.0162, -0.0874, 0.0]","[5.766, 184500.0, 8756787.8, 190905.0, 0.0378, 78300.0, 0.0216, -0.0407, 0.0]","[5.766, 233186.2, 8989974.0, 194153.3667, 0.1085, 94800.0, 0.0426, -0.0387, -1.0]","[5.766, 134600.0, 9124574.0, 184095.4, 0.0478, 77200.0, 0.0191, -0.1029, -1.0]","[5.766, 249000.0, 9373574.0, 205595.4, 0.0331, 127407.0, 0.0164, 0.3909, 0.0]","[5.766, 332100.0, 9705674.0, 238566.6667, 0.0677, 162500.0, 0.0217, -0.0578, -1.0]","[5.766, 440548.0, 10146222.0, 340549.3333, 0.0857, 500100.0, 0.0211, 0.0885, -1.0]"
2020-05-22,"[-1.3291, 792331.0, 792331.0, 264110.3333, 0.0988, 193700.0, 0.0886, 0.1423, 0.0]","[-1.3291, 453887.1, 1246218.1, 415406.0333, 0.0718, 145386.0, 0.0378, 0.0354, 1.0]","[-1.3291, 215900.0, 1462118.1, 487372.7, 0.0389, 129800.0, 0.0325, -0.1099, 0.0]","[-1.3291, 213800.0, 1675918.1, 294529.0333, 0.0307, 196469.0, 0.0165, 0.3705, 1.0]","[-1.3291, 326900.0, 2002818.1, 252200.0, 0.0346, 58300.0, 0.0228, 0.1506, -1.0]","[-1.3291, 582893.1, 2585711.2, 374531.0333, 0.0421, 102200.0, 0.0461, -0.0431, -1.0]","[-1.3291, 314500.0, 2900211.2, 408097.7, 0.0343, 98300.0, 0.0552, 0.1148, -1.0]","[-1.3291, 73200.0, 2973411.2, 323531.0333, 0.0151, 79100.0, 0.0318, 0.422, 1.0]","[-1.3291, 84600.0, 3058011.2, 157433.3333, 0.0098, 58000.0, 0.0111, 0.0143, -1.0]","[-1.3291, 68500.0, 3126511.2, 75433.3333, 0.0091, 104700.0, 0.0166, 0.0296, 0.0]","[-1.3291, 180100.0, 3306611.2, 111066.6667, 0.0228, 39700.0, 0.0325, 0.0945, 0.0]","[-1.3291, 66700.0, 3373311.2, 105100.0, 0.0125, 22100.0, 0.0191, -0.3372, 0.0]","[-1.3291, 148900.0, 3522211.2, 131900.0, 0.0111, 82700.0, 0.0267, 0.4318, 0.0]","[-1.3291, 258000.0, 3780211.2, 157866.6667, 0.0174, 56300.0, 0.0226, -0.262, -1.0]","[-1.3291, 722458.5, 4502669.7, 376452.8333, 0.0366, 62500.0, 0.0791, -0.062, -1.0]","[-1.3291, 282100.0, 4784769.7, 420852.8333, 0.0201, 47400.0, 0.0883, -0.063, 0.0]","[-1.3291, 86600.0, 4871369.7, 363719.5, 0.0134, 62500.0, 0.0344, 0.0364, -1.0]","[-1.3291, 189036.0, 5060405.7, 185912.0, 0.0313, 41400.0, 0.0163, 0.0491, -1.0]","[-1.3291, 337307.0, 5397712.7, 204314.3333, 0.0319, 54100.0, 0.0425, -0.2979, 0.0]","[-1.3291, 127900.0, 5525612.7, 218081.0, 0.1043, 120500.0, 0.0378, 0.1832, 0.0]","[-1.3291, 76600.0, 5602212.7, 180602.3333, 0.0337, 162300.0, 0.0152, -0.1683, 0.0]","[-1.3291, 2227855.1, 7830067.8, 810785.0333, 0.0958, 143500.0, 0.4168, 0.1603, -1.0]","[-1.3291, 1252695.9, 9082763.7, 1185717.0, 0.0936, 225800.0, 0.0812, -0.1394, 0.0]","[-1.3291, 917200.0, 9999963.7, 1465917.0, 0.0903, 375300.0, 0.024, 0.1572, 0.0]"
2020-05-25,"[0.1925, 891600.0, 891600.0, 297200.0, 0.1005, 1011500.0, 0.0579, -0.0495, 0.0]","[0.1925, 436800.0, 1328400.0, 442800.0, 0.0755, 199900.0, 0.0692, 0.1282, -1.0]","[0.1925, 1182400.0, 2510800.0, 836933.3333, 0.0605, 142800.0, 0.0396, -0.0028, 0.0]","[0.1925, 513048.0, 3023848.0, 710749.3333, 0.0368, 153000.0, 0.0205, 0.1575, -1.0]","[0.1925, 616800.0, 3640648.0, 770749.3333, 0.0412, 115600.0, 0.0355, -0.0873, -1.0]","[0.1925, 2106129.6, 5746777.6, 1078659.2, 0.0835, 104800.0, 0.1227, 0.0344, -1.0]","[0.1925, 664500.0, 6411277.6, 1129143.2, 0.0421, 39600.0, 0.0596, 0.3507, 0.0]","[0.1925, 360600.0, 6771877.6, 1043743.2, 0.0199, 56000.0, 0.0227, 0.1009, -1.0]","[0.1925, 467409.0, 7239286.6, 497503.0, 0.0181, 66105.0, 0.0465, -0.0121, -1.0]","[0.1925, 196700.0, 7435986.6, 341569.6667, 0.0113, 61200.0, 0.0238, 0.2211, 0.0]","[0.1925, 215500.0, 7651486.6, 293203.0, 0.0242, 39300.0, 0.0193, 0.2, -1.0]","[0.1925, 259500.0, 7910986.6, 223900.0, 0.0162, 124800.0, 0.0204, -0.129, 0.0]","[0.1925, 566810.2, 8477796.8, 347270.0667, 0.022, 77700.0, 0.0256, -0.5256, 1.0]","[0.1925, 259579.0, 8737375.8, 361963.0667, 0.0212, 69700.0, 0.0122, 0.0235, 0.0]","[0.1925, 358521.0, 9095896.8, 394970.0667, 0.0429, 48300.0, 0.0222, 0.2362, -1.0]","[0.1925, 240100.0, 9335996.8, 286066.6667, 0.0239, 54569.0, 0.0249, 0.1509, 0.0]","[0.1925, 193700.0, 9529696.8, 264107.0, 0.0146, 25048.0, 0.0177, -0.2858, 0.0]","[0.1925, 400600.0, 9930296.8, 278133.3333, 0.0208, 105683.0, 0.0463, 0.3409, 0.0]","[0.1925, 245600.0, 10175896.8, 279966.6667, 0.0229, 61200.0, 0.0107, -0.59, -1.0]","[0.1925, 1539083.3, 11714980.1, 728427.7667, 0.0468, 89369.0, 0.1143, -0.125, 0.0]","[0.1925, 654300.0, 12369280.1, 812994.4333, 0.0218, 88900.0, 0.0481, 0.068, -1.0]","[0.1925, 561440.9, 12930721.0, 918274.7333, 0.0952, 175600.0, 0.0327, 0.0548, 1.0]","[0.1925, 885124.1, 13815845.1, 700288.3333, 0.0727, 208500.0, 0.0259, -0.1412, -1.0]","[0.1925, 895000.0, 14710845.1, 780521.6667, 0.0653, 168800.0, 0.0388, 0.0206, 0.0]"
2020-05-26,"[0.1952, 1650427.7, 1650427.7, 550142.5667, 0.1053, 308500.0, 0.0542, 0.4205, 0.0]","[0.1952, 772500.0, 2422927.7, 807642.5667, 0.0525, 142700.0, 0.041, -0.0361, -1.0]","[0.1952, 446318.0, 2869245.7, 956415.2333, 0.0499, 76100.0, 0.037, 0.0727, 0.0]","[0.1952, 266788.0, 3136033.7, 495202.0, 0.0282, 134000.0, 0.0216, -0.2035, 0.0]","[0.1952, 360300.0, 3496333.7, 357802.0, 0.0377, 165000.0, 0.0242, -0.0273, -1.0]","[0.1952, 524920.0, 4021253.7, 384002.6667, 0.0858, 77294.0, 0.0323, -0.0175, -1.0]","[0.1952, 242748.0, 4264001.7, 375989.3333, 0.0342, 80300.0, 0.0063, 0.5443, -1.0]","[0.1952, 686814.0, 4950815.7, 484827.3333, 0.035, 45600.0, 0.0295, 0.5587, -1.0]","[0.1952, 222568.0, 5173383.7, 384043.3333, 0.0213, 95500.0, 0.0346, 0.3654, -1.0]","[0.1952, 285586.2, 5458969.9, 398322.7333, 0.0169, 44500.0, 0.0274, 0.0973, -1.0]","[0.1952, 198000.0, 5656969.9, 235384.7333, 0.0179, 23200.0, 0.0198, -0.2331, 0.0]","[0.1952, 298400.0, 5955369.9, 260662.0667, 0.0187, 43200.0, 0.039, -0.3803, 0.0]","[0.1952, 276700.0, 6232069.9, 257700.0, 0.0277, 71100.0, 0.0152, 0.2918, 0.0]","[0.1952, 91900.0, 6323969.9, 222333.3333, 0.0178, 65000.0, 0.0152, 0.0029, -1.0]","[0.1952, 158216.0, 6482185.9, 175605.3333, 0.0378, 39900.0, 0.0123, -0.5617, -1.0]","[0.1952, 230884.0, 6713069.9, 160333.3333, 0.0231, 54100.0, 0.023, 0.4114, -1.0]","[0.1952, 220800.0, 6933869.9, 203300.0, 0.0151, 73800.0, 0.0182, -0.2673, 0.0]","[0.1952, 279700.0, 7213569.9, 243794.6667, 0.0253, 271200.0, 0.0323, -0.2738, -1.0]","[0.1952, 277600.0, 7491169.9, 259366.6667, 0.0267, 130200.0, 0.0138, -0.0747, -1.0]","[0.1952, 173600.0, 7664769.9, 243633.3333, 0.0453, 64788.0, 0.0092, -0.0566, 0.0]","[0.1952, 188700.0, 7853469.9, 213300.0, 0.0241, 126600.0, 0.0122, 0.3544, 0.0]","[0.1952, 328300.0, 8181769.9, 230200.0, 0.0987, 88112.0, 0.02, 0.1118, -1.0]","[0.1952, 509200.0, 8690969.9, 342066.6667, 0.0799, 120800.0, 0.037, -0.134, -1.0]","[0.1952, 679000.0, 9369969.9, 505500.0, 0.075, 197886.0, 0.0234, -0.1034, 0.0]"
