date,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24
2020-05-13,"[-1.0, 0.0317, 0.0317, 0.0317, -0.0162, 0.0317, -0.1908, 1.2613, -1.0]","[-1.0, -0.5124, -0.4808, -0.2404, 0.2619, -0.5124, -0.2007, 0.4622, -1.0]","[-1.0, -0.5018, -0.9825, -0.3275, 0.2564, -0.5018, -0.1991, 1.6046, 0.0]","[-1.0, -0.5846, -1.5671, -0.5329, 0.2988, -0.5846, -0.2008, 1.5467, 0.0]","[-1.0, -0.5501, -2.1172, -0.5455, 0.2811, -0.5501, -0.2021, 1.629, 0.0]","[-1.0, -0.4732, -2.5904, -0.5359, 0.2418, -0.4732, -0.2087, 0.0731, 0.0]","[-1.0, -0.3071, -2.8974, -0.4434, 0.1569, -0.3071, -0.1995, -0.0541, 0.0]","[-1.0, 1.0268, -1.8706, 0.0822, -0.5248, 1.0268, -0.1809, 0.9409, 0.0]","[-1.0, 0.2163, -1.6543, 0.312, -0.1105, 0.2163, -0.1971, 0.0982, 0.0]","[-1.0, 1.329, -0.3253, 0.8574, -0.6792, 1.329, -0.1799, 0.9364, 1.0]","[-1.0, 0.1452, -0.1801, 0.5635, -0.0742, 0.1452, -0.1958, 1.5029, 0.0]","[-1.0, -0.095, -0.275, 0.4597, 0.0485, -0.095, -0.2018, -0.018, 0.0]","[-1.0, 0.2452, -0.0299, 0.0985, -0.1253, 0.2452, -0.1999, 0.7647, 0.0]","[-1.0, -0.3505, -0.3803, -0.0668, 0.1791, -0.3505, -0.2012, -1.3002, 0.0]","[-1.0, -0.0115, -0.3918, -0.0389, 0.0059, -0.0115, -0.1989, -0.7093, 0.0]","[-1.0, -0.4818, -0.8736, -0.2813, 0.2462, -0.4818, -0.2035, -0.8545, 0.0]","[-1.0, -0.2892, -1.1629, -0.2608, 0.1478, -0.2892, -0.2209, -0.8875, 0.0]","[-1.0, -0.2649, -1.4278, -0.3453, 0.1354, -0.2649, -0.2042, -0.0647, 0.0]","[-1.0, -0.407, -1.8348, -0.3204, 0.208, -0.407, -0.208, 0.1584, 0.0]","[-1.0, -0.1771, -2.0119, -0.283, 0.0905, -0.1771, -0.2021, 0.522, 0.0]","[-1.0, -0.3089, -2.3208, -0.2977, 0.1579, -0.3089, -0.207, 0.7172, 0.0]","[-1.0, -0.0065, -2.3273, -0.1642, 0.0033, -0.0065, -0.2002, -1.1567, 0.0]","[-1.0, 0.0797, -2.2476, -0.0786, -0.0407, 0.0797, -0.2069, 0.9932, 0.0]","[-1.0, 0.2909, -1.9567, 0.1214, -0.1486, 0.2909, -0.2071, 0.8547, 0.0]"
2020-05-14,"[0.3766, -0.2142, -0.2142, -0.2142, 0.0039, 0.0317, -0.2061, 0.4133, 0.0]","[0.3766, 0.0392, -0.175, -0.0875, 0.1288, -0.5124, -0.2007, 1.4405, 0.0]","[0.3766, -0.5527, -0.7277, -0.2426, 0.1591, -0.5018, -0.205, -1.1225, 0.0]","[0.3766, -0.3322, -1.0598, -0.2819, 0.1679, -0.5846, -0.2105, -1.4093, 0.0]","[0.3766, -0.3362, -1.396, -0.407, 0.1593, -0.5501, -0.2006, 1.9572, 0.0]","[0.3766, -0.0469, -1.4429, -0.2384, 0.1235, -0.4732, -0.1866, 0.3523, 0.0]","[0.3766, 0.3585, -1.0844, -0.0082, 0.0585, -0.3071, -0.1972, -0.4263, 0.0]","[0.3766, -0.6848, -1.7691, -0.1244, -0.2242, 1.0268, -0.2209, -0.4099, 0.0]","[0.3766, -0.5485, -2.3176, -0.2916, -0.0247, 0.2163, -0.2018, 1.8205, 0.0]","[0.3766, -0.6374, -2.955, -0.6235, -0.304, 1.329, -0.2073, -1.1603, 0.0]","[0.3766, -0.4717, -3.4267, -0.5525, -0.0108, 0.1452, -0.2012, 0.8213, 0.0]","[0.3766, -0.62, -4.0467, -0.5764, 0.0589, -0.095, -0.2209, 0.8716, 0.0]","[0.3766, -0.588, -4.6347, -0.5599, -0.0298, 0.2452, -0.2099, 0.961, 0.0]","[0.3766, -0.609, -5.2437, -0.6057, 0.1235, -0.3505, -0.2016, -0.0624, 0.0]","[0.3766, -0.3857, -5.6294, -0.5275, 0.0245, -0.0115, -0.2029, -1.1907, 0.0]","[0.3766, -0.5631, -6.1925, -0.5192, 0.1545, -0.4818, -0.204, 1.6138, 0.0]","[0.3766, -0.6038, -6.7963, -0.5175, 0.1076, -0.2892, -0.1978, -0.3414, 0.0]","[0.3766, -0.4278, -7.2241, -0.5316, 0.0916, -0.2649, -0.2019, -1.3999, 0.0]","[0.3766, -0.4603, -7.6843, -0.4973, 0.1297, -0.407, -0.212, 1.2695, 0.0]","[0.3766, -0.0291, -7.7134, -0.3057, 0.0469, -0.1771, -0.2167, -0.9739, 0.0]","[0.3766, -0.2729, -7.9863, -0.2541, 0.0942, -0.3089, -0.2089, -1.358, 0.0]","[0.3766, -0.631, -8.6173, -0.311, 0.0369, -0.0065, -0.2016, -1.1329, 0.0]","[0.3766, -0.4499, -9.0673, -0.4513, 0.0047, 0.0797, -0.2095, -1.1445, 0.0]","[0.3766, 0.1075, -8.9598, -0.3245, -0.0803, 0.2909, -0.2007, -0.8821, 0.0]"
2020-05-15,"[-0.917, 0.0849, 0.0849, 0.0849, -0.0027, 0.0317, -0.1973, -0.1213, 0.0]","[-0.917, -0.2348, -0.1499, -0.0749, 0.1004, -0.5124, -0.2066, 0.6938, -1.0]","[-0.917, -0.449, -0.5989, -0.1996, 0.1339, -0.5018, -0.2007, -0.1239, 0.0]","[-0.917, -0.5463, -1.1452, -0.41, 0.1458, -0.5846, -0.2092, 0.4052, 0.0]","[-0.917, -0.3641, -1.5093, -0.4531, 0.1288, -0.5501, -0.2086, 1.3005, 0.0]","[-0.917, -0.5037, -2.0129, -0.4714, 0.1136, -0.4732, -0.2086, 1.0905, 0.0]","[-0.917, -0.4384, -2.4514, -0.4354, 0.0662, -0.3071, -0.1998, -1.0952, 0.0]","[-0.917, -0.6482, -3.0995, -0.5301, -0.1092, 1.0268, -0.2009, -0.9036, 0.0]","[-0.917, -0.323, -3.4225, -0.4699, 0.0036, 0.2163, -0.205, 1.0424, 0.0]","[-0.917, -0.6712, -4.0937, -0.5474, -0.161, 1.329, -0.2027, 1.4147, 0.0]","[-0.917, -0.6772, -4.7709, -0.5571, 0.0348, 0.1452, -0.2005, 1.1243, 0.0]","[-0.917, -0.4208, -5.1918, -0.5897, 0.0654, -0.095, -0.2024, -1.6799, 0.0]","[-0.917, -0.3819, -5.5737, -0.4933, 0.0038, 0.2452, -0.2008, -1.4557, 0.0]","[-0.917, -0.4774, -6.051, -0.4267, 0.112, -0.3505, -0.2009, -1.5122, 0.0]","[-0.917, -0.6008, -6.6518, -0.4867, 0.0536, -0.0115, -0.2041, -1.2575, 0.0]","[-0.917, -0.4225, -7.0743, -0.5002, 0.1292, -0.4818, -0.2012, -1.5724, 0.0]","[-0.917, -0.3155, -7.3898, -0.4463, 0.0913, -0.2892, -0.203, -1.4322, 0.0]","[-0.917, -0.2121, -7.6019, -0.3167, 0.0742, -0.2649, -0.2009, -1.6848, 0.0]","[-0.917, -0.0525, -7.6544, -0.1934, 0.0897, -0.407, -0.2048, -0.8835, 0.0]","[-0.917, 0.5462, -7.1082, 0.0939, -0.0026, -0.1771, -0.2121, -0.3242, -1.0]","[-0.917, -0.5935, -7.7017, -0.0333, 0.0996, -0.3089, -0.195, 0.2141, 0.0]","[-0.917, -0.2834, -7.9851, -0.1102, 0.0422, -0.0065, -0.2006, -0.1034, 0.0]","[-0.917, 0.0005, -7.9846, -0.2921, 0.0031, 0.0797, -0.2008, -1.6115, 0.0]","[-0.917, 2.6132, -5.3715, 0.7768, -0.2157, 0.2909, -0.1639, -1.1437, 0.0]"
2020-05-18,"[-0.3189, 0.145, 0.145, 0.145, -0.0048, 0.0317, -0.2062, 0.666, 0.0]","[-0.3189, -0.0363, 0.1087, 0.0543, 0.015, -0.5124, -0.1985, -0.1568, 0.0]","[-0.3189, -0.1189, -0.0103, -0.0034, 0.0546, -0.5018, -0.1952, -0.8713, 0.0]","[-0.3189, 0.2135, 0.2032, 0.0194, 0.0352, -0.5846, -0.2039, 0.1632, 0.0]","[-0.3189, -0.2544, -0.0512, -0.0533, 0.0483, -0.5501, -0.2094, -1.1027, 0.0]","[-0.3189, 0.3701, 0.319, 0.1097, 0.0138, -0.4732, -0.2, -1.0248, 0.0]","[-0.3189, -0.0732, 0.2458, 0.0142, 0.0177, -0.3071, -0.2007, 0.2525, 0.0]","[-0.3189, -0.2497, -0.0039, 0.0158, 0.0787, 1.0268, -0.2034, -0.584, 0.0]","[-0.3189, -0.1811, -0.185, -0.168, 0.0499, 0.2163, -0.207, -1.7201, 0.0]","[-0.3189, -0.494, -0.6791, -0.3083, 0.091, 1.329, -0.1919, -0.4441, 0.0]","[-0.3189, -0.5435, -1.2226, -0.4062, 0.0878, 0.1452, -0.2018, 1.3048, 0.0]","[-0.3189, -0.5766, -1.7992, -0.5381, 0.0791, -0.095, -0.2006, 1.2187, 0.0]","[-0.3189, -0.6095, -2.4087, -0.5765, 0.0772, 0.2452, -0.2011, 1.1031, 0.0]","[-0.3189, -0.5508, -2.9595, -0.579, 0.0809, -0.3505, -0.2046, 0.7398, 0.0]","[-0.3189, -0.0752, -3.0346, -0.4118, 0.0555, -0.0115, -0.2121, 0.0598, 0.0]","[-0.3189, -0.4122, -3.4468, -0.346, 0.0686, -0.4818, -0.2026, -1.4949, 0.0]","[-0.3189, -0.4289, -3.8757, -0.3054, 0.0643, -0.2892, -0.2011, -1.459, 0.0]","[-0.3189, -0.4658, -4.3415, -0.4356, 0.0533, -0.2649, -0.208, 1.3608, 0.0]","[-0.3189, -0.5665, -4.908, -0.4871, 0.0498, -0.407, -0.2006, 0.4191, 0.0]","[-0.3189, -0.5001, -5.4081, -0.5108, -0.0068, -0.1771, -0.2209, -0.0261, 0.0]","[-0.3189, -0.3591, -5.7673, -0.4753, 0.0656, -0.3089, -0.2089, 1.923, 0.0]","[-0.3189, -0.514, -6.2813, -0.4577, 0.0678, -0.0065, -0.198, 0.1572, 0.0]","[-0.3189, 0.2754, -6.0058, -0.1992, 0.0024, 0.0797, -0.2024, 0.9429, 0.0]","[-0.3189, -0.4127, -6.4185, -0.2171, -0.1447, 0.2909, -0.2039, -0.062, 0.0]"
2020-05-19,"[0.4339, -0.2672, -0.2672, -0.2672, 0.4994, 0.0317, -0.2015, 0.84, 0.0]","[0.4339, -0.4042, -0.6714, -0.3357, 0.7913, -0.5124, -0.2084, -0.3455, 0.0]","[0.4339, -0.6385, -1.3099, -0.4366, 1.2581, -0.5018, -0.2008, -0.7119, 0.0]","[0.4339, -0.0507, -1.3606, -0.3645, 0.1199, -0.5846, -0.1961, 0.0284, 0.0]","[0.4339, 0.3402, -1.0204, -0.1163, -0.6163, -0.5501, -0.2021, 0.4987, -1.0]","[0.4339, 0.1002, -0.9201, 0.1299, -0.1801, -0.4732, -0.1887, -1.4188, 0.0]","[0.4339, -0.4675, -1.3877, -0.009, 0.9273, -0.3071, -0.1961, 0.4177, 0.0]","[0.4339, -0.6486, -2.0363, -0.3386, 1.2966, 1.0268, -0.2018, 0.7559, 0.0]","[0.4339, -0.4262, -2.4625, -0.5141, 0.8466, 0.2163, -0.207, 1.1727, 0.0]","[0.4339, -0.5454, -3.0079, -0.5401, 1.1129, 1.329, -0.1992, -1.5034, -1.0]","[0.4339, 4.0395, 1.0315, 1.0226, -7.6735, 0.1452, -0.1741, -1.2523, 0.0]","[0.4339, 0.4704, 1.5019, 1.3215, -0.8457, -0.095, -0.1963, -1.6934, 0.0]","[0.4339, -0.0187, 1.4832, 1.497, 0.0913, 0.2452, -0.2017, 0.2623, 0.0]","[0.4339, -0.0542, 1.429, 0.1325, 0.1621, -0.3505, -0.2034, 1.6862, 0.0]","[0.4339, -0.4835, 0.9455, -0.1855, 0.968, -0.0115, -0.2094, 0.1067, -1.0]","[0.4339, -0.2735, 0.672, -0.2704, 0.572, -0.4818, -0.2021, 0.7533, 0.0]","[0.4339, -0.5996, 0.0724, -0.4522, 1.1913, -0.2892, -0.2007, 1.0162, 0.0]","[0.4339, -0.3915, -0.3191, -0.4215, 0.7879, -0.2649, -0.2053, -2.061, 0.0]","[0.4339, -0.3268, -0.6459, -0.4393, 0.6591, -0.407, -0.1892, -0.4013, 0.0]","[0.4339, -0.3214, -0.9672, -0.3466, 0.6082, -0.1771, -0.2209, 1.2297, -1.0]","[0.4339, -0.4785, -1.4458, -0.3756, 0.9729, -0.3089, -0.2037, -2.1794, 0.0]","[0.4339, -0.3038, -1.7496, -0.3679, 0.6266, -0.0065, -0.2095, -0.0933, 0.0]","[0.4339, -0.0925, -1.8421, -0.2916, 0.163, 0.0797, -0.1913, -1.2945, 0.0]","[0.4339, 1.6682, -0.1739, 0.424, -3.3387, 0.2909, -0.1955, -0.8571, 0.0]"
2020-05-20,"[0.0067, -0.2266, -0.2266, -0.2266, 0.5185, 0.0317, -0.1988, 0.5059, 0.0]","[0.0067, -0.3404, -0.567, -0.2835, 0.7975, -0.5124, -0.2048, 0.4479, 0.0]","[0.0067, -0.2414, -0.8083, -0.2694, 1.245, -0.5018, -0.1994, 1.6571, 0.0]","[0.0067, 0.0336, -0.7748, -0.1827, 0.084, -0.5846, -0.2039, 1.5253, 0.0]","[0.0067, 0.2036, -0.5711, -0.0014, -0.6514, -0.5501, -0.2007, -0.2496, 0.0]","[0.0067, 2.2515, 1.6804, 0.8296, -0.3492, -0.4732, -0.1991, 0.5095, -1.0]","[0.0067, -0.4065, 1.2739, 0.6829, 0.9249, -0.3071, -0.197, 1.8601, 0.0]","[0.0067, -0.3125, 0.9614, 0.5108, 1.2755, 1.0268, -0.2121, -1.0249, 0.0]","[0.0067, -0.5072, 0.4542, -0.4087, 0.8575, 0.2163, -0.2009, -0.1474, 0.0]","[0.0067, -0.1736, 0.2807, -0.3311, 1.0818, 1.329, -0.2137, 0.9482, 0.0]","[0.0067, -0.3263, -0.0456, -0.3357, -7.6956, 0.1452, -0.2068, -1.7007, 0.0]","[0.0067, -0.6092, -0.6549, -0.3697, -0.8345, -0.095, -0.2008, -1.3862, 0.0]","[0.0067, -0.6531, -1.3079, -0.5295, 0.1076, 0.2452, -0.2074, 0.3459, 0.0]","[0.0067, -0.5522, -1.8601, -0.6048, 0.1662, -0.3505, -0.2008, 0.4218, 0.0]","[0.0067, -0.3071, -2.1672, -0.5041, 0.9495, -0.0115, -0.2057, 1.4122, 0.0]","[0.0067, -0.5818, -2.749, -0.4803, 0.5813, -0.4818, -0.2044, 1.0445, 0.0]","[0.0067, -0.6256, -3.3746, -0.5048, 1.21, -0.2892, -0.2009, 0.2747, 0.0]","[0.0067, -0.5994, -3.974, -0.6023, 0.8114, -0.2649, -0.2078, -0.0709, 0.0]","[0.0067, -0.5785, -4.5525, -0.6012, 0.6912, -0.407, -0.2042, 0.0673, 0.0]","[0.0067, 0.4854, -4.0671, -0.2308, 0.6123, -0.1771, -0.1971, 0.7921, 0.0]","[0.0067, -0.5238, -4.5909, -0.2056, 0.9681, -0.3089, -0.201, 1.3098, 0.0]","[0.0067, -0.5555, -5.1464, -0.198, 0.643, -0.0065, -0.2009, 1.4365, 0.0]","[0.0067, -0.1736, -5.32, -0.4177, 0.1737, 0.0797, -0.2051, 1.9587, 0.0]","[0.0067, -0.1263, -5.4463, -0.2851, -3.1688, 0.2909, -0.1921, -0.9066, 0.0]"
2020-05-21,"[-0.0804, 0.355, 0.355, 0.355, 0.5132, -0.2142, -0.1844, 0.169, 0.0]","[-0.0804, -0.4753, -0.1203, -0.0602, 0.8129, 0.0392, -0.2008, 0.211, 0.0]","[-0.0804, -0.4736, -0.5939, -0.198, 1.256, -0.5527, -0.2063, 0.0861, 0.0]","[-0.0804, 0.0317, -0.5623, -0.3057, 0.0939, -0.3322, -0.1966, -0.4055, 0.0]","[-0.0804, -0.65, -1.2123, -0.364, -0.641, -0.3362, -0.2067, 1.0018, 0.0]","[-0.0804, -0.41, -1.6224, -0.3428, -0.3151, -0.0469, -0.2057, 1.6446, 0.0]","[-0.0804, -0.5391, -2.1614, -0.5331, 0.9407, 0.3585, -0.2022, -0.7542, 0.0]","[-0.0804, -0.6235, -2.785, -0.5242, 1.2852, -0.6848, -0.2014, -0.0464, 0.0]","[-0.0804, -0.3643, -3.1493, -0.509, 0.8614, -0.5485, -0.2006, 0.0837, 0.0]","[-0.0804, -0.6381, -3.7873, -0.542, 1.0793, -0.6374, -0.2009, 0.353, 0.0]","[-0.0804, -0.5991, -4.3865, -0.5338, -7.7021, -0.4717, -0.2076, 0.0042, 0.0]","[-0.0804, -0.6367, -5.0231, -0.6246, -0.8414, -0.62, -0.2051, 0.0586, 0.0]","[-0.0804, -0.5224, -5.5456, -0.5861, 0.0949, -0.588, -0.2137, 0.7332, -1.0]","[-0.0804, -0.1614, -5.7069, -0.4402, 0.1435, -0.609, -0.2101, 0.6728, 0.0]","[-0.0804, -0.4452, -6.1522, -0.3763, 0.9618, -0.3857, -0.2124, 0.9153, -1.0]","[-0.0804, -0.1032, -6.2554, -0.2366, 0.5637, -0.5631, -0.214, 1.1895, 0.0]","[-0.0804, -0.57, -6.8254, -0.3728, 1.2084, -0.6038, -0.2013, 0.1992, 0.0]","[-0.0804, -0.6017, -7.4271, -0.425, 0.809, -0.4278, -0.2209, -0.607, 0.0]","[-0.0804, -0.5424, -7.9695, -0.5714, 0.6815, -0.4603, -0.2209, -1.0369, 0.0]","[-0.0804, -0.403, -8.3725, -0.5157, 0.601, -0.0291, -0.2046, 1.0455, -1.0]","[-0.0804, -0.4816, -8.8541, -0.4757, 0.9669, -0.2729, -0.2033, 0.5843, 0.0]","[-0.0804, 0.1083, -8.7458, -0.2588, 0.6124, -0.631, -0.2059, -1.9582, 0.0]","[-0.0804, -0.2817, -9.0275, -0.2183, 0.1982, -0.4499, -0.2038, -1.4063, 0.0]","[-0.0804, -0.1661, -9.1936, -0.1132, -3.1842, 0.1075, -0.2007, -1.1156, 0.0]"
2020-05-22,"[-0.935, -0.0206, -0.0206, -0.0206, 0.0021, 0.0849, -0.1941, -0.7917, 0.0]","[-0.935, -0.2104, -0.231, -0.1155, 0.0496, -0.2348, -0.2008, 0.4525, 0.0]","[-0.935, -0.2692, -0.5002, -0.1667, 0.0467, -0.449, -0.2007, 0.4914, 0.0]","[-0.935, -0.6358, -1.136, -0.3718, 0.0317, -0.5463, -0.2037, 0.9011, 0.0]","[-0.935, -0.3371, -1.4731, -0.414, 0.0296, -0.3641, -0.2042, 0.4065, 0.0]","[-0.935, -0.4851, -1.9582, -0.486, -0.0963, -0.5037, -0.2008, 0.3441, 0.0]","[-0.935, -0.1862, -2.1445, -0.3362, 0.0546, -0.4384, -0.2017, -1.5361, 0.0]","[-0.935, 0.3646, -1.7799, -0.1023, 0.0217, -0.6482, -0.1986, -1.3946, 0.0]","[-0.935, -0.0035, -1.7834, 0.0583, 0.0444, -0.323, -0.2058, -0.9423, 0.0]","[-0.935, -0.3132, -2.0965, 0.016, 0.0509, -0.6712, -0.2062, -0.7408, 0.0]","[-0.935, 0.0997, -1.9968, -0.0723, 0.0362, -0.6772, -0.1913, -0.956, 0.0]","[-0.935, -0.5754, -2.5723, -0.263, 0.0919, -0.4208, -0.2006, 0.9921, 0.0]","[-0.935, -0.5499, -3.1221, -0.3419, 0.0891, -0.3819, -0.2044, 0.4931, 0.0]","[-0.935, -0.4783, -3.6004, -0.5345, 0.0659, -0.4774, -0.2014, -0.5214, 0.0]","[-0.935, 1.0167, -2.5837, -0.0038, -0.0208, -0.6008, -0.1955, -0.2788, 0.0]","[-0.935, -0.5496, -3.1333, -0.0037, 0.0695, -0.4225, -0.199, -2.1146, 0.0]","[-0.935, -0.5597, -3.693, -0.0309, 0.0896, -0.3155, -0.2014, -1.4609, 0.0]","[-0.935, -0.5618, -4.2549, -0.5571, 0.0893, -0.2121, -0.2079, -1.5009, 0.0]","[-0.935, -0.6479, -4.9028, -0.5898, 0.0906, -0.0525, -0.2018, -0.3938, 0.0]","[-0.935, -0.5487, -5.4515, -0.5861, 0.015, 0.5462, -0.2006, 0.0462, 0.0]","[-0.935, 0.1445, -5.307, -0.3507, 0.0416, -0.5935, -0.2033, -0.6851, 0.0]","[-0.935, -0.1149, -5.4219, -0.173, 0.0364, -0.2834, -0.2021, -1.1223, 0.0]","[-0.935, -0.4131, -5.835, -0.1278, 0.0435, 0.0005, -0.2013, 0.893, 0.0]","[-0.935, -0.2454, -6.0804, -0.2578, 0.0272, 2.6132, -0.2087, 1.1128, 0.0]"
2020-05-25,"[0.0228, -0.2087, -0.2087, -0.2087, -0.0056, 0.145, -0.1997, -1.7392, 0.0]","[0.0228, -0.4797, -0.6884, -0.3442, 0.0428, -0.0363, -0.2048, 0.306, 0.0]","[0.0228, -0.0077, -0.6962, -0.2321, 0.0322, -0.1189, -0.1977, 1.0275, 0.0]","[0.0228, -0.4363, -1.1325, -0.3079, 0.0465, 0.2135, -0.2147, -0.43, 0.0]","[0.0228, -0.3971, -1.5296, -0.2804, 0.0537, -0.2544, -0.19, 1.6845, 0.0]","[0.0228, -0.6167, -2.1464, -0.4834, 0.0595, 0.3701, -0.2113, -1.8338, 0.0]","[0.0228, -0.5583, -2.7047, -0.5241, 0.0461, -0.0732, -0.2065, -0.6146, 0.0]","[0.0228, -0.5189, -3.2236, -0.5646, 0.0178, -0.2497, -0.2009, 1.1221, 0.0]","[0.0228, -0.5126, -3.7361, -0.5299, 0.0284, -0.1811, -0.2016, -0.4962, 0.0]","[0.0228, -0.5956, -4.3318, -0.5424, 0.0577, -0.494, -0.2006, 0.3918, 0.0]","[0.0228, -0.5417, -4.8734, -0.5499, 0.0321, -0.5435, -0.2074, 0.0238, 0.0]","[0.0228, -0.6561, -5.5295, -0.5978, 0.0738, -0.5766, -0.2209, 1.2169, 0.0]","[0.0228, -0.0891, -5.6187, -0.429, 0.0517, -0.6095, -0.199, -0.8444, 0.0]","[0.0228, -0.5679, -6.1866, -0.4377, 0.0487, -0.5508, -0.2103, 0.1573, 0.0]","[0.0228, -0.6371, -6.8237, -0.4314, -0.021, -0.0752, -0.2008, -0.199, -1.0]","[0.0228, -0.6532, -7.477, -0.6194, 0.053, -0.4122, -0.2024, -0.1756, 0.0]","[0.0228, -0.4967, -7.9737, -0.5957, 0.0659, -0.4289, -0.2078, -0.7124, 0.0]","[0.0228, -0.5841, -8.5578, -0.578, 0.0697, -0.4658, -0.2024, -1.3554, 0.0]","[0.0228, -0.5852, -9.143, -0.5554, 0.0723, -0.5665, -0.2049, 0.4576, 0.0]","[0.0228, -0.5965, -9.7396, -0.5886, 0.0621, -0.5001, -0.2023, -0.2006, 0.0]","[0.0228, -0.5471, -10.2866, -0.5763, 0.0255, -0.3591, -0.2016, -0.9223, 0.0]","[0.0228, -0.4398, -10.7265, -0.5278, 0.0152, -0.514, -0.2027, 0.4243, 0.0]","[0.0228, -0.6172, -11.3437, -0.5347, 0.0509, 0.2754, -0.2029, -0.2704, 0.0]","[0.0228, -0.0624, -11.4061, -0.3732, 0.0213, -0.4127, -0.198, -0.8045, 0.0]"
2020-05-26,"[-1.0202, 0.4981, 0.4981, 0.4981, -0.0238, -0.2672, -0.1764, -0.8904, 0.0]","[-1.0202, -0.3652, 0.1328, 0.0664, 0.0483, -0.4042, -0.2063, -0.0583, 0.0]","[-1.0202, -0.2949, -0.162, -0.054, 0.0334, -0.6385, -0.2039, 0.4167, 0.0]","[-1.0202, -0.617, -0.779, -0.4257, 0.0861, -0.0507, -0.2007, -0.0154, 0.0]","[-1.0202, -0.3007, -1.0797, -0.4042, 0.0488, 0.3402, -0.1977, -0.7686, 0.0]","[-1.0202, -0.2184, -1.2981, -0.3787, 0.0582, 0.1002, -0.2017, 0.6793, 0.0]","[-1.0202, -0.1398, -1.4379, -0.2196, 0.0352, -0.4675, -0.2001, -1.7136, 0.0]","[-1.0202, -0.2543, -1.6922, -0.2042, 0.011, -0.6486, -0.1981, 1.3734, 0.0]","[-1.0202, -0.2357, -1.9279, -0.2099, 0.0299, -0.4262, -0.2003, -1.8495, 0.0]","[-1.0202, -0.3939, -2.3218, -0.2946, 0.0591, -0.5454, -0.2055, 0.5904, 0.0]","[-1.0202, -0.4382, -2.76, -0.3559, 0.0377, 4.0395, -0.2089, 0.6802, -1.0]","[-1.0202, -0.5339, -3.2939, -0.4553, 0.084, 0.4704, -0.2068, -1.1527, 0.0]","[-1.0202, -0.41, -3.704, -0.4607, 0.0583, -0.0187, -0.2012, -1.7252, 0.0]","[-1.0202, -0.5421, -4.2461, -0.4954, 0.0766, -0.0542, -0.202, -1.9779, 0.0]","[-1.0202, -0.5907, -4.8368, -0.5143, -0.0003, -0.4835, -0.1921, 0.5009, 0.0]","[-1.0202, -0.4288, -5.2656, -0.5205, 0.076, -0.2735, -0.202, 1.3085, 0.0]","[-1.0202, -0.5257, -5.7913, -0.5151, 0.078, -0.5996, -0.1978, -2.0086, 0.0]","[-1.0202, -0.5384, -6.3297, -0.4976, 0.0815, -0.3915, -0.201, -1.0008, 0.0]","[-1.0202, -0.6667, -6.9964, -0.5769, 0.0942, -0.3268, -0.2009, -1.2104, 0.0]","[-1.0202, -0.3955, -7.3919, -0.5335, 0.0722, -0.3214, -0.2098, -0.1184, 0.0]","[-1.0202, -0.4915, -7.8833, -0.5179, 0.0387, -0.4785, -0.2, -2.0104, 0.0]","[-1.0202, -0.388, -8.2713, -0.425, 0.0434, -0.3038, -0.2019, -1.4498, 0.0]","[-1.0202, 2.4389, -5.8324, 0.5198, -0.1114, -0.0925, -0.1813, -0.7939, 0.0]","[-1.0202, 0.4884, -5.344, 0.8464, -0.0152, 1.6682, -0.1948, -1.3118, 0.0]"
