date,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24
2020-05-13,"[-1.0, 119800.0, 119800.0, 39933.3333, 0.0257, 119800.0, 0.0096, 0.6469, 0.0]","[-1.0, 100000.0, 219800.0, 73266.6667, 0.0215, 100000.0, 0.0053, -0.4547, 0.0]","[-1.0, 88000.0, 307800.0, 102600.0, 0.0189, 88000.0, 0.0049, 0.0117, 0.0]","[-1.0, 59000.0, 366800.0, 82333.3333, 0.0127, 59000.0, 0.0053, -0.5795, 0.0]","[-1.0, 67000.0, 433800.0, 71333.3333, 0.0144, 67000.0, 0.0067, 0.6116, 0.0]","[-1.0, 47400.0, 481200.0, 57800.0, 0.0102, 47400.0, 0.0083, -0.6572, 0.0]","[-1.0, 60400.0, 541600.0, 58266.6667, 0.013, 60400.0, 0.01, -0.1691, -1.0]","[-1.0, 11400.0, 553000.0, 39733.3333, 0.0024, 11400.0, 0.0036, 0.1478, 0.0]","[-1.0, 61600.0, 614600.0, 44466.6667, 0.0132, 61600.0, 0.0099, -0.4136, 0.0]","[-1.0, 23400.0, 638000.0, 32133.3333, 0.005, 23400.0, 0.0048, -0.1487, 0.0]","[-1.0, 13900.0, 651900.0, 32966.6667, 0.003, 13900.0, 0.005, 0.0418, 0.0]","[-1.0, 18700.0, 670600.0, 18666.6667, 0.004, 18700.0, 0.005, -0.3506, 0.0]","[-1.0, 21900.0, 692500.0, 18166.6667, 0.0047, 21900.0, 0.0041, -0.1232, 0.0]","[-1.0, 33900.0, 726400.0, 24833.3333, 0.0073, 33900.0, 0.0089, -0.2915, 0.0]","[-1.0, 34400.0, 760800.0, 30066.6667, 0.0074, 34400.0, 0.0045, 0.4411, 0.0]","[-1.0, 102900.0, 863700.0, 57066.6667, 0.0221, 102900.0, 0.0172, 0.5706, 0.0]","[-1.0, 122500.0, 986200.0, 86600.0, 0.0263, 122500.0, 0.0067, -0.2706, 0.0]","[-1.0, 85400.0, 1071600.0, 103600.0, 0.0183, 85400.0, 0.0061, 0.4367, 0.0]","[-1.0, 90000.0, 1161600.0, 99300.0, 0.0193, 90000.0, 0.0124, -0.3993, 0.0]","[-1.0, 92500.0, 1254100.0, 89300.0, 0.0199, 92500.0, 0.0068, 0.6048, 0.0]","[-1.0, 52900.0, 1307000.0, 78466.6667, 0.0114, 52900.0, 0.005, -0.0248, 0.0]","[-1.0, 66400.0, 1373400.0, 70600.0, 0.0143, 66400.0, 0.0046, -0.1596, 0.0]","[-1.0, 41800.0, 1415200.0, 53700.0, 0.009, 41800.0, 0.0075, -0.2156, 0.0]","[-1.0, 136900.0, 1552100.0, 81700.0, 0.0294, 136900.0, 0.0087, 0.3546, 0.0]"
2020-05-14,"[8.4074, 133100.0, 133100.0, 44366.6667, 0.066, 119800.0, 0.015, -0.0856, 0.0]","[8.4074, 35000.0, 168100.0, 56033.3333, 0.0321, 100000.0, 0.0112, 0.3171, 0.0]","[8.4074, 56100.0, 224200.0, 74733.3333, 0.0359, 88000.0, 0.0076, -0.5041, 0.0]","[8.4074, 37300.0, 261500.0, 42800.0, 0.024, 59000.0, 0.0079, 0.3543, 0.0]","[8.4074, 56600.0, 318100.0, 50000.0, 0.0315, 67000.0, 0.0101, 0.5708, 0.0]","[8.4074, 30259.0, 348359.0, 41386.3333, 0.0193, 47400.0, 0.0048, 0.3207, -1.0]","[8.4074, 41641.0, 390000.0, 42833.3333, 0.0256, 60400.0, 0.0087, 0.3631, 0.0]","[8.4074, 16759.0, 406759.0, 29553.0, 0.0075, 11400.0, 0.0048, 0.4529, 0.0]","[8.4074, 17200.0, 423959.0, 25200.0, 0.0184, 61600.0, 0.0038, 0.8332, 0.0]","[8.4074, 29900.0, 453859.0, 21286.3333, 0.0141, 23400.0, 0.0202, 0.205, 0.0]","[8.4074, 23000.0, 476859.0, 23366.6667, 0.0099, 13900.0, 0.0042, 0.3412, 0.0]","[8.4074, 19700.0, 496559.0, 24200.0, 0.01, 18700.0, 0.005, -0.3954, 0.0]","[8.4074, 27100.0, 523659.0, 23266.6667, 0.0129, 21900.0, 0.007, 0.1259, 0.0]","[8.4074, 22000.0, 545659.0, 22933.3333, 0.0139, 33900.0, 0.0091, -0.3629, 0.0]","[8.4074, 52000.0, 597659.0, 33700.0, 0.0231, 34400.0, 0.0025, -0.162, 0.0]","[8.4074, 22100.0, 619759.0, 32033.3333, 0.0288, 102900.0, 0.0061, -0.1981, 0.0]","[8.4074, 13200.0, 632959.0, 29100.0, 0.0303, 122500.0, 0.005, -0.6986, 0.0]","[8.4074, 16500.0, 649459.0, 17266.6667, 0.0233, 85400.0, 0.0055, 0.1087, 0.0]","[8.4074, 48600.0, 698059.0, 26100.0, 0.034, 90000.0, 0.005, 0.4207, 0.0]","[8.4074, 20450.0, 718509.0, 28516.6667, 0.0261, 92500.0, 0.0054, -0.5048, 0.0]","[8.4074, 51700.0, 770209.0, 40250.0, 0.027, 52900.0, 0.0057, 0.0909, 0.0]","[8.4074, 66700.0, 836909.0, 46283.3333, 0.0345, 66400.0, 0.0048, 0.4977, 0.0]","[8.4074, 57200.0, 894109.0, 58533.3333, 0.0263, 41800.0, 0.0044, 0.4882, 0.0]","[8.4074, 206800.0, 1100909.0, 110233.3333, 0.092, 136900.0, 0.006, 0.4045, 0.0]"
2020-05-15,"[-1.9646, 128300.0, 128300.0, 42766.6667, 0.1084, 119800.0, 0.0159, -0.004, 0.0]","[-1.9646, 58600.0, 186900.0, 62300.0, 0.0514, 100000.0, 0.0081, -0.3532, 0.0]","[-1.9646, 49700.0, 236600.0, 78866.6667, 0.0523, 88000.0, 0.0057, 0.3105, 0.0]","[-1.9646, 41000.0, 277600.0, 49766.6667, 0.0375, 59000.0, 0.0089, -0.0668, 0.0]","[-1.9646, 19200.0, 296800.0, 36633.3333, 0.0379, 67000.0, 0.0118, 0.5078, 0.0]","[-1.9646, 99000.0, 395800.0, 53066.6667, 0.052, 47400.0, 0.0157, -0.4137, 0.0]","[-1.9646, 48200.0, 444000.0, 55466.6667, 0.0415, 60400.0, 0.005, -0.1622, 0.0]","[-1.9646, 18100.0, 462100.0, 55100.0, 0.0135, 11400.0, 0.0071, 0.403, 0.0]","[-1.9646, 21100.0, 483200.0, 29133.3333, 0.0254, 61600.0, 0.0056, 0.1632, 0.0]","[-1.9646, 48100.0, 531300.0, 29100.0, 0.0299, 23400.0, 0.0059, -0.7983, 0.0]","[-1.9646, 62800.0, 594100.0, 44000.0, 0.0307, 13900.0, 0.01, -0.3936, 0.0]","[-1.9646, 7900.0, 602000.0, 39600.0, 0.0126, 18700.0, 0.0044, -0.3423, 0.0]","[-1.9646, 95900.0, 697900.0, 55533.3333, 0.0445, 21900.0, 0.0142, 0.0325, 0.0]","[-1.9646, 19800.0, 717700.0, 41200.0, 0.0205, 33900.0, 0.0065, 0.4018, 0.0]","[-1.9646, 33000.0, 750700.0, 49566.6667, 0.034, 34400.0, 0.0054, -0.2899, 0.0]","[-1.9646, 17500.0, 768200.0, 23433.3333, 0.0346, 102900.0, 0.005, 0.5964, 0.0]","[-1.9646, 16400.0, 784600.0, 22300.0, 0.0357, 122500.0, 0.004, 0.1513, 0.0]","[-1.9646, 10500.0, 795100.0, 14800.0, 0.0268, 85400.0, 0.0048, -0.4097, 0.0]","[-1.9646, 13900.0, 809000.0, 13600.0, 0.0386, 90000.0, 0.005, 0.2826, 0.0]","[-1.9646, 37900.0, 846900.0, 20766.6667, 0.0386, 92500.0, 0.0048, -0.1325, 0.0]","[-1.9646, 20100.0, 867000.0, 23966.6667, 0.0336, 52900.0, 0.0086, 0.4549, 0.0]","[-1.9646, 40900.0, 907900.0, 32966.6667, 0.048, 66400.0, 0.004, 0.415, 0.0]","[-1.9646, 29700.0, 937600.0, 30233.3333, 0.0361, 41800.0, 0.0077, -0.1086, 0.0]","[-1.9646, 72700.0, 1010300.0, 47766.6667, 0.116, 136900.0, 0.0046, -0.3935, 0.0]"
2020-05-18,"[8.5556, 200000.0, 200000.0, 66666.6667, 0.1219, 119800.0, 0.0099, 0.0231, 0.0]","[8.5556, 102600.0, 302600.0, 100866.6667, 0.0501, 100000.0, 0.0074, 0.5474, 0.0]","[8.5556, 74700.0, 377300.0, 125766.6667, 0.0481, 88000.0, 0.0055, 0.7742, 0.0]","[8.5556, 105300.0, 482600.0, 94200.0, 0.0455, 59000.0, 0.0122, -0.1727, 0.0]","[8.5556, 44800.0, 527400.0, 74933.3333, 0.0323, 67000.0, 0.0084, 0.4569, 0.0]","[8.5556, 55300.0, 582700.0, 68466.6667, 0.0527, 47400.0, 0.0082, -0.2224, 0.0]","[8.5556, 62600.0, 645300.0, 54233.3333, 0.0408, 60400.0, 0.0045, -0.6059, 0.0]","[8.5556, 46700.0, 692000.0, 54866.6667, 0.0202, 11400.0, 0.0063, -0.4277, 0.0]","[8.5556, 16100.0, 708100.0, 41800.0, 0.0153, 61600.0, 0.0061, -0.2509, 0.0]","[8.5556, 162800.0, 870900.0, 75200.0, 0.0569, 23400.0, 0.0237, -0.1931, 0.0]","[8.5556, 152100.0, 1023000.0, 110333.3333, 0.0576, 13900.0, 0.0075, -0.9056, 0.0]","[8.5556, 60000.0, 1083000.0, 124966.6667, 0.0204, 18700.0, 0.0054, -0.3787, 0.0]","[8.5556, 49800.0, 1132800.0, 87300.0, 0.0496, 21900.0, 0.0084, 0.7749, 0.0]","[8.5556, 56900.0, 1189700.0, 55566.6667, 0.0244, 33900.0, 0.0061, 0.4942, 0.0]","[8.5556, 70400.0, 1260100.0, 59033.3333, 0.0405, 34400.0, 0.0062, 0.4171, 0.0]","[8.5556, 12700.0, 1272800.0, 46666.6667, 0.015, 102900.0, 0.0045, -0.0129, 0.0]","[8.5556, 58600.0, 1331400.0, 47233.3333, 0.0209, 122500.0, 0.0044, 0.1335, 0.0]","[8.5556, 55200.0, 1386600.0, 42166.6667, 0.0193, 85400.0, 0.0052, 0.5648, 0.0]","[8.5556, 36600.0, 1423200.0, 50133.3333, 0.0265, 90000.0, 0.0, -0.1209, 0.0]","[8.5556, 40100.0, 1463300.0, 43966.6667, 0.0266, 92500.0, 0.0059, 0.594, 0.0]","[8.5556, 47200.0, 1510500.0, 41300.0, 0.0316, 52900.0, 0.0056, 0.2351, 0.0]","[8.5556, 60100.0, 1570600.0, 49133.3333, 0.0455, 66400.0, 0.0067, 0.4559, 0.0]","[8.5556, 55900.0, 1626500.0, 54400.0, 0.0381, 41800.0, 0.0079, 0.295, 0.0]","[8.5556, 69800.0, 1696300.0, 61933.3333, 0.1003, 136900.0, 0.0106, 0.0788, 0.0]"
2020-05-19,"[-0.7093, 119600.0, 119600.0, 39866.6667, 0.098, 119800.0, 0.008, 0.2984, 0.0]","[-0.7093, 158800.0, 278400.0, 92800.0, 0.0612, 100000.0, 0.0137, -0.0085, 0.0]","[-0.7093, 219550.0, 497950.0, 165983.3333, 0.061, 88000.0, 0.0102, -0.5006, 0.0]","[-0.7093, 175300.0, 673250.0, 184550.0, 0.0581, 59000.0, 0.0106, 0.1309, 0.0]","[-0.7093, 53700.0, 726950.0, 149516.6667, 0.0225, 67000.0, 0.0046, -0.0453, 0.0]","[-0.7093, 102000.0, 828950.0, 110333.3333, 0.0574, 47400.0, 0.0065, -0.3694, 0.0]","[-0.7093, 225300.0, 1054250.0, 127000.0, 0.059, 60400.0, 0.0077, 0.6285, 0.0]","[-0.7093, 68100.0, 1122350.0, 131800.0, 0.0244, 11400.0, 0.0048, -0.5955, 0.0]","[-0.7093, 56700.0, 1179050.0, 116700.0, 0.0179, 61600.0, 0.0054, -0.0487, 0.0]","[-0.7093, 44600.0, 1223650.0, 56466.6667, 0.0539, 23400.0, 0.0047, 0.8398, 0.0]","[-0.7093, 35500.0, 1259150.0, 45600.0, 0.0555, 13900.0, 0.0043, -0.01, -1.0]","[-0.7093, 74000.0, 1333150.0, 51366.6667, 0.0245, 18700.0, 0.007, -0.119, 0.0]","[-0.7093, 50500.0, 1383650.0, 53333.3333, 0.0483, 21900.0, 0.0072, -0.7196, 0.0]","[-0.7093, 49400.0, 1433050.0, 57966.6667, 0.0245, 33900.0, 0.0072, 0.4188, 0.0]","[-0.7093, 48800.0, 1481850.0, 49566.6667, 0.0314, 34400.0, 0.0075, -0.2483, 0.0]","[-0.7093, 64000.0, 1545850.0, 54066.6667, 0.017, 102900.0, 0.0013, 0.1839, 0.0]","[-0.7093, 11700.0, 1557550.0, 41500.0, 0.0185, 122500.0, 0.005, -0.4157, 0.0]","[-0.7093, 28300.0, 1585850.0, 34666.6667, 0.0182, 85400.0, 0.0049, -0.5731, 0.0]","[-0.7093, 18400.0, 1604250.0, 19466.6667, 0.0143, 90000.0, 0.005, -0.428, 0.0]","[-0.7093, 50800.0, 1655050.0, 32500.0, 0.0273, 92500.0, 0.0048, -0.0366, 0.0]","[-0.7093, 135600.0, 1790650.0, 68266.6667, 0.0344, 52900.0, 0.0052, 0.0459, 0.0]","[-0.7093, 183551.0, 1974201.0, 123317.0, 0.0504, 66400.0, 0.0058, 0.2374, 0.0]","[-0.7093, 263700.0, 2237901.0, 194283.6667, 0.0568, 41800.0, 0.0089, -0.1955, 0.0]","[-0.7093, 204700.0, 2442601.0, 217317.0, 0.0656, 136900.0, 0.0073, -0.0235, 0.0]"
2020-05-20,"[0.28, 100700.0, 100700.0, 33566.6667, 0.0797, 119800.0, 0.0138, 0.1478, 0.0]","[0.28, 82500.0, 183200.0, 61066.6667, 0.0616, 100000.0, 0.005, 0.2066, 0.0]","[0.28, 91100.0, 274300.0, 91433.3333, 0.0664, 88000.0, 0.0057, -0.4876, 0.0]","[0.28, 90000.0, 364300.0, 87866.6667, 0.0661, 59000.0, 0.0075, 0.6749, 0.0]","[0.28, 58000.0, 422300.0, 79700.0, 0.03, 67000.0, 0.0074, 0.0922, 0.0]","[0.28, 102800.0, 525100.0, 83600.0, 0.0494, 47400.0, 0.0103, 0.2347, 0.0]","[0.28, 94300.0, 619400.0, 85033.3333, 0.0656, 60400.0, 0.0052, -0.3306, 0.0]","[0.28, 45300.0, 664700.0, 80800.0, 0.0293, 11400.0, 0.0031, 0.1607, 0.0]","[0.28, 23600.0, 688300.0, 54400.0, 0.0165, 61600.0, 0.0046, 0.5562, 0.0]","[0.28, 34100.0, 722400.0, 34333.3333, 0.0462, 23400.0, 0.0063, 0.5484, 0.0]","[0.28, 17300.0, 739700.0, 25000.0, 0.0389, 13900.0, 0.005, 0.352, 0.0]","[0.28, 45500.0, 785200.0, 32300.0, 0.0328, 18700.0, 0.008, 0.6101, 0.0]","[0.28, 79800.0, 865000.0, 47533.3333, 0.0358, 21900.0, 0.005, 0.4124, 0.0]","[0.28, 20100.0, 885100.0, 48466.6667, 0.0227, 33900.0, 0.0082, -0.0285, 0.0]","[0.28, 6400.0, 891500.0, 35433.3333, 0.022, 34400.0, 0.0048, 0.3898, 0.0]","[0.28, 35900.0, 927400.0, 20800.0, 0.0198, 102900.0, 0.007, 0.2748, 0.0]","[0.28, 30600.0, 958000.0, 24300.0, 0.0204, 122500.0, 0.0081, 0.1305, 0.0]","[0.28, 21600.0, 979600.0, 29366.6667, 0.0199, 85400.0, 0.0043, -0.1765, 0.0]","[0.28, 25200.0, 1004800.0, 25800.0, 0.0157, 90000.0, 0.0093, -0.2862, 0.0]","[0.28, 64000.0, 1068800.0, 36933.3333, 0.0301, 92500.0, 0.005, 0.0137, 0.0]","[0.28, 26700.0, 1095500.0, 38633.3333, 0.0342, 52900.0, 0.0096, -0.2034, 0.0]","[0.28, 20500.0, 1116000.0, 37066.6667, 0.0418, 66400.0, 0.0067, 0.52, 0.0]","[0.28, 197200.0, 1313200.0, 81466.6667, 0.0941, 41800.0, 0.0147, -0.3953, 0.0]","[0.28, 80900.0, 1394100.0, 99533.3333, 0.061, 136900.0, 0.0044, -0.2518, 0.0]"
2020-05-21,"[-0.4375, 53400.0, 53400.0, 17800.0, 0.057, 133100.0, 0.0086, 0.1978, 0.0]","[-0.4375, 45300.0, 98700.0, 32900.0, 0.0555, 35000.0, 0.0063, 0.4165, -1.0]","[-0.4375, 26700.0, 125400.0, 41800.0, 0.06, 56100.0, 0.0073, 0.3284, 0.0]","[-0.4375, 45900.0, 171300.0, 39300.0, 0.0597, 37300.0, 0.006, 0.4343, 0.0]","[-0.4375, 47859.0, 219159.0, 40153.0, 0.036, 56600.0, 0.0064, 0.1814, 0.0]","[-0.4375, 10200.0, 229359.0, 34653.0, 0.0417, 30259.0, 0.005, 0.0255, 0.0]","[-0.4375, 54100.0, 283459.0, 37386.3333, 0.0701, 41641.0, 0.005, -0.1312, 0.0]","[-0.4375, 48702.0, 332161.0, 37667.3333, 0.0352, 16759.0, 0.0074, -0.5269, 0.0]","[-0.4375, 33000.0, 365161.0, 45267.3333, 0.0236, 17200.0, 0.004, -0.5527, 0.0]","[-0.4375, 37600.0, 402761.0, 39767.3333, 0.0259, 29900.0, 0.005, -0.3401, 0.0]","[-0.4375, 25900.0, 428661.0, 32166.6667, 0.017, 23000.0, 0.005, -0.3902, 0.0]","[-0.4375, 32400.0, 461061.0, 31966.6667, 0.031, 19700.0, 0.0066, 0.1242, 0.0]","[-0.4375, 40000.0, 501061.0, 32766.6667, 0.0384, 27100.0, 0.0076, -0.3032, 0.0]","[-0.4375, 21300.0, 522361.0, 31233.3333, 0.0182, 22000.0, 0.005, 0.2348, 0.0]","[-0.4375, 51600.0, 573961.0, 37633.3333, 0.0242, 52000.0, 0.005, 0.5743, 0.0]","[-0.4375, 78900.0, 652861.0, 50600.0, 0.0418, 22100.0, 0.0068, -0.0581, 0.0]","[-0.4375, 26800.0, 679661.0, 52433.3333, 0.0172, 13200.0, 0.0045, 0.4013, 0.0]","[-0.4375, 23700.0, 703361.0, 43133.3333, 0.0164, 16500.0, 0.0049, 0.5977, 0.0]","[-0.4375, 44000.0, 747361.0, 31500.0, 0.0222, 48600.0, 0.0046, 0.3415, 0.0]","[-0.4375, 62500.0, 809861.0, 43400.0, 0.0416, 20450.0, 0.0052, 0.1925, 0.0]","[-0.4375, 39200.0, 849061.0, 48566.6667, 0.0371, 51700.0, 0.0081, -0.6354, 0.0]","[-0.4375, 43700.0, 892761.0, 48466.6667, 0.0435, 66700.0, 0.0058, -0.5407, 0.0]","[-0.4375, 92000.0, 984761.0, 58300.0, 0.1117, 57200.0, 0.0032, 0.3701, 0.0]","[-0.4375, 89700.0, 1074461.0, 75133.3333, 0.0751, 206800.0, 0.0059, 0.007, 0.0]"
2020-05-22,"[-0.2778, 60000.0, 60000.0, 20000.0, 0.0572, 128300.0, 0.01, -0.141, 0.0]","[-0.2778, 92300.0, 152300.0, 50766.6667, 0.0592, 58600.0, 0.0121, 0.1169, 0.0]","[-0.2778, 91100.0, 243400.0, 81133.3333, 0.0552, 49700.0, 0.0095, 0.4884, 0.0]","[-0.2778, 29900.0, 273300.0, 71100.0, 0.044, 41000.0, 0.0094, 0.5435, 0.0]","[-0.2778, 206000.0, 479300.0, 109000.0, 0.0855, 19200.0, 0.0476, 0.0189, 0.0]","[-0.2778, 38500.0, 517800.0, 91466.6667, 0.0384, 99000.0, 0.0117, 0.3024, 0.0]","[-0.2778, 22500.0, 540300.0, 89000.0, 0.0455, 48200.0, 0.0094, 0.4251, 0.0]","[-0.2778, 27900.0, 568200.0, 29633.3333, 0.0336, 18100.0, 0.0102, -0.1593, 0.0]","[-0.2778, 6700.0, 574900.0, 19033.3333, 0.0177, 21100.0, 0.0049, 0.5181, 0.0]","[-0.2778, 7900.0, 582800.0, 14166.6667, 0.022, 48100.0, 0.0063, 0.7552, 0.0]","[-0.2778, 29600.0, 612400.0, 14733.3333, 0.0203, 62800.0, 0.0103, -0.1147, 0.0]","[-0.2778, 8800.0, 621200.0, 15433.3333, 0.0234, 7900.0, 0.0034, -0.0554, 0.0]","[-0.2778, 85600.0, 706800.0, 41333.3333, 0.0551, 95900.0, 0.0052, 0.2909, 0.0]","[-0.2778, 25600.0, 732400.0, 40000.0, 0.0185, 19800.0, 0.005, 0.576, 0.0]","[-0.2778, 61200.0, 793600.0, 57466.6667, 0.0344, 33000.0, 0.0084, 0.6111, 0.0]","[-0.2778, 18100.0, 811700.0, 34966.6667, 0.038, 17500.0, 0.005, 0.7182, 0.0]","[-0.2778, 15000.0, 826700.0, 31433.3333, 0.0198, 16400.0, 0.0098, 0.291, 0.0]","[-0.2778, 32600.0, 859300.0, 21900.0, 0.0215, 10500.0, 0.0075, 0.1012, 0.0]","[-0.2778, 32500.0, 891800.0, 26700.0, 0.0286, 13900.0, 0.0093, 0.11, 0.0]","[-0.2778, 14000.0, 905800.0, 26366.6667, 0.0385, 37900.0, 0.0047, 0.3836, 0.0]","[-0.2778, 22300.0, 928100.0, 22933.3333, 0.0247, 20100.0, 0.0048, 0.4848, -1.0]","[-0.2778, 40400.0, 968500.0, 25566.6667, 0.0296, 40900.0, 0.0187, 0.441, 0.0]","[-0.2778, 84600.0, 1053100.0, 49100.0, 0.099, 29700.0, 0.0108, 0.0352, 0.0]","[-0.2778, 156900.0, 1210000.0, 93966.6667, 0.0904, 72700.0, 0.0115, -0.0198, 0.0]"
2020-05-25,"[7.9231, 130600.0, 130600.0, 43533.3333, 0.0771, 200000.0, 0.0208, -0.0288, 0.0]","[7.9231, 99100.0, 229700.0, 76566.6667, 0.0729, 102600.0, 0.0108, 0.0412, 0.0]","[7.9231, 56500.0, 286200.0, 95400.0, 0.0524, 74700.0, 0.0049, -0.1553, 0.0]","[7.9231, 66100.0, 352300.0, 73900.0, 0.0448, 105300.0, 0.0081, 0.7391, 0.0]","[7.9231, 19800.0, 372100.0, 47466.6667, 0.0783, 44800.0, 0.0036, 0.1724, 0.0]","[7.9231, 24400.0, 396500.0, 36766.6667, 0.022, 55300.0, 0.0027, 0.4814, 0.0]","[7.9231, 58100.0, 454600.0, 34100.0, 0.0426, 62600.0, 0.0077, 0.4662, 0.0]","[7.9231, 60400.0, 515000.0, 47633.3333, 0.0432, 46700.0, 0.0069, 0.4564, 0.0]","[7.9231, 31000.0, 546000.0, 49833.3333, 0.0225, 16100.0, 0.0076, 0.4354, 0.0]","[7.9231, 13600.0, 559600.0, 35000.0, 0.0184, 162800.0, 0.0064, 0.7135, 0.0]","[7.9231, 25900.0, 585500.0, 23500.0, 0.0249, 152100.0, 0.0039, 0.0498, 0.0]","[7.9231, 29500.0, 615000.0, 23000.0, 0.0224, 60000.0, 0.0074, -0.2014, 0.0]","[7.9231, 13580.0, 628580.0, 22993.3333, 0.0406, 49800.0, 0.0041, -0.436, 0.0]","[7.9231, 20800.0, 649380.0, 21293.3333, 0.0207, 56900.0, 0.0042, 0.1883, 0.0]","[7.9231, 44200.0, 693580.0, 26193.3333, 0.0478, 70400.0, 0.0065, -0.2361, 0.0]","[7.9231, 23600.0, 717180.0, 29533.3333, 0.0374, 12700.0, 0.0058, 0.1294, 0.0]","[7.9231, 35400.0, 752580.0, 34400.0, 0.0244, 58600.0, 0.0049, 0.2689, 0.0]","[7.9231, 6400.0, 758980.0, 21800.0, 0.0185, 55200.0, 0.0051, 0.4067, 0.0]","[7.9231, 24900.0, 783880.0, 22233.3333, 0.031, 36600.0, 0.0048, 0.4939, 0.0]","[7.9231, 22500.0, 806380.0, 17933.3333, 0.0308, 40100.0, 0.0047, 0.6499, 0.0]","[7.9231, 18700.0, 825080.0, 22033.3333, 0.0246, 47200.0, 0.0046, 0.3107, 0.0]","[7.9231, 25700.0, 850780.0, 22300.0, 0.0333, 60100.0, 0.0049, 0.7369, 0.0]","[7.9231, 51100.0, 901880.0, 31833.3333, 0.0691, 55900.0, 0.005, -0.1476, 0.0]","[7.9231, 87100.0, 988980.0, 54633.3333, 0.1004, 69800.0, 0.0227, 0.1934, 0.0]"
2020-05-26,"[-0.4655, 198151.0, 198151.0, 66050.3333, 0.0893, 119600.0, 0.0211, 0.55, 0.0]","[-0.4655, 28900.0, 227051.0, 75683.6667, 0.063, 158800.0, 0.0071, 0.7331, 0.0]","[-0.4655, 99000.0, 326051.0, 108683.6667, 0.0585, 219550.0, 0.0097, 0.0305, 0.0]","[-0.4655, 70000.0, 396051.0, 65966.6667, 0.0407, 175300.0, 0.002, 0.4016, 0.0]","[-0.4655, 47000.0, 443051.0, 72000.0, 0.0702, 53700.0, 0.0061, -0.1022, -1.0]","[-0.4655, 32400.0, 475451.0, 49800.0, 0.0235, 102000.0, 0.0068, -0.0297, 0.0]","[-0.4655, 8600.0, 484051.0, 29333.3333, 0.027, 225300.0, 0.005, 0.2112, 0.0]","[-0.4655, 40800.0, 524851.0, 27266.6667, 0.034, 68100.0, 0.0039, 0.352, 0.0]","[-0.4655, 10800.0, 535651.0, 20066.6667, 0.0139, 56700.0, 0.005, -0.5703, 0.0]","[-0.4655, 19100.0, 554751.0, 23566.6667, 0.0095, 44600.0, 0.0049, 0.3398, 0.0]","[-0.4655, 58800.0, 613551.0, 29566.6667, 0.0254, 35500.0, 0.0076, 0.5601, 0.0]","[-0.4655, 135300.0, 748851.0, 71066.6667, 0.032, 74000.0, 0.011, -0.3903, 0.0]","[-0.4655, 40500.0, 789351.0, 78200.0, 0.034, 50500.0, 0.0069, -0.7154, 0.0]","[-0.4655, 63900.0, 853251.0, 79900.0, 0.0233, 49400.0, 0.0073, -0.11, 0.0]","[-0.4655, 44500.0, 897751.0, 49633.3333, 0.0382, 48800.0, 0.0089, -0.2556, 0.0]","[-0.4655, 34200.0, 931951.0, 47533.3333, 0.0179, 64000.0, 0.0049, -0.2631, 0.0]","[-0.4655, 7100.0, 939051.0, 28600.0, 0.0171, 11700.0, 0.0049, -0.6066, 0.0]","[-0.4655, 36000.0, 975051.0, 25766.6667, 0.0164, 28300.0, 0.0071, 0.3143, 0.0]","[-0.4655, 67600.0, 1042651.0, 36900.0, 0.0271, 18400.0, 0.005, -0.5649, 0.0]","[-0.4655, 125100.0, 1167751.0, 76233.3333, 0.0296, 50800.0, 0.0071, -0.3361, 0.0]","[-0.4655, 65400.0, 1233151.0, 86033.3333, 0.0219, 135600.0, 0.0053, -0.1998, 0.0]","[-0.4655, 732000.0, 1965151.0, 307500.0, 0.1259, 183551.0, 0.0277, 0.2972, 0.0]","[-0.4655, 180800.0, 2145951.0, 326066.6667, 0.0667, 263700.0, 0.0072, -0.503, 0.0]","[-0.4655, 152700.0, 2298651.0, 355166.6667, 0.0947, 204700.0, 0.0079, -0.0005, 0.0]"
