date,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24
2020-05-13,"[0.0, 567200.0, 567200.0, 567200.0, 0.1353, 567200.0, 0.1406, 0.1148, 0.0]","[0.0, 501709.0, 1068909.0, 534454.5, 0.1197, 501709.0, 0.156, -0.1313, 1.0]","[0.0, 159791.0, 1228700.0, 409566.6667, 0.0381, 159791.0, 0.0744, -0.0286, 1.0]","[0.0, 287000.0, 1515700.0, 316166.6667, 0.0685, 287000.0, 0.0591, -0.2285, 0.0]","[0.0, 122502.0, 1638202.0, 189764.3333, 0.0292, 122502.0, 0.0183, -0.1744, 0.0]","[0.0, 79409.0, 1717611.0, 162970.3333, 0.0189, 79409.0, 0.0451, -0.5515, 0.0]","[0.0, 124400.0, 1842011.0, 108770.3333, 0.0297, 124400.0, 0.0346, -0.0409, 0.0]","[0.0, 145100.0, 1987111.0, 116303.0, 0.0346, 145100.0, 0.0711, -0.3318, 0.0]","[0.0, 104900.0, 2092011.0, 124800.0, 0.025, 104900.0, 0.0372, -0.0001, 0.0]","[0.0, 95700.0, 2187711.0, 115233.3333, 0.0228, 95700.0, 0.0284, 0.3474, 0.0]","[0.0, 85100.0, 2272811.0, 95233.3333, 0.0203, 85100.0, 0.0374, 0.0243, -1.0]","[0.0, 92200.0, 2365011.0, 91000.0, 0.022, 92200.0, 0.0171, -0.3445, 0.0]","[0.0, 130300.0, 2495311.0, 102533.3333, 0.0311, 130300.0, 0.0303, -0.0336, 0.0]","[0.0, 121000.0, 2616311.0, 114500.0, 0.0289, 121000.0, 0.0225, -0.1436, 0.0]","[0.0, 147500.0, 2763811.0, 132933.3333, 0.0352, 147500.0, 0.0307, 0.1444, 0.0]","[0.0, 232800.0, 2996611.0, 167100.0, 0.0555, 232800.0, 0.0632, -0.2437, 0.0]","[0.0, 169100.0, 3165711.0, 183133.3333, 0.0403, 169100.0, 0.0399, 0.0562, 0.0]","[0.0, 72874.0, 3238585.0, 158258.0, 0.0174, 72874.0, 0.0328, 0.3731, 0.0]","[0.0, 81600.0, 3320185.0, 107858.0, 0.0195, 81600.0, 0.0258, 0.0276, 0.0]","[0.0, 97200.0, 3417385.0, 83891.3333, 0.0232, 97200.0, 0.0283, -0.3205, 0.0]","[0.0, 203200.0, 3620585.0, 127333.3333, 0.0485, 203200.0, 0.034, 0.2858, 0.0]","[0.0, 167712.0, 3788297.0, 156037.3333, 0.04, 167712.0, 0.0259, 0.5531, 0.0]","[0.0, 181700.0, 3969997.0, 184204.0, 0.0434, 181700.0, 0.0368, 0.4714, 0.0]","[0.0, 220870.0, 4190867.0, 190094.0, 0.0527, 220870.0, 0.0537, -0.0254, 0.0]"
2020-05-14,"[-0.6585, 276700.0, 276700.0, 276700.0, 0.0995, 567200.0, 0.0961, -0.2331, 0.0]","[-0.6585, 217700.0, 494400.0, 247200.0, 0.0849, 501709.0, 0.0452, 0.0446, 0.0]","[-0.6585, 329540.0, 823940.0, 274646.6667, 0.057, 159791.0, 0.051, 0.5008, 0.0]","[-0.6585, 294450.0, 1118390.0, 280563.3333, 0.0681, 287000.0, 0.0306, -0.1133, -1.0]","[-0.6585, 532852.0, 1651242.0, 385614.0, 0.076, 122502.0, 0.0596, 0.1874, 0.0]","[-0.6585, 190085.0, 1841327.0, 339129.0, 0.0314, 79409.0, 0.0708, 0.2871, -1.0]","[-0.6585, 185926.0, 2027253.0, 302954.3333, 0.0362, 124400.0, 0.1107, 0.2479, 0.0]","[-0.6585, 129300.0, 2156553.0, 168437.0, 0.0322, 145100.0, 0.0378, 0.1198, 0.0]","[-0.6585, 148500.0, 2305053.0, 154575.3333, 0.0296, 104900.0, 0.0309, -0.1764, 0.0]","[-0.6585, 120300.0, 2425353.0, 132700.0, 0.0253, 95700.0, 0.0349, -0.0546, 0.0]","[-0.6585, 71700.0, 2497053.0, 113500.0, 0.0184, 85100.0, 0.0392, -0.1258, 0.0]","[-0.6585, 92200.0, 2589253.0, 94733.3333, 0.0216, 92200.0, 0.0154, 0.3157, 0.0]","[-0.6585, 115998.0, 2705251.0, 93299.3333, 0.0289, 130300.0, 0.0292, -0.5019, 0.0]","[-0.6585, 119300.0, 2824551.0, 109166.0, 0.0282, 121000.0, 0.0404, -0.2221, 0.0]","[-0.6585, 98200.0, 2922751.0, 111166.0, 0.0289, 147500.0, 0.0381, -0.1279, 0.0]","[-0.6585, 107201.0, 3029952.0, 108233.6667, 0.0401, 232800.0, 0.0285, -0.0294, 0.0]","[-0.6585, 132205.0, 3162157.0, 112535.3333, 0.0354, 169100.0, 0.0465, 0.0794, 0.0]","[-0.6585, 102140.0, 3264297.0, 113848.6667, 0.0205, 72874.0, 0.0349, 0.4097, 0.0]","[-0.6585, 91228.0, 3355525.0, 108524.3333, 0.0202, 81600.0, 0.0301, 0.3477, 0.0]","[-0.6585, 165199.0, 3520724.0, 119522.3333, 0.0306, 97200.0, 0.0341, 0.2842, 0.0]","[-0.6585, 195400.0, 3716124.0, 150609.0, 0.0467, 203200.0, 0.0315, 0.1158, 0.0]","[-0.6585, 230100.0, 3946224.0, 196899.6667, 0.0465, 167712.0, 0.0239, 0.4471, 0.0]","[-0.6585, 193988.0, 4140212.0, 206496.0, 0.044, 181700.0, 0.022, 0.0503, 0.0]","[-0.6585, 202700.0, 4342912.0, 208929.3333, 0.0497, 220870.0, 0.0398, 0.0637, 0.0]"
2020-05-15,"[0.5612, 300313.0, 300313.0, 300313.0, 0.092, 567200.0, 0.0652, -0.0755, 0.0]","[0.5612, 283300.0, 583613.0, 291806.5, 0.0808, 501709.0, 0.0894, -0.4313, 0.0]","[0.5612, 179200.0, 762813.0, 254271.0, 0.0533, 159791.0, 0.0581, -0.1746, -1.0]","[0.5612, 149400.0, 912213.0, 203966.6667, 0.0582, 287000.0, 0.0531, -0.5405, 0.0]","[0.5612, 114300.0, 1026513.0, 147633.3333, 0.0604, 122502.0, 0.0223, 0.3484, 0.0]","[0.5612, 199400.0, 1225913.0, 154366.6667, 0.0379, 79409.0, 0.0308, -0.1971, -1.0]","[0.5612, 317700.0, 1543613.0, 210466.6667, 0.0513, 124400.0, 0.0293, -0.6096, 0.0]","[0.5612, 74800.0, 1618413.0, 197300.0, 0.0279, 145100.0, 0.022, -0.2412, -1.0]","[0.5612, 163648.0, 1782061.0, 185382.6667, 0.0337, 104900.0, 0.0456, 0.0362, -1.0]","[0.5612, 184200.0, 1966261.0, 140882.6667, 0.0326, 95700.0, 0.0241, 0.2347, -1.0]","[0.5612, 59517.0, 2025778.0, 135788.3333, 0.0174, 85100.0, 0.0201, 0.4248, 0.0]","[0.5612, 48017.0, 2073795.0, 97244.6667, 0.0185, 92200.0, 0.0318, -0.0189, 0.0]","[0.5612, 136011.0, 2209806.0, 81181.6667, 0.0309, 130300.0, 0.0296, 0.1647, 0.0]","[0.5612, 71182.0, 2280988.0, 85070.0, 0.0249, 121000.0, 0.0226, -0.1131, 0.0]","[0.5612, 65160.0, 2346148.0, 90784.3333, 0.0248, 147500.0, 0.0169, 0.5714, 0.0]","[0.5612, 185900.0, 2532048.0, 107414.0, 0.0426, 232800.0, 0.0361, -0.4269, -1.0]","[0.5612, 204900.0, 2736948.0, 151986.6667, 0.0411, 169100.0, 0.0344, 0.1805, 0.0]","[0.5612, 148200.0, 2885148.0, 179666.6667, 0.0263, 72874.0, 0.0275, -0.3861, 0.0]","[0.5612, 131300.0, 3016448.0, 161466.6667, 0.0247, 81600.0, 0.0763, -0.5364, 0.0]","[0.5612, 212400.0, 3228848.0, 163966.6667, 0.0385, 97200.0, 0.084, -0.2368, 0.0]","[0.5612, 189747.0, 3418595.0, 177815.6667, 0.0474, 203200.0, 0.0304, 0.0574, 0.0]","[0.5612, 174152.0, 3592747.0, 192099.6667, 0.0459, 167712.0, 0.0567, -0.0814, 0.0]","[0.5612, 129408.0, 3722155.0, 164435.6667, 0.0404, 181700.0, 0.0329, -0.3245, 0.0]","[0.5612, 182872.0, 3905027.0, 162144.0, 0.0487, 220870.0, 0.0433, 0.3486, 0.0]"
2020-05-18,"[-1.2535, 291194.0, 291194.0, 291194.0, 0.0723, 567200.0, 0.0991, -0.2217, 0.0]","[-1.2535, 408000.0, 699194.0, 349597.0, 0.0766, 501709.0, 0.0713, -0.1286, -1.0]","[-1.2535, 209400.0, 908594.0, 302864.6667, 0.0589, 159791.0, 0.0351, -0.2381, -1.0]","[-1.2535, 98095.0, 1006689.0, 238498.3333, 0.0439, 287000.0, 0.0191, -0.2163, 0.0]","[-1.2535, 89000.0, 1095689.0, 132165.0, 0.0584, 122502.0, 0.0295, 0.0885, 0.0]","[-1.2535, 205158.0, 1300847.0, 130751.0, 0.0495, 79409.0, 0.0565, -0.2839, -1.0]","[-1.2535, 88920.0, 1389767.0, 127692.6667, 0.0492, 124400.0, 0.05, 0.6271, 0.0]","[-1.2535, 93400.0, 1483167.0, 129159.3333, 0.0245, 145100.0, 0.0134, 0.5504, 0.0]","[-1.2535, 149600.0, 1632767.0, 110640.0, 0.0384, 104900.0, 0.0229, -0.3171, 0.0]","[-1.2535, 98300.0, 1731067.0, 113766.6667, 0.0335, 95700.0, 0.0372, 0.0919, 0.0]","[-1.2535, 81000.0, 1812067.0, 109633.3333, 0.0177, 85100.0, 0.0178, -0.2328, 0.0]","[-1.2535, 35400.0, 1847467.0, 71566.6667, 0.0143, 92200.0, 0.0123, -0.1465, 0.0]","[-1.2535, 119200.0, 1966667.0, 78533.3333, 0.0309, 130300.0, 0.0134, -0.3258, 0.0]","[-1.2535, 152100.0, 2118767.0, 102233.3333, 0.0285, 121000.0, 0.0224, 0.4029, 0.0]","[-1.2535, 212000.0, 2330767.0, 161100.0, 0.0316, 147500.0, 0.0319, -0.0688, 0.0]","[-1.2535, 184712.0, 2515479.0, 182937.3333, 0.0402, 232800.0, 0.038, -0.3622, 0.0]","[-1.2535, 73601.0, 2589080.0, 156771.0, 0.0341, 169100.0, 0.0196, -0.4232, 0.0]","[-1.2535, 108909.0, 2697989.0, 122407.3333, 0.03, 72874.0, 0.024, 0.2644, 0.0]","[-1.2535, 92252.0, 2790241.0, 91587.3333, 0.0263, 81600.0, 0.0267, 0.3481, 0.0]","[-1.2535, 118800.0, 2909041.0, 106653.6667, 0.0412, 97200.0, 0.0281, 0.2743, 0.0]","[-1.2535, 75151.0, 2984192.0, 95401.0, 0.0378, 203200.0, 0.0126, -0.5825, 0.0]","[-1.2535, 108228.0, 3092420.0, 100726.3333, 0.042, 167712.0, 0.0353, -0.4534, 0.0]","[-1.2535, 352600.0, 3445020.0, 178659.6667, 0.0568, 181700.0, 0.0412, -0.1222, 0.0]","[-1.2535, 368279.0, 3813299.0, 276369.0, 0.0634, 220870.0, 0.0508, -0.8015, 0.0]"
2020-05-19,"[-0.0556, 254400.0, 254400.0, 254400.0, 0.0635, 567200.0, 0.0379, 0.2553, 0.0]","[-0.0556, 382400.0, 636800.0, 318400.0, 0.0785, 501709.0, 0.0908, -0.1079, -1.0]","[-0.0556, 194200.0, 831000.0, 277000.0, 0.0431, 159791.0, 0.0427, 0.0862, -1.0]","[-0.0556, 280200.0, 1111200.0, 285600.0, 0.035, 287000.0, 0.0377, 0.2158, 0.0]","[-0.0556, 521500.0, 1632700.0, 331966.6667, 0.043, 122502.0, 0.0874, 0.531, 0.0]","[-0.0556, 549900.0, 2182600.0, 450533.3333, 0.0618, 79409.0, 0.0256, 0.5105, 0.0]","[-0.0556, 727700.0, 2910300.0, 599700.0, 0.0704, 124400.0, 0.0392, -0.1228, -1.0]","[-0.0556, 320000.0, 3230300.0, 532533.3333, 0.0302, 145100.0, 0.0376, -0.2198, 0.0]","[-0.0556, 212200.0, 3442500.0, 419966.6667, 0.0374, 104900.0, 0.0262, 0.2009, 0.0]","[-0.0556, 166400.0, 3608900.0, 232866.6667, 0.0324, 95700.0, 0.0264, -0.3049, 0.0]","[-0.0556, 125500.0, 3734400.0, 168033.3333, 0.0183, 85100.0, 0.0236, 0.4739, 0.0]","[-0.0556, 105800.0, 3840200.0, 132566.6667, 0.0124, 92200.0, 0.0303, 0.6712, -1.0]","[-0.0556, 273900.0, 4114100.0, 168400.0, 0.0354, 130300.0, 0.0435, 0.629, 0.0]","[-0.0556, 125823.0, 4239923.0, 168507.6667, 0.0255, 121000.0, 0.0369, 0.5038, 0.0]","[-0.0556, 189700.0, 4429623.0, 196474.3333, 0.0334, 147500.0, 0.0359, 0.0057, 0.0]","[-0.0556, 278100.0, 4707723.0, 197874.3333, 0.0456, 232800.0, 0.0919, -0.0725, 1.0]","[-0.0556, 169300.0, 4877023.0, 212366.6667, 0.0322, 169100.0, 0.0541, 0.0267, 0.0]","[-0.0556, 155900.0, 5032923.0, 201100.0, 0.0298, 72874.0, 0.0423, 0.5638, 0.0]","[-0.0556, 245800.0, 5278723.0, 190333.3333, 0.0313, 81600.0, 0.0477, 0.1264, 0.0]","[-0.0556, 187100.0, 5465823.0, 196266.6667, 0.0377, 97200.0, 0.0316, -0.3752, 0.0]","[-0.0556, 174100.0, 5639923.0, 202333.3333, 0.0313, 203200.0, 0.028, 0.5895, 0.0]","[-0.0556, 259100.0, 5899023.0, 206766.6667, 0.037, 167712.0, 0.0311, -0.1083, -1.0]","[-0.0556, 220200.0, 6119223.0, 217800.0, 0.0526, 181700.0, 0.0218, -0.0186, -1.0]","[-0.0556, 707672.0, 6826895.0, 395657.3333, 0.0824, 220870.0, 0.0404, -0.0846, -1.0]"
2020-05-20,"[0.1699, 480700.0, 480700.0, 480700.0, 0.0607, 567200.0, 0.1362, 0.1718, -1.0]","[0.1699, 421300.0, 902000.0, 451000.0, 0.0744, 501709.0, 0.0251, 0.5742, -1.0]","[0.1699, 300400.0, 1202400.0, 400800.0, 0.0421, 159791.0, 0.0316, -0.0449, -1.0]","[0.1699, 363819.0, 1566219.0, 361839.6667, 0.0395, 287000.0, 0.0474, 0.4454, -1.0]","[0.1699, 460542.0, 2026761.0, 374920.3333, 0.0551, 122502.0, 0.0504, -0.0351, -1.0]","[0.1699, 365046.0, 2391807.0, 396469.0, 0.0621, 79409.0, 0.0461, -0.264, 0.0]","[0.1699, 98500.0, 2490307.0, 308029.3333, 0.048, 124400.0, 0.0452, 0.2932, 0.0]","[0.1699, 86500.0, 2576807.0, 183348.6667, 0.0279, 145100.0, 0.0236, -0.2008, 0.0]","[0.1699, 178300.0, 2755107.0, 121100.0, 0.0319, 104900.0, 0.0309, 0.2498, 0.0]","[0.1699, 228500.0, 2983607.0, 164433.3333, 0.0276, 95700.0, 0.0299, 0.1084, 1.0]","[0.1699, 108708.0, 3092315.0, 171836.0, 0.0184, 85100.0, 0.0233, 0.2401, 0.0]","[0.1699, 85600.0, 3177915.0, 140936.0, 0.0123, 92200.0, 0.0162, 0.4863, 0.0]","[0.1699, 173346.0, 3351261.0, 122551.3333, 0.032, 130300.0, 0.0387, 0.0223, 0.0]","[0.1699, 191000.0, 3542261.0, 149982.0, 0.0285, 121000.0, 0.025, 0.4975, 0.0]","[0.1699, 98900.0, 3641161.0, 154415.3333, 0.0325, 147500.0, 0.0387, 0.3801, 0.0]","[0.1699, 306596.5, 3947757.5, 198832.1667, 0.0443, 232800.0, 0.0414, 0.5662, -1.0]","[0.1699, 220300.0, 4168057.5, 208598.8333, 0.0252, 169100.0, 0.0342, 0.5979, 0.0]","[0.1699, 244700.0, 4412757.5, 257198.8333, 0.0288, 72874.0, 0.0343, -0.0774, 0.0]","[0.1699, 553682.2, 4966439.7, 339560.7333, 0.0464, 81600.0, 0.026, 0.1742, 0.0]","[0.1699, 324832.5, 5291272.2, 374404.9, 0.035, 97200.0, 0.0398, -0.0193, 0.0]","[0.1699, 882937.3, 6174209.5, 587150.6667, 0.057, 203200.0, 0.0288, 0.431, 0.0]","[0.1699, 277958.6, 6452168.1, 495242.8, 0.0353, 167712.0, 0.031, 0.2715, 0.0]","[0.1699, 153480.0, 6605648.1, 438125.3, 0.0489, 181700.0, 0.0256, 0.2769, 0.0]","[0.1699, 410912.8, 7016560.9, 280783.8, 0.0863, 220870.0, 0.026, 0.2384, 0.0]"
2020-05-21,"[0.3799, 839426.3, 839426.3, 839426.3, 0.0997, 276700.0, 0.1562, -0.4768, 1.0]","[0.3799, 512600.0, 1352026.3, 676013.15, 0.0781, 217700.0, 0.0692, -0.4575, -1.0]","[0.3799, 278000.0, 1630026.3, 543342.1, 0.0451, 329540.0, 0.0327, -0.4224, 0.0]","[0.3799, 155800.0, 1785826.3, 315466.6667, 0.0429, 294450.0, 0.0426, -0.1677, -1.0]","[0.3799, 100538.0, 1886364.3, 178112.6667, 0.0551, 532852.0, 0.0238, 0.1576, -1.0]","[0.3799, 97562.0, 1983926.3, 117966.6667, 0.0517, 190085.0, 0.0138, -0.3353, -1.0]","[0.3799, 206100.0, 2190026.3, 134733.3333, 0.056, 185926.0, 0.0277, -0.3015, 0.0]","[0.3799, 113700.0, 2303726.3, 139120.6667, 0.0285, 129300.0, 0.0375, -0.2038, 0.0]","[0.3799, 51895.0, 2355621.3, 123898.3333, 0.0228, 148500.0, 0.0106, -0.0116, 0.0]","[0.3799, 135600.0, 2491221.3, 100398.3333, 0.0294, 120300.0, 0.0311, 0.17, -1.0]","[0.3799, 110500.0, 2601721.3, 99331.6667, 0.0198, 71700.0, 0.029, 0.3489, -1.0]","[0.3799, 38102.0, 2639823.3, 94734.0, 0.0122, 92200.0, 0.0187, 0.4373, 0.0]","[0.3799, 84698.0, 2724521.3, 77766.6667, 0.0281, 115998.0, 0.0305, 0.1216, 0.0]","[0.3799, 82472.0, 2806993.3, 68424.0, 0.0216, 119300.0, 0.0134, 0.6885, 0.0]","[0.3799, 145028.0, 2952021.3, 104066.0, 0.0251, 98200.0, 0.0217, 0.4551, 0.0]","[0.3799, 187176.3, 3139197.6, 138225.4333, 0.0425, 107201.0, 0.0297, 0.4609, -1.0]","[0.3799, 92500.0, 3231697.6, 141568.1, 0.0258, 132205.0, 0.0244, 0.0618, 0.0]","[0.3799, 93500.0, 3325197.6, 124392.1, 0.0264, 102140.0, 0.0152, 0.7695, 0.0]","[0.3799, 159700.0, 3484897.6, 115233.3333, 0.0506, 91228.0, 0.0338, 0.3617, -1.0]","[0.3799, 177100.0, 3661997.6, 143433.3333, 0.0382, 165199.0, 0.0261, -0.1674, -1.0]","[0.3799, 126800.0, 3788797.6, 154533.3333, 0.0602, 195400.0, 0.0185, -0.3289, 0.0]","[0.3799, 142200.0, 3930997.6, 148700.0, 0.0368, 230100.0, 0.0221, 0.2889, 0.0]","[0.3799, 258500.0, 4189497.6, 175833.3333, 0.0379, 193988.0, 0.0314, -0.1172, -1.0]","[0.3799, 150700.0, 4340197.6, 183800.0, 0.0656, 202700.0, 0.0349, -0.1931, 0.0]"
2020-05-22,"[-1.3644, 547291.0, 547291.0, 547291.0, 0.1238, 300313.0, 0.074, -0.0199, 0.0]","[-1.3644, 174100.0, 721391.0, 360695.5, 0.071, 283300.0, 0.0673, 0.0599, -1.0]","[-1.3644, 189300.0, 910691.0, 303563.6667, 0.0482, 179200.0, 0.038, 0.2452, 0.0]","[-1.3644, 114800.0, 1025491.0, 159400.0, 0.0369, 149400.0, 0.0492, 0.305, 1.0]","[-1.3644, 136600.0, 1162091.0, 146900.0, 0.0387, 114300.0, 0.0408, 0.0766, 0.0]","[-1.3644, 147200.0, 1309291.0, 132866.6667, 0.0347, 199400.0, 0.0407, -0.0585, -1.0]","[-1.3644, 148700.0, 1457991.0, 144166.6667, 0.0304, 317700.0, 0.0293, -0.0481, 0.0]","[-1.3644, 88700.0, 1546691.0, 128200.0, 0.0188, 74800.0, 0.0248, 0.189, 0.0]","[-1.3644, 60302.0, 1606993.0, 99234.0, 0.0165, 163648.0, 0.0087, 0.4504, 0.0]","[-1.3644, 54000.0, 1660993.0, 67667.3333, 0.0249, 184200.0, 0.0197, 0.6434, 0.0]","[-1.3644, 76100.0, 1737093.0, 63467.3333, 0.0187, 59517.0, 0.0168, 0.7583, -1.0]","[-1.3644, 76600.0, 1813693.0, 68900.0, 0.0121, 48017.0, 0.0229, 0.8505, 0.0]","[-1.3644, 209700.0, 2023393.0, 120800.0, 0.0287, 136011.0, 0.0538, 0.0425, 0.0]","[-1.3644, 145600.0, 2168993.0, 143966.6667, 0.0251, 71182.0, 0.0269, 0.3576, -1.0]","[-1.3644, 206900.0, 2375893.0, 187400.0, 0.0296, 65160.0, 0.0192, -0.51, 0.0]","[-1.3644, 101400.0, 2477293.0, 151300.0, 0.0357, 185900.0, 0.0167, 0.6006, -1.0]","[-1.3644, 72800.0, 2550093.0, 127033.3333, 0.0224, 204900.0, 0.0211, -0.4064, 0.0]","[-1.3644, 147200.0, 2697293.0, 107133.3333, 0.0286, 148200.0, 0.0547, 0.0015, 0.0]","[-1.3644, 182720.0, 2880013.0, 134240.0, 0.0508, 131300.0, 0.046, 0.4531, 1.0]","[-1.3644, 146600.0, 3026613.0, 158840.0, 0.0388, 212400.0, 0.0353, -0.3817, 0.0]","[-1.3644, 227800.0, 3254413.0, 185706.6667, 0.0669, 189747.0, 0.0431, 0.7053, -1.0]","[-1.3644, 256800.0, 3511213.0, 210400.0, 0.0413, 174152.0, 0.0363, 0.0774, -1.0]","[-1.3644, 613797.0, 4125010.0, 366132.3333, 0.0681, 129408.0, 0.0406, 0.3696, 0.0]","[-1.3644, 872674.5, 4997684.5, 581090.5, 0.0893, 182872.0, 0.0655, 0.1014, -1.0]"
2020-05-25,"[-0.4522, 904007.0, 904007.0, 904007.0, 0.1365, 291194.0, 0.1896, 0.5232, -1.0]","[-0.4522, 693347.0, 1597354.0, 798677.0, 0.0782, 408000.0, 0.2047, 0.1136, -1.0]","[-0.4522, 477875.0, 2075229.0, 691743.0, 0.0528, 209400.0, 0.1273, 0.3966, -1.0]","[-0.4522, 296400.0, 2371629.0, 489207.3333, 0.0313, 98095.0, 0.0477, 0.0211, -1.0]","[-0.4522, 434400.0, 2806029.0, 402891.6667, 0.0339, 89000.0, 0.1028, 0.3129, 0.0]","[-0.4522, 329100.0, 3135129.0, 353300.0, 0.0302, 205158.0, 0.0711, 0.105, -1.0]","[-0.4522, 197500.0, 3332629.0, 320333.3333, 0.0335, 88920.0, 0.0311, -0.0856, 0.0]","[-0.4522, 268500.0, 3601129.0, 265033.3333, 0.0252, 93400.0, 0.0713, 0.7506, 0.0]","[-0.4522, 359900.0, 3961029.0, 275300.0, 0.0221, 149600.0, 0.0287, 0.1223, 0.0]","[-0.4522, 255000.0, 4216029.0, 294466.6667, 0.024, 98300.0, 0.0388, 0.7697, 1.0]","[-0.4522, 263600.0, 4479629.0, 292833.3333, 0.0239, 81000.0, 0.021, 0.3113, 0.0]","[-0.4522, 251700.0, 4731329.0, 256766.6667, 0.0179, 35400.0, 0.0303, 0.3593, 0.0]","[-0.4522, 282500.0, 5013829.0, 265933.3333, 0.0316, 119200.0, 0.0294, 0.1567, 0.0]","[-0.4522, 308800.0, 5322629.0, 281000.0, 0.0282, 152100.0, 0.0289, -0.0119, 0.0]","[-0.4522, 268300.0, 5590929.0, 286533.3333, 0.0355, 212000.0, 0.0552, 0.1032, 0.0]","[-0.4522, 358600.0, 5949529.0, 311900.0, 0.0352, 184712.0, 0.0562, 0.2332, 0.0]","[-0.4522, 423000.0, 6372529.0, 349966.6667, 0.0286, 73601.0, 0.0458, 0.6406, 1.0]","[-0.4522, 424600.0, 6797129.0, 402066.6667, 0.0337, 108909.0, 0.0743, 0.5078, 0.0]","[-0.4522, 301700.0, 7098829.0, 383100.0, 0.0363, 92252.0, 0.0565, 0.4388, -1.0]","[-0.4522, 321200.0, 7420029.0, 349166.6667, 0.036, 118800.0, 0.0212, 0.5457, -1.0]","[-0.4522, 243700.0, 7663729.0, 288866.6667, 0.0345, 75151.0, 0.0468, 0.3145, -1.0]","[-0.4522, 242228.0, 7905957.0, 269042.6667, 0.0376, 108228.0, 0.0456, 0.4293, 1.0]","[-0.4522, 300400.0, 8206357.0, 262109.3333, 0.0726, 352600.0, 0.0895, -0.506, 0.0]","[-0.4522, 277601.0, 8483958.0, 273409.6667, 0.0807, 368279.0, 0.0744, 0.4427, 1.0]"
2020-05-26,"[3.3256, 481701.0, 481701.0, 481701.0, 0.0988, 254400.0, 0.0868, 0.0032, 0.0]","[3.3256, 290701.0, 772402.0, 386201.0, 0.055, 382400.0, 0.0742, 0.0612, -1.0]","[3.3256, 155400.0, 927802.0, 309267.3333, 0.04, 194200.0, 0.0426, 0.8377, 0.0]","[3.3256, 256600.0, 1184402.0, 234233.6667, 0.0336, 280200.0, 0.0497, 0.3325, 1.0]","[3.3256, 151800.0, 1336202.0, 187933.3333, 0.0346, 521500.0, 0.0391, 0.5022, 0.0]","[3.3256, 144081.0, 1480283.0, 184160.3333, 0.0308, 549900.0, 0.0448, 0.4449, 0.0]","[3.3256, 149902.0, 1630185.0, 148594.3333, 0.026, 727700.0, 0.0503, 0.1225, 0.0]","[3.3256, 220000.0, 1850185.0, 171327.6667, 0.0287, 320000.0, 0.0543, 0.2497, -1.0]","[3.3256, 104281.0, 1954466.0, 158061.0, 0.024, 212200.0, 0.0201, 0.2684, 0.0]","[3.3256, 137562.0, 2092028.0, 153947.6667, 0.0213, 166400.0, 0.026, 0.1962, -1.0]","[3.3256, 243473.0, 2335501.0, 161772.0, 0.029, 125500.0, 0.0451, 0.6328, -1.0]","[3.3256, 170721.0, 2506222.0, 183918.6667, 0.0245, 105800.0, 0.0352, 0.5671, 0.0]","[3.3256, 106800.0, 2613022.0, 173664.6667, 0.031, 273900.0, 0.0394, 0.2546, 0.0]","[3.3256, 160023.0, 2773045.0, 145848.0, 0.0307, 125823.0, 0.0363, -0.4406, 0.0]","[3.3256, 98200.0, 2871245.0, 121674.3333, 0.0298, 189700.0, 0.0164, 0.3346, 0.0]","[3.3256, 226100.0, 3097345.0, 161441.0, 0.0334, 278100.0, 0.0372, 0.3266, 0.0]","[3.3256, 149200.0, 3246545.0, 157833.3333, 0.0298, 169300.0, 0.029, 0.354, -1.0]","[3.3256, 163401.0, 3409946.0, 179567.0, 0.0356, 155900.0, 0.0286, 0.0072, 0.0]","[3.3256, 173500.0, 3583446.0, 162033.6667, 0.0337, 245800.0, 0.0288, 0.6975, -1.0]","[3.3256, 303827.752, 3887273.752, 213576.2507, 0.0393, 187100.0, 0.063, 0.5131, 0.0]","[3.3256, 201960.0, 4089233.752, 226429.2507, 0.036, 174100.0, 0.0279, 0.4541, 1.0]","[3.3256, 421397.504, 4510631.256, 309061.752, 0.0501, 259100.0, 0.0393, 0.1075, -1.0]","[3.3256, 740753.948, 5251385.204, 454703.8173, 0.094, 220200.0, 0.0763, 0.0571, 0.0]","[3.3256, 738199.0, 5989584.204, 633450.1507, 0.1102, 707672.0, 0.0526, 0.0398, 0.0]"
