000753-pred,000753-true
-0.3512097,0.2036
-0.3134936,2.2515
-0.29424638,-0.4065
-0.317092,-0.3125
-0.30643722,-0.5072
-0.31664476,-0.1736
-0.3447232,-0.3263
-0.39323708,-0.6092
-0.55006623,-0.6531
-0.41806087,-0.5522
-0.28064424,-0.3071
-0.3225381,-0.5818
-0.32639274,-0.6256
-0.34294522,-0.5994
-0.36669075,-0.5785
-0.34466666,0.4854
-0.32216057,-0.5238
-0.32183197,-0.5555
-0.30332327,-0.1736
-0.30538097,-0.1263
-0.3651407,-0.65
-0.3443298,-0.41
-0.30270955,-0.5391
-0.31282786,-0.6235
-0.36411938,-0.3643
-0.33470076,-0.6381
-0.35197014,-0.5991
-0.798555,-0.6367
-0.6874196,-0.5224
-0.5530527,-0.1614
-0.3416965,-0.4452
-0.38465142,-0.1032
-0.3291657,-0.57
-0.3749357,-0.6017
-0.38263112,-0.5424
-0.38622117,-0.403
-0.35056344,-0.4816
-0.34883696,0.1083
-0.33636793,-0.2817
-0.31842053,-0.1661
-0.34033966,-0.3371
-0.32219523,-0.4851
-0.29857004,-0.1862
-0.32613844,0.3646
-0.3176996,-0.0035
-0.33199865,-0.3132
-0.36439753,0.0997
-0.442042,-0.5754
-0.5358459,-0.5499
-0.32880735,-0.4783
-0.32236692,1.0167
-0.31519836,-0.5496
-0.3623973,-0.5597
-0.34167236,-0.5618
-0.39733297,-0.6479
-0.34997505,-0.5487
-0.3358366,0.1445
-0.33388287,-0.1149
-0.33090383,-0.4131
-0.3771708,-0.2454
-0.28966898,-0.3971
-0.3232094,-0.6167
-0.29920515,-0.5583
-0.3226395,-0.5189
-0.33374557,-0.5126
-0.32397306,-0.5956
-0.33494946,-0.5417
-0.43471324,-0.6561
-0.34139824,-0.0891
-0.34836245,-0.5679
-0.31556734,-0.6371
-0.3218977,-0.6532
-0.32656765,-0.4967
-0.33951437,-0.5841
-0.36565134,-0.5852
-0.34907457,-0.5965
-0.35274053,-0.5471
-0.3397948,-0.4398
-0.34636214,-0.6172
-0.3989759,-0.0624
-0.32970867,-0.3007
-0.31613606,-0.2184
-0.30590257,-0.1398
-0.3188985,-0.2543
-0.29493183,-0.2357
-0.33519906,-0.3939
-0.40632445,-0.4382
-0.3260103,-0.5339
-0.30803344,-0.41
-0.34073594,-0.5421
-0.34444463,-0.5907
-0.31325507,-0.4288
-0.3435639,-0.5257
-0.42410865,-0.5384
-0.340545,-0.6667
-0.41376978,-0.3955
-0.429229,-0.4915
-0.37492812,-0.388
-0.40052682,2.4389
-0.48727715,0.4884
-0.28635857,0.0666
-0.31608245,-0.1236
-0.3163197,-0.2733
-0.3290294,-0.499
-0.31014138,-0.5799
-0.31371263,-0.376
-0.46629146,-0.4879
-0.3112271,-0.533
-0.38470697,-0.5365
-0.36145458,-0.6193
-0.32187328,-0.5759
-0.32183903,-0.361
-0.32079673,-0.5219
-0.32839382,-0.4471
-0.36138386,-0.4947
-0.3527793,-0.5834
-0.36689302,-0.3183
-0.40182498,-0.4241
-0.45185706,-0.3204
-0.5698006,-0.2601
-0.2867725,-0.3296
-0.3348563,-0.2719
-0.31585163,-0.4973
-0.31970775,-0.5485
-0.30541387,-0.5386
-0.3220545,-0.2827
-0.39570236,-0.659
-0.38990408,-0.2435
-0.3340272,-0.509
-0.30725485,-0.4025
-0.32598406,-0.4922
-0.3108927,-0.5524
-0.3017522,-0.5618
-0.32719195,-0.1853
-0.32827666,-0.5198
-0.34882438,-0.3387
-0.3466927,-0.5456
-0.37436888,-0.3472
-0.4147581,-0.6144
-0.56237733,-0.2902
-0.2947811,-0.4122
-0.2982396,-0.3019
-0.31176746,-0.6331
-0.30274522,-0.5668
-0.336204,-0.532
-0.3432937,-0.281
-0.32020962,-0.0114
-0.32437587,-0.442
-0.37270868,-0.4593
-0.3095097,-0.6578
-0.2982846,-0.5284
-0.34516,-0.0296
-0.3336427,0.0479
-0.32999817,0.6213
-0.32442206,-0.5323
-0.3195302,-0.5241
-0.2882537,-0.157
-0.31962064,-0.3033
-0.36067754,-0.1196
-0.44999132,-0.1161
-0.30097827,0.0117
-0.2877995,-0.4954
-0.3190489,-0.4246
-0.34138116,0.0576
-0.37034386,-0.4626
-0.3347901,-0.2336
-0.33646396,-0.3451
-0.33046535,-0.3659
-0.30267242,0.3297
-0.32582092,-0.4769
-0.3269437,-0.3706
-0.3097905,-0.2355
-0.30883095,-0.3636
-0.3192749,-0.1689
-0.31048733,0.359
-0.30793807,-0.2909
-0.30672908,-0.3174
-0.3140009,-0.0143
-0.33625463,3.5668
-0.41089436,1.0557
-0.32011792,0.2628
-0.32449254,0.5175
-0.31045282,0.1563
-0.30817336,-0.3134
-0.30633044,-0.0558
-0.29951882,-0.1712
-0.3441709,0.1387
-0.30961773,0.2142
-0.31998765,0.1997
-0.322383,-0.4476
-0.32332852,-0.4091
-0.32326353,-0.5564
-0.33973125,-0.5307
-0.3284053,-0.494
-0.32913482,-0.2716
-0.2927823,-0.3812
-0.31491506,-0.4645
-0.2999185,0.8747
-0.36513266,0.115
-0.33572894,-0.2024
-0.4010413,0.0223
-0.36960226,-0.399
-0.3001414,0.339
-0.29129118,-0.1022
-0.31779864,-0.4931
-0.3076963,-0.4563
-0.31458205,-0.5759
-0.34557122,-0.3399
-0.33630684,-0.2876
-0.3141836,0.7042
-0.30195683,-0.2243
-0.32717514,-0.2404
-0.3461437,-0.3256
-0.33172095,-0.1454
-0.32918465,5.6659
-0.3373088,0.5227
-0.32946968,-0.0629
-0.3635923,0.0974
-0.30261153,-0.3835
-0.34702903,0.8068
-0.364746,-0.2651
-0.34667134,-0.0314
-0.39940512,-0.3568
-0.3644088,-0.3826
-0.3304689,-0.342
-0.33618355,-0.5083
-0.36837333,-0.3028
-0.35020414,-0.385
-0.36059177,-0.1642
-0.30611473,-0.186
-0.31788498,-0.3514
-0.34448373,-0.5853
-0.35945067,0.3127
-0.35445416,-0.3514
-0.4218912,-0.3279
-0.35266462,-0.1611
-0.3705355,-0.4208
-0.44147027,-0.2372
-0.31935996,-0.1604
-0.339225,0.4995
-0.30603343,-0.0267
-0.29303616,-0.1201
-0.31304646,-0.2221
-0.31198633,0.1214
-0.35116667,-0.262
-0.4164306,-0.0722
-0.38404325,-0.601
-0.3318218,-0.5065
-0.34657216,-0.4495
-0.30318877,0.1305
-0.31374717,-0.2972
-0.30688936,0.3259
-0.31847396,-0.5121
-0.3383553,0.2095
-0.331701,0.3528
-0.3407883,-0.1602
-0.39809388,0.1139
