date,daily_volume,bin_num,bin_volume,spread,quote_imbalance
2020-09-01,19423458.0,0,62600.0,1.8069694087685662e-06,-0.12502361849946222
2020-09-01,19423458.0,1,1190054.0,0.00026321576572896355,0.026043294682682624
2020-09-01,19423458.0,2,1015060.0,0.0001408847805137725,-0.3887152999043432
2020-09-01,19423458.0,3,615649.0,0.00014605386444954682,0.015712950784097502
2020-09-01,19423458.0,4,401496.0,0.00010099867269741658,0.5202951024036676
2020-09-01,19423458.0,5,620300.0,8.033272216945164e-05,-0.08996835134344211
2020-09-01,19423458.0,6,617396.0,8.113469431814124e-05,-0.2670475519312729
2020-09-01,19423458.0,7,349203.0,8.732851048054435e-05,0.20329996467704992
2020-09-01,19423458.0,8,984144.0,5.875766436602703e-05,-0.6544942774150302
2020-09-01,19423458.0,9,1793683.0,0.00012723963834071483,-0.49984397218150506
2020-09-01,19423458.0,10,1835942.0,0.0001562591857560136,-0.03219659082534034
2020-09-01,19423458.0,11,1475256.0,0.00016633394762566311,-0.09959826305363287
2020-09-01,19423458.0,12,1353262.0,0.0001562044319518563,-0.5034727123705598
2020-09-01,19423458.0,13,776601.0,0.0001665125688152802,-0.48519769294364934
2020-09-01,19423458.0,14,444324.0,0.00010782837250378208,0.01497742137657287
2020-09-01,19423458.0,15,536918.0,0.00011992255420212317,-0.1782394721950993
2020-09-01,19423458.0,16,379928.0,5.827977642591797e-05,-0.04379011724384362
2020-09-01,19423458.0,17,583314.0,6.813762694046765e-05,0.29161088447594274
2020-09-01,19423458.0,18,652173.0,9.052029881506662e-05,-0.11146060244926134
2020-09-01,19423458.0,19,1050800.0,7.834893986080615e-05,-0.8789335176543474
2020-09-01,19423458.0,20,416904.0,5.493767004982608e-05,-0.37327441379899473
2020-09-01,19423458.0,21,454498.0,5.764571438282573e-05,-0.6639406037341166
2020-09-01,19423458.0,22,486642.0,7.522660668302095e-05,-0.1551944038691681
2020-09-01,19423458.0,23,571570.0,6.055734243970434e-05,-0.11519042944918356
2020-09-01,19423458.0,24,755741.0,4.296135042980431e-05,-0.038843699305194206
2020-09-02,14500848.0,0,99900.0,1.9531746051404397e-05,-0.002587345205381678
2020-09-02,14500848.0,1,1645600.0,0.0002965027315822155,0.21545854877872828
2020-09-02,14500848.0,2,1343919.0,0.00033331223058885584,0.2952162005570512
2020-09-02,14500848.0,3,869403.0,0.0001250386462783304,0.10026764124997693
2020-09-02,14500848.0,4,858077.0,0.00022645632374218572,-0.12663540229885056
2020-09-02,14500848.0,5,932512.0,0.00010820282488643862,0.13007029734970912
2020-09-02,14500848.0,6,626299.0,0.00015698241863160156,-0.09199691509274806
2020-09-02,14500848.0,7,463271.0,0.00013727802666996247,0.14960006367145529
2020-09-02,14500848.0,8,621530.0,8.53984595163837e-05,0.2825873392571334
2020-09-02,14500848.0,9,719950.0,0.00014308009033947577,-0.16823919535386475
2020-09-02,14500848.0,10,907400.0,0.00016300954201176054,-0.36150582096472134
2020-09-02,14500848.0,11,432219.0,0.0002828686227092092,-0.40561872558123235
2020-09-02,14500848.0,12,425300.0,9.956629767637892e-05,0.0020595908279555128
2020-09-02,14500848.0,13,359900.0,0.00010828247246053024,-0.03339613754121526
2020-09-02,14500848.0,14,446840.0,0.00011931818490906743,-0.06316643463106339
2020-09-02,14500848.0,15,347000.0,0.00019446002712597554,-0.023039329764952293
2020-09-02,14500848.0,16,291601.0,8.294630808802772e-05,0.2031304484934489
2020-09-02,14500848.0,17,295180.0,0.00012973602316490584,0.4182341453386782
2020-09-02,14500848.0,18,319000.0,0.00017807326767882437,-0.013536701620591039
2020-09-02,14500848.0,19,352590.0,0.0002092387318928246,0.2420169429468206
2020-09-02,14500848.0,20,461200.0,0.00014334751282940594,0.20362115983696885
2020-09-02,14500848.0,21,381510.0,0.00013029267373765308,-0.13537818688306183
2020-09-02,14500848.0,22,297978.0,0.0001782068500060241,0.09554384203829085
2020-09-02,14500848.0,23,415229.0,0.00011147098343733397,0.07740308927878801
2020-09-02,14500848.0,24,587440.0,0.0001345269810406613,0.24376149587851467
2020-09-03,12291789.0,0,162700.0,1.7507226546253918e-06,-0.038907190730432806
2020-09-03,12291789.0,1,1568788.0,0.00019513237954971174,0.00910217536089746
2020-09-03,12291789.0,2,1348845.0,0.00017216602814240645,0.3852744372800233
2020-09-03,12291789.0,3,690063.0,0.00017018380487354712,0.3030424770621813
2020-09-03,12291789.0,4,433312.0,0.00022113529912304308,0.06995701214922527
2020-09-03,12291789.0,5,364889.0,0.00020138447843853768,-0.34084310459474226
2020-09-03,12291789.0,6,475942.0,0.00017244661020354712,-0.16102488058050637
2020-09-03,12291789.0,7,403500.0,0.00021988539379358407,0.037496309418364335
2020-09-03,12291789.0,8,294465.0,0.0002618513725265448,0.03069670644993457
2020-09-03,12291789.0,9,318960.0,0.00023224240132679874,0.021143384994354922
2020-09-03,12291789.0,10,263465.0,0.00037519813578934524,-0.10658740495941864
2020-09-03,12291789.0,11,401935.0,0.00022351522808228275,-0.14035794093370643
2020-09-03,12291789.0,12,395365.0,0.00034631519445937897,0.22919295595984487
2020-09-03,12291789.0,13,568670.0,0.00030020355654092334,-0.576290288735066
2020-09-03,12291789.0,14,511100.0,0.0002244097564931824,-0.7287009961837736
2020-09-03,12291789.0,15,562800.0,0.00017174158815613794,0.17517331980593384
2020-09-03,12291789.0,16,374783.0,0.00014580482546588946,-0.22364347788079822
2020-09-03,12291789.0,17,265917.0,9.451076230138078e-05,-0.2511571236469268
2020-09-03,12291789.0,18,296918.0,5.775573217303709e-05,-0.16556149980852028
