,date,daily_volume,bin_num,bin_volume,spread,quote_imbalance,volatility
0,2020-09-01,728634685.0,0,12088700.0,7.336820801362443e-05,-0.0524524714050149,
1,2020-09-01,728634685.0,1,105230987.0,0.0009180298004196,-0.2075914664034851,
2,2020-09-01,728634685.0,2,52650593.0,0.0008978556933192,-0.1654767484601159,
3,2020-09-01,728634685.0,3,69485067.0,0.0008962287693863,-0.2241065967673793,
4,2020-09-01,728634685.0,4,43440941.0,0.0009028429373443,0.1120951666614628,
5,2020-09-01,728634685.0,5,29912820.0,0.0009039255859968,-0.0066914141646821,0.8660254037844387
6,2020-09-01,728634685.0,6,24130300.0,0.0009070009265219,0.3090752576797365,0.8660254037844386
7,2020-09-01,728634685.0,7,48414136.0,0.0009148746231788,0.1460596519356007,0.8660254037844386
8,2020-09-01,728634685.0,8,20923052.0,0.0009073020196643,-0.2983759411340177,0.8660254037844386
9,2020-09-01,728634685.0,9,25619005.0,0.0009073075371339,-0.3761447913944384,0.8660254037844386
10,2020-09-01,728634685.0,10,24361803.0,0.0009039011783145,-0.4203389566487955,0.8660254037844386
11,2020-09-01,728634685.0,11,8817251.0,0.0008979818677434,-0.136470176648971,0.8660254037844386
12,2020-09-01,728634685.0,12,19512960.0,0.0009067302711149,-0.4696660725528743,0.8660254037844387
13,2020-09-01,728634685.0,13,23463200.0,0.0009029356715199,-0.0320823682238756,0.8660254037844386
14,2020-09-01,728634685.0,14,12133437.0,0.0008990121438521,0.4694244222298622,0.8660254037844388
15,2020-09-01,728634685.0,15,16978700.0,0.0008974990856429,-0.3289436910421223,0.8660254037844386
16,2020-09-01,728634685.0,16,15301734.0,0.0008993224104751,0.4525783334766628,0.8660254037844386
17,2020-09-01,728634685.0,17,18211580.0,0.000902773916025,0.0485007726474146,0.8660254037844387
18,2020-09-01,728634685.0,18,18362900.0,0.0009042591418702,-0.0047562117958849,0.8660254037844388
19,2020-09-01,728634685.0,19,14277604.0,0.0009272230219292,0.5287461993744245,0.8660254037844387
20,2020-09-01,728634685.0,20,15865440.0,0.0009044984333148,0.2624611769914152,0.8660254037844386
21,2020-09-01,728634685.0,21,19457500.0,0.0009049035220378,0.4246781402743457,0.8660254037844387
22,2020-09-01,728634685.0,22,18515981.0,0.0009064608498137,0.4870388492786716,0.8660254037844387
23,2020-09-01,728634685.0,23,23982773.0,0.0009046457548786,-0.3271596387047492,0.8660254037844385
24,2020-09-01,728634685.0,24,47496221.0,0.0009008020463845,-0.1786611551123717,0.8660254037844386
25,2020-09-02,1407714025.0,0,4960630.0,7.204265395666098e-05,0.0515076074163303,0.8660254037844386
26,2020-09-02,1407714025.0,1,95024153.0,0.000904691176101,-0.0721401920575523,0.8660254037844386
27,2020-09-02,1407714025.0,2,137262768.0,0.0008897152454656,-0.4384034864183552,0.8660254037844387
28,2020-09-02,1407714025.0,3,106233073.0,0.0008848697935253,0.0541609088647941,0.8660254037844386
29,2020-09-02,1407714025.0,4,60507617.0,0.0008841057829505,0.5065867135799187,0.8660254037844386
30,2020-09-02,1407714025.0,5,53390021.0,0.0008821320971938,-0.0540370270398367,0.8660254037844386
31,2020-09-02,1407714025.0,6,127143483.0,0.000878734810777,-0.4032751735202856,0.8660254037844386
32,2020-09-02,1407714025.0,7,64616433.0,0.0008711704892141,-0.3183738249638692,0.8660254037844387
33,2020-09-02,1407714025.0,8,61711386.0,0.0008710087454575,0.1896149700700687,0.8660254037844386
34,2020-09-02,1407714025.0,9,69232536.0,0.0008798836588344,0.3445209666721069,0.8660254037844387
35,2020-09-02,1407714025.0,10,37250980.0,0.0008818587148393,0.3835615793712931,0.8660254037844386
36,2020-09-02,1407714025.0,11,28837850.0,0.0008798706551336,0.2727633117234361,0.8660254037844388
37,2020-09-02,1407714025.0,12,27127303.0,0.00087671326605,0.1128662144637771,0.8660254037844386
38,2020-09-02,1407714025.0,13,37379046.0,0.0008812260275321,0.4121830168193968,0.8660254037844385
39,2020-09-02,1407714025.0,14,34346059.0,0.0008717563162214,-0.4167713203373639,0.8660254037844388
40,2020-09-02,1407714025.0,15,20563278.0,0.0008776701489887,0.0896983341034691,0.8660254037844387
41,2020-09-02,1407714025.0,16,23296584.0,0.0008736095605059,0.3568167876440763,0.8660254037844387
42,2020-09-02,1407714025.0,17,16341731.0,0.0008735565677253,0.4266485573667529,0.8660254037844386
43,2020-09-02,1407714025.0,18,25836869.0,0.0008738564066159,0.2149163072789398,0.8660254037844386
44,2020-09-02,1407714025.0,19,27271631.0,0.0008734249095905,-0.2877419443603486,0.8660254037844386
45,2020-09-02,1407714025.0,20,46124943.0,0.0008713035778158,-0.4308613409040758,0.8660254037844386
46,2020-09-02,1407714025.0,21,161992878.0,0.0008715024495919,-0.4669403417967364,0.8660254037844387
47,2020-09-02,1407714025.0,22,51612908.0,0.0008881877677857,0.0519298271091873,0.8660254037844388
48,2020-09-02,1407714025.0,23,47915777.0,0.0008710544819041,0.0137425199591125,0.8660254037844386
49,2020-09-02,1407714025.0,24,41734088.0,0.0008658863618666,-0.1393386929765591,0.8660254037844386
50,2020-09-03,1129520561.0,0,12604600.0,7.019243879469172e-05,-0.0212240719162803,0.8660254037844388
51,2020-09-03,1129520561.0,1,133187738.0,0.0008955337316354,0.2485240531132369,0.8660254037844388
52,2020-09-03,1129520561.0,2,112479483.0,0.0008880667192467,0.5689851596689504,0.8660254037844388
53,2020-09-03,1129520561.0,3,50412302.0,0.0008887303170266,0.2919713832732706,0.8660254037844386
