date,daily_volume,bin_num,bin_volume
2020-09-07,25717114900.0,24,1481216200.0
2020-09-08,26774684000.0,0,153099100.0
2020-09-08,26774684000.0,1,2493165600.0
2020-09-08,26774684000.0,2,2108290000.0
2020-09-08,26774684000.0,3,1328264400.0
2020-09-08,26774684000.0,4,1262196800.0
2020-09-08,26774684000.0,5,1149608600.0
2020-09-08,26774684000.0,6,934477300.0
2020-09-08,26774684000.0,7,1028017800.0
2020-09-08,26774684000.0,8,783934100.0
2020-09-08,26774684000.0,9,1112573000.0
2020-09-08,26774684000.0,10,1133533300.0
2020-09-08,26774684000.0,11,915468400.0
2020-09-08,26774684000.0,12,718893100.0
2020-09-08,26774684000.0,13,1000423700.0
2020-09-08,26774684000.0,14,861790100.0
2020-09-08,26774684000.0,15,874163300.0
2020-09-08,26774684000.0,16,940470000.0
2020-09-08,26774684000.0,17,1231245100.0
2020-09-08,26774684000.0,18,1185273700.0
2020-09-08,26774684000.0,19,897668900.0
2020-09-08,26774684000.0,20,871811100.0
2020-09-08,26774684000.0,21,831223000.0
2020-09-08,26774684000.0,22,796818000.0
2020-09-08,26774684000.0,23,816020200.0
2020-09-08,26774684000.0,24,1346255400.0
2020-09-09,34731531000.0,0,358053300.0
2020-09-09,34731531000.0,1,4569566200.0
2020-09-09,34731531000.0,2,2994845700.0
2020-09-09,34731531000.0,3,2760948600.0
2020-09-09,34731531000.0,4,2220238600.0
2020-09-09,34731531000.0,5,1809237500.0
2020-09-09,34731531000.0,6,1612588000.0
2020-09-09,34731531000.0,7,2070700600.0
2020-09-09,34731531000.0,8,1409960800.0
2020-09-09,34731531000.0,9,947919500.0
2020-09-09,34731531000.0,10,928532200.0
2020-09-09,34731531000.0,11,688553100.0
2020-09-09,34731531000.0,12,699598100.0
2020-09-09,34731531000.0,13,903425300.0
2020-09-09,34731531000.0,14,749479600.0
2020-09-09,34731531000.0,15,693857500.0
2020-09-09,34731531000.0,16,674118100.0
2020-09-09,34731531000.0,17,720001900.0
2020-09-09,34731531000.0,18,605110700.0
2020-09-09,34731531000.0,19,761946000.0
2020-09-09,34731531000.0,20,540376200.0
2020-09-09,34731531000.0,21,1057616500.0
2020-09-09,34731531000.0,22,1061640300.0
2020-09-09,34731531000.0,23,1766677900.0
2020-09-09,34731531000.0,24,2126538800.0
2020-09-10,30894097700.0,0,394093000.0
2020-09-10,30894097700.0,1,4464312000.0
2020-09-10,30894097700.0,2,2483208300.0
2020-09-10,30894097700.0,3,2146312100.0
2020-09-10,30894097700.0,4,1697547200.0
2020-09-10,30894097700.0,5,1155239800.0
2020-09-10,30894097700.0,6,1711139400.0
2020-09-10,30894097700.0,7,924315900.0
2020-09-10,30894097700.0,8,690253900.0
2020-09-10,30894097700.0,9,628668600.0
2020-09-10,30894097700.0,10,673393900.0
2020-09-10,30894097700.0,11,771928200.0
2020-09-10,30894097700.0,12,653258700.0
2020-09-10,30894097700.0,13,1014995700.0
2020-09-10,30894097700.0,14,1065628300.0
2020-09-10,30894097700.0,15,694535100.0
2020-09-10,30894097700.0,16,631177000.0
2020-09-10,30894097700.0,17,596742100.0
2020-09-10,30894097700.0,18,719435100.0
2020-09-10,30894097700.0,19,793151400.0
2020-09-10,30894097700.0,20,1162726700.0
2020-09-10,30894097700.0,21,1096086700.0
2020-09-10,30894097700.0,22,1633607400.0
2020-09-10,30894097700.0,23,1629774300.0
2020-09-10,30894097700.0,24,1462566900.0
2020-09-11,21820441000.0,0,264704000.0
2020-09-11,21820441000.0,1,3012446300.0
2020-09-11,21820441000.0,2,2082705800.0
2020-09-11,21820441000.0,3,1334619300.0
2020-09-11,21820441000.0,4,1048948500.0
2020-09-11,21820441000.0,5,900262300.0
2020-09-11,21820441000.0,6,802666400.0
2020-09-11,21820441000.0,7,706746600.0
2020-09-11,21820441000.0,8,707889900.0
2020-09-11,21820441000.0,9,745690600.0
2020-09-11,21820441000.0,10,584744000.0
2020-09-11,21820441000.0,11,568003500.0
2020-09-11,21820441000.0,12,476924600.0
2020-09-11,21820441000.0,13,612764000.0
2020-09-11,21820441000.0,14,629718200.0
2020-09-11,21820441000.0,15,508677400.0
2020-09-11,21820441000.0,16,572731500.0
2020-09-11,21820441000.0,17,576230400.0
2020-09-11,21820441000.0,18,617293000.0
2020-09-11,21820441000.0,19,567878500.0
2020-09-11,21820441000.0,20,750801800.0
2020-09-11,21820441000.0,21,740384800.0
2020-09-11,21820441000.0,22,870280900.0
2020-09-11,21820441000.0,23,840061200.0
2020-09-11,21820441000.0,24,1297267500.0
2020-09-14,20918271234.000004,0,107447164.2000018
2020-09-14,20918271234.000004,1,2756676869.800001
2020-09-14,20918271234.000004,2,1634478600.0
2020-09-14,20918271234.000004,3,1319432400.0
2020-09-14,20918271234.000004,4,1134961100.0
2020-09-14,20918271234.000004,5,1172704600.0
2020-09-14,20918271234.000004,6,1001077300.0
2020-09-14,20918271234.000004,7,803327300.0
2020-09-14,20918271234.000004,8,700426900.0
2020-09-14,20918271234.000004,9,699202900.0
2020-09-14,20918271234.000004,10,746371700.0
2020-09-14,20918271234.000004,11,493233800.0
2020-09-14,20918271234.000004,12,485359700.0
2020-09-14,20918271234.000004,13,643078700.0
2020-09-14,20918271234.000004,14,641005300.0
2020-09-14,20918271234.000004,15,572188000.0
2020-09-14,20918271234.000004,16,698422200.0
2020-09-14,20918271234.000004,17,665673400.0
2020-09-14,20918271234.000004,18,491367900.0
2020-09-14,20918271234.000004,19,616238200.0
2020-09-14,20918271234.000004,20,541980900.0
2020-09-14,20918271234.000004,21,518898600.0
2020-09-14,20918271234.000004,22,577871000.0
2020-09-14,20918271234.000004,23,737442700.0
2020-09-14,20918271234.000004,24,1159404000.0
2020-09-15,19398797169.8,0,109171973.00000079
2020-09-15,19398797169.8,1,2166405696.8
2020-09-15,19398797169.8,2,1473353000.0
2020-09-15,19398797169.8,3,1157678500.0
2020-09-15,19398797169.8,4,1074909800.0
2020-09-15,19398797169.8,5,855759000.0
2020-09-15,19398797169.8,6,860480900.0
2020-09-15,19398797169.8,7,767533800.0
2020-09-15,19398797169.8,8,711400500.0
2020-09-15,19398797169.8,9,592414600.0
2020-09-15,19398797169.8,10,518181700.0
2020-09-15,19398797169.8,11,455911500.0
2020-09-15,19398797169.8,12,569294300.0
2020-09-15,19398797169.8,13,590751500.0
2020-09-15,19398797169.8,14,629285800.0
2020-09-15,19398797169.8,15,621224300.0
2020-09-15,19398797169.8,16,636078500.0
2020-09-15,19398797169.8,17,775550600.0
2020-09-15,19398797169.8,18,594229700.0
2020-09-15,19398797169.8,19,608717200.0
2020-09-15,19398797169.8,20,596448500.0
2020-09-15,19398797169.8,21,556988600.0
2020-09-15,19398797169.8,22,647318300.0
2020-09-15,19398797169.8,23,751063300.0
2020-09-15,19398797169.8,24,1078645600.0
2020-09-16,19759564164.2,0,107447164.2000018
2020-09-16,19759564164.2,1,2000867700.0
2020-09-16,19759564164.2,2,1715406200.0
2020-09-16,19759564164.2,3,1362561600.0
2020-09-16,19759564164.2,4,1619604800.0
2020-09-16,19759564164.2,5,1124317900.0
2020-09-16,19759564164.2,6,953211100.0
2020-09-16,19759564164.2,7,878192900.0
2020-09-16,19759564164.2,8,783895200.0
2020-09-16,19759564164.2,9,700564400.0
2020-09-16,19759564164.2,10,542392100.0
2020-09-16,19759564164.2,11,405965800.0
2020-09-16,19759564164.2,12,450201900.0
2020-09-16,19759564164.2,13,636674500.0
2020-09-16,19759564164.2,14,480311200.0
2020-09-16,19759564164.2,15,450871200.0
2020-09-16,19759564164.2,16,419210000.0
2020-09-16,19759564164.2,17,485166800.0
2020-09-16,19759564164.2,18,512531800.0
2020-09-16,19759564164.2,19,536968900.0
2020-09-16,19759564164.2,20,881301700.0
2020-09-16,19759564164.2,21,589549700.0
2020-09-16,19759564164.2,22,549363300.0
2020-09-16,19759564164.2,23,618131700.0
2020-09-16,19759564164.2,24,954854600.0
2020-09-17,19964818380.400005,0,95287608.7000018
2020-09-17,19964818380.400005,1,1919670271.700004
2020-09-17,19964818380.400005,2,1550247400.0
2020-09-17,19964818380.400005,3,1244275600.0
2020-09-17,19964818380.400005,4,925043900.0
2020-09-17,19964818380.400005,5,812541900.0
2020-09-17,19964818380.400005,6,669636800.0
2020-09-17,19964818380.400005,7,744306400.0
2020-09-17,19964818380.400005,8,627959900.0
2020-09-17,19964818380.400005,9,632422100.0
2020-09-17,19964818380.400005,10,516076300.0
2020-09-17,19964818380.400005,11,640850100.0
2020-09-17,19964818380.400005,12,810272300.0
2020-09-17,19964818380.400005,13,575801500.0
2020-09-17,19964818380.400005,14,469034800.0
2020-09-17,19964818380.400005,15,544244400.0
2020-09-17,19964818380.400005,16,573001000.0
2020-09-17,19964818380.400005,17,730844600.0
2020-09-17,19964818380.400005,18,859500300.0
2020-09-17,19964818380.400005,19,1104064100.0
2020-09-17,19964818380.400005,20,838767600.0
2020-09-17,19964818380.400005,21,656659000.0
2020-09-17,19964818380.400005,22,628563400.0
2020-09-17,19964818380.400005,23,732976700.0
2020-09-17,19964818380.400005,24,1062770400.0
2020-09-18,24841701364.100002,0,91447164.10000318
2020-09-18,24841701364.100002,1,2022538200.0
2020-09-18,24841701364.100002,2,1522756100.0
2020-09-18,24841701364.100002,3,1474440200.0
2020-09-18,24841701364.100002,4,1047114500.0
2020-09-18,24841701364.100002,5,831968700.0
2020-09-18,24841701364.100002,6,894522800.0
2020-09-18,24841701364.100002,7,692912200.0
2020-09-18,24841701364.100002,8,545338300.0
2020-09-18,24841701364.100002,9,600290300.0
2020-09-18,24841701364.100002,10,491698100.0
2020-09-18,24841701364.100002,11,502091700.0
2020-09-18,24841701364.100002,12,542682200.0
2020-09-18,24841701364.100002,13,619573800.0
2020-09-18,24841701364.100002,14,1110106800.0
2020-09-18,24841701364.100002,15,1425808800.0
2020-09-18,24841701364.100002,16,1314717100.0
2020-09-18,24841701364.100002,17,831208000.0
2020-09-18,24841701364.100002,18,723247800.0
