date,daily_volume,bin_num,bin_volume,quote_imbalance,volatility
2020-09-01,84352268,0,1481713,-0.2749536952677185,
2020-09-01,84352268,1,7773910,-0.5673043830367538,
2020-09-01,84352268,2,3745520,0.6362909486975449,
2020-09-01,84352268,3,6799907,0.3483699175678982,
2020-09-01,84352268,4,3266740,0.39950614582225424,
2020-09-01,84352268,5,4798900,-0.5209694253142477,0.010766013822698263
2020-09-01,84352268,6,2273110,0.09582882486731377,0.005344057604904105
2020-09-01,84352268,7,4927045,-0.589290313380811,0.005344506784494975
2020-09-01,84352268,8,2950620,0.7638508816377763,0.0025030384077827975
2020-09-01,84352268,9,2062522,-0.12401159310663776,0.002330026519502336
2020-09-01,84352268,10,3480400,0.5555918752250931,0.003640246296414597
2020-09-01,84352268,11,1863250,-0.2627695633330731,0.003639529145671501
2020-09-01,84352268,12,1266300,-0.30891421906753996,0.0035873496702962665
2020-09-01,84352268,13,2344970,0.7100693586672014,0.003638811570744888
2020-09-01,84352268,14,2613449,0.7204181536209922,0.003638811570744888
2020-09-01,84352268,15,3101738,0.4801997756632404,0.00423448788436226
2020-09-01,84352268,16,1779384,-0.18472494945126924,0.004266101751918986
2020-09-01,84352268,17,2541479,-0.20626204332864512,0.004266101751918986
2020-09-01,84352268,18,1814137,-0.5346870490318436,0.0036881782941315996
2020-09-01,84352268,19,5273049,0.38306546174691164,0.003682699854736936
2020-09-01,84352268,20,3250352,0.14275996081728906,0.0055673427517178254
2020-09-01,84352268,21,4211452,0.6996987851207007,0.005567543156043412
2020-09-01,84352268,22,2464913,0.8438696760436509,0.005553424206331816
2020-09-01,84352268,23,3022971,-0.49083937271370726,0.005328535576594021
2020-09-01,84352268,24,5244437,-0.08880850430462005,0.002330026519502336
2020-09-02,99056659,0,303900,-0.08377784656025257,0.0036341860990932342
2020-09-02,99056659,1,6100427,0.46703384123290953,0.0036830566027709153
2020-09-02,99056659,2,3442675,0.7846824171941613,0.003681347474196464
2020-09-02,99056659,3,3588413,0.21303770941612613,0.0036799845268980116
2020-09-02,99056659,4,3891741,0.3855734562217179,0.00248544227844001
2020-09-02,99056659,5,4058124,0.0706612703914415,0.0036799845268980116
2020-09-02,99056659,6,2753332,0.8589639545788359,0.0036810023615669097
2020-09-02,99056659,7,4314802,-0.8549120237133666,0.00363239765093688
2020-09-02,99056659,8,2746298,0.7850321570233897,0.0036327505229657216
2020-09-02,99056659,9,6244828,0.574154058594487,0.0036327505229657216
2020-09-02,99056659,10,4179400,0.6830343497687401,0.005569409690175884
2020-09-02,99056659,11,2779596,-0.1974718135648868,0.00558370736040717
2020-09-02,99056659,12,2023608,-0.057468923472868895,0.007667817166064178
2020-09-02,99056659,13,2411538,-0.13270512517278432,0.0075860190933220994
2020-09-02,99056659,14,3208747,-0.3000179631874235,0.007087807176499234
2020-09-02,99056659,15,2804250,-0.32626557993766964,0.0070808333663930105
2020-09-02,99056659,16,2504082,-0.19749088302155254,0.0036327505229657216
2020-09-02,99056659,17,9649369,0.3177187538786116,0.004227245752574434
2020-09-02,99056659,18,5577457,-0.6557913021231435,0.01061031535669204
2020-09-02,99056659,19,3056602,0.44991184275105583,0.010641677619117941
2020-09-02,99056659,20,9172850,-0.04309825924095423,0.010609416855944827
2020-09-02,99056659,21,5298380,0.6096083012116715,0.01060851812686025
2020-09-02,99056659,22,3215371,0.407733451803786,0.0057135653638153705
2020-09-02,99056659,23,3338197,0.17334636335041378,0.005500162611758367
2020-09-02,99056659,24,2392672,-0.13125365714646411,0.005717856571154446
2020-09-03,90453970,0,304700,0.3757837379442676,0.005722138138634193
2020-09-03,90453970,1,6804270,-0.18638123613470758,0.004634068213786783
2020-09-03,90453970,2,7784499,0.4288255635240573,0.004979630364554506
2020-09-03,90453970,3,6801176,-0.5841258306577717,0.004657768196954558
2020-09-03,90453970,4,8173500,0.26454680662780244,0.0046498181666523395
2020-09-03,90453970,5,3293860,-0.546591080892856,0.004239738231713788
2020-09-03,90453970,6,2216000,0.41570038020371547,0.003656900945327821
2020-09-03,90453970,7,2304650,0.4376598419251212,0.0036073021243037883
2020-09-03,90453970,8,3071150,0.012698836673135032,0.00208267898177184
2020-09-03,90453970,9,3382600,0.6829472299607295,0.0020863328204648477
2020-09-03,90453970,10,2338905,0.4667634797178867,0.003574351685497881
2020-09-03,90453970,11,8929067,0.1063286123981639,0.003626361065231654
2020-09-03,90453970,12,2193125,0.14593177301551175,0.005581651993825072
2020-09-03,90453970,13,2659938,-0.3614331315656907,0.005784038942854194
2020-09-03,90453970,14,1577804,-0.16958300553010733,0.005588367033366808
2020-09-03,90453970,15,1917105,-0.31321049210468577,0.005788374764504791
2020-09-03,90453970,16,1467407,-0.13374931550672803,0.004685382220328644
2020-09-03,90453970,17,1496465,0.3624618807213101,0.004273431423102529
2020-09-03,90453970,18,3619317,-0.15199380072541435,0.004273210813897845
2020-09-03,90453970,19,3395018,0.5762177489253059,0.004273210813897845
2020-09-03,90453970,20,1693476,0.5393668336631721,0.003644540285458086
2020-09-03,90453970,21,3274145,0.7952128072683841,0.003593327655030106
2020-09-03,90453970,22,3257655,0.28675800864371886,0.003594072813891036
2020-09-03,90453970,23,4257674,-0.15566055822626276,0.0036000701332666958
2020-09-03,90453970,24,4240464,0.06499039172928316,0.003652436601230756
2020-09-04,91772427,0,2128788,0.19781523054622804,0.004285260723256665
2020-09-04,91772427,1,15230112,-0.1700906633537097,0.019706952164175694
2020-09-04,91772427,2,6420225,-0.1398500742874172,0.019729734963908386
2020-09-04,91772427,3,3687800,-0.37679218198818093,0.019729749215051336
2020-09-04,91772427,4,4880785,-0.4762524718838025,0.019724902849520543
2020-09-04,91772427,5,2558120,-0.11828592762296108,0.005442915544406391
2020-09-04,91772427,6,2992815,-0.5059824847438545,0.002136940584007094
2020-09-04,91772427,7,3079800,0.704877003906594,0.0017969456767017444
2020-09-04,91772427,8,1241500,0.7282107950348925,0.0
2020-09-04,91772427,9,2139585,0.7041458688827742,0.0
2020-09-04,91772427,10,2372018,0.790778538965007,0.0
2020-09-04,91772427,11,3646807,-0.4503896068015635,0.0018001805041478747
2020-09-04,91772427,12,1319206,-0.35567317788404745,0.0018001805041478747
2020-09-04,91772427,13,4784700,0.4466280365491726,0.0018001805041478747
2020-09-04,91772427,14,1363800,0.034673701684813235,0.0018001805041478747
2020-09-04,91772427,15,2495250,0.71468206006247,0.0018034269991504814
2020-09-04,91772427,16,2048270,0.6015310351178536,0.0018034269991504814
2020-09-04,91772427,17,3337472,-0.2502385083894831,0.0018034269991504814
2020-09-04,91772427,18,1739547,0.885772424939373,0.002144648218777759
2020-09-04,91772427,19,2218480,0.1986915436375166,0.0018034269991504814
2020-09-04,91772427,20,1989140,0.38218480912471037,0.002144648218777759
2020-09-04,91772427,21,4223425,-0.19199618209881597,0.0037116681151461877
2020-09-04,91772427,22,3764085,-0.09735104449756825,0.0036588344618117947
2020-09-04,91772427,23,6923888,0.3305129123812233,0.003711296669444604
2020-09-04,91772427,24,5186809,-0.5475908809369835,0.00371092511218092
2020-09-07,110208480,0,418285,0.2430810053729415,0.0023677542398882227
2020-09-07,110208480,1,6225592,-0.2345200403231818,0.003755214192144963
2020-09-07,110208480,2,4029775,-0.2230748189087316,0.003755214192144963
2020-09-07,110208480,3,5262800,0.29292720851575044,0.003754858736002371
2020-09-07,110208480,4,3463992,0.4258068228179881,0.0043430560770259035
2020-09-07,110208480,5,2303640,-0.22860318629304946,0.003755572759880362
2020-09-07,110208480,6,3244175,-0.2952723498756529,0.00370499511596203
2020-09-07,110208480,7,6245023,-0.7036786689631208,0.0036526432103770193
2020-09-07,110208480,8,1875500,-0.3809313185169135,0.0021465881941954957
2020-09-07,110208480,9,4045295,0.4746727646653263,0.0018066852249489784
2020-09-07,110208480,10,3202435,-0.5483828433305357,0.0018066852249489784
2020-09-07,110208480,11,4346735,0.020199761263936716,0.0021485229240796166
2020-09-07,110208480,12,1443175,-0.23215750337793978,0.0021465881941954957
2020-09-07,110208480,13,3374100,0.28936913279408216,0.0023734562733328307
2020-09-07,110208480,14,3339677,0.15763215930939234,0.0037623405485283984
2020-09-07,110208480,15,3605020,-0.6718912704203988,0.003711296669444604
2020-09-07,110208480,16,2233293,-0.19287093071093778,0.0036584466881470225
2020-09-07,110208480,17,1295915,0.17070764623856088,0.003603607503298356
2020-09-07,110208480,18,1355590,-0.2725541525768041,0.0018066852249489784
2020-09-07,110208480,19,4734893,0.0911711817145839,0.0018066852249489784
2020-09-07,110208480,20,8444654,0.5264050287507822,0.0036779399449885656
2020-09-07,110208480,21,7316718,-0.498139983726133,0.003731473613157145
2020-09-07,110208480,22,10865092,0.10072529766701814,0.004353909977750461
2020-09-07,110208480,23,10331815,-0.7045965201748987,0.012898081540217519
2020-09-07,110208480,24,7205291,0.17005046928435774,0.01434138205423371
2020-09-08,76356468,0,235245,0.1293634275552489,0.014580359042910645
2020-09-08,76356468,1,7246681,-0.24028337420095539,0.014566132362684192
2020-09-08,76356468,2,5601280,-0.21655416945951336,0.011681727572120621
2020-09-08,76356468,3,3569429,0.33176396451386275,0.007863369096755267
2020-09-08,76356468,4,2112384,0.22116775763853053,0.005526337290312046
2020-09-08,76356468,5,2116900,0.6365614836441954,0.005542869061877472
2020-09-08,76356468,6,2235180,0.6847820175845167,0.002176042903600548
2020-09-08,76356468,7,2795585,-0.4152044611092084,0.005542869061877472
2020-09-08,76356468,8,1448916,-0.0840840565005193,0.0057790804945614385
2020-09-08,76356468,9,1370848,0.7806151885901539,0.00577918726501053
2020-09-08,76356468,10,1498947,-0.7973038454807572,0.005793759257376182
2020-09-08,76356468,11,2582600,-0.6726817865056696,0.0037851879694808786
2020-09-08,76356468,12,1531150,-0.2543820474075623,0.0021800319853996133
2020-09-08,76356468,13,3149693,0.33009966370051036,0.0018331810816609728
2020-09-08,76356468,14,3374135,0.10692171187402426,0.0
2020-09-08,76356468,15,3761569,-0.3351483861190028,0.005489492284771469
2020-09-08,76356468,16,6321915,-0.3809808879335701,0.005506113602879795
2020-09-08,76356468,17,7266260,0.2257748419697727,0.005751132172233069
2020-09-08,76356468,18,4564250,0.44969802370514766,0.006656486652624445
2020-09-08,76356468,19,3158000,0.300990762033619,0.005917612692201851
2020-09-08,76356468,20,2005530,-0.09804920175287382,0.005917230831313145
2020-09-08,76356468,21,2089985,0.590578603593459,0.005914187273541159
2020-09-08,76356468,22,1959986,0.23242287762877187,0.004370810307727531
2020-09-08,76356468,23,1793700,-0.43652597538710686,0.003782427256083908
2020-09-08,76356468,24,2566300,-0.21966432912937264,0.0037827877793198813
2020-09-09,75362306,0,448700,0.17472022786480274,0.0023863542584550623
2020-09-09,75362306,1,8480501,0.48029090199409447,0.012764851018086774
2020-09-09,75362306,2,8417120,-0.6542670960430012,0.012871360641646944
2020-09-09,75362306,3,5140771,-0.21068957816712838,0.01287139808508518
2020-09-09,75362306,4,3510445,0.3575065574562194,0.013189775003852391
2020-09-09,75362306,5,2183700,0.28871755555027856,0.00790869442852909
2020-09-09,75362306,6,2691100,-0.6574561458973371,0.00741014892738504
2020-09-09,75362306,7,6465100,-0.01035027430877996,0.0074033015351936925
2020-09-09,75362306,8,4429002,-0.61205840248008,0.007441481370864453
