date,daily_volume,bin_num,bin_volume,quote_imbalance,volatility
2020-09-01,36083097,0,269600,-0.46787406967199424,
2020-09-01,36083097,1,4074940,0.1494431568379878,
2020-09-01,36083097,2,1383700,0.5920678744263724,
2020-09-01,36083097,3,2900043,0.3361697942666088,
2020-09-01,36083097,4,1601400,0.27306066104808896,
2020-09-01,36083097,5,1496274,0.8387965870593207,0.005967057593412278
2020-09-01,36083097,6,2038218,0.05678017962106653,0.005336144411666601
2020-09-01,36083097,7,1867770,-0.032747138042209904,0.005139052251928066
2020-09-01,36083097,8,2878029,-0.6323999630203472,0.003928888392094735
2020-09-01,36083097,9,1580069,0.4994915916730924,0.00829326423826475
2020-09-01,36083097,10,754900,0.20013115311670915,0.00829293614998753
2020-09-01,36083097,11,634771,-0.2600591889904845,0.008296069316463433
2020-09-01,36083097,12,889129,0.5760004898398263,0.00824785178117706
2020-09-01,36083097,13,1229082,0.4031440044236726,0.0034121732355233397
2020-09-01,36083097,14,919100,0.3810952425694345,0.0021533835824620005
2020-09-01,36083097,15,927100,-0.4169764486293295,0.0021545586864910827
2020-09-01,36083097,16,1319407,-0.1889362417077221,0.002154558686491083
2020-09-01,36083097,17,791247,0.16146574923199566,0.0019463328500614414
2020-09-01,36083097,18,685107,-0.5098562579917412,0.0033711443746993323
2020-09-01,36083097,19,722193,0.5399555030567754,0.003922626026957565
2020-09-01,36083097,20,949479,0.5036540196219592,0.0043079384224525155
2020-09-01,36083097,21,1181200,0.41574856060230164,0.004330420624689977
2020-09-01,36083097,22,1491400,0.8150357800366842,0.003923016699120325
2020-09-01,36083097,23,1509449,-0.06146420825569447,0.003372379897629087
2020-09-01,36083097,24,1989490,-0.05687516804026706,0.004952281133283229
2020-09-02,69724211,0,170400,-0.16352636197403406,0.005158847154369232
2020-09-02,69724211,1,5348195,0.5300776068172756,0.005171736496664492
2020-09-02,69724211,2,3184626,0.2890099670109936,0.014869228797415994
2020-09-02,69724211,3,3433153,0.2742188546827532,0.014833731876406393
2020-09-02,69724211,4,2099244,-0.20133478431211402,0.014825578347853573
2020-09-02,69724211,5,3265756,0.12959796310795832,0.014825033211627564
2020-09-02,69724211,6,3321118,-0.2239610889152919,0.005251930999987356
2020-09-02,69724211,7,1779180,0.5639189974846485,0.005043204167522972
2020-09-02,69724211,8,4058615,0.3463213432987355,0.005028148014127699
2020-09-02,69724211,9,4551400,0.25937562915498935,0.007205469539575193
2020-09-02,69724211,10,3278500,0.7700651128440066,0.006740489443872196
2020-09-02,69724211,11,2657619,-0.13609391454820083,0.00674071023479902
2020-09-02,69724211,12,1564454,-0.449636549012967,0.007222936745661215
2020-09-02,69724211,13,1658110,0.5570292968847547,0.005094169958281545
2020-09-02,69724211,14,1530394,-0.11704374072286032,0.005109242472321534
2020-09-02,69724211,15,3285606,0.3361834566819532,0.005093860443361194
2020-09-02,69724211,16,3729000,0.6396225778667027,0.00676972131927764
2020-09-02,69724211,17,5041000,0.41184367556045687,0.00724421999081596
2020-09-02,69724211,18,1977949,0.07627064019900154,0.007632958970055842
2020-09-02,69724211,19,1845500,-0.2710876517340572,0.007632958970055842
2020-09-02,69724211,20,2160169,0.32235068856307364,0.006025442110338395
2020-09-02,69724211,21,2584115,0.15805518020438997,0.005076928364822535
2020-09-02,69724211,22,1794800,0.565988064242226,0.0022087995173005505
2020-09-02,69724211,23,2627808,0.7158533508173172,0.003503174690951019
2020-09-02,69724211,24,2777500,0.32702446336080204,0.0034559887892583975
2020-09-03,44863022,0,403600,-0.20300851282940668,0.0034559887892583975
2020-09-03,44863022,1,4712905,0.047337372304435216,0.00848043556797673
2020-09-03,44863022,2,3327800,0.652896872053137,0.00843140505738647
2020-09-03,44863022,3,3364633,0.12276796632295742,0.008485583694576344
2020-09-03,44863022,4,5748699,-0.04673026179712276,0.008482328191396146
2020-09-03,44863022,5,2795731,-0.571174492493252,0.0068888372100762135
2020-09-03,44863022,6,1357487,0.20909364731778068,0.006882538977607871
2020-09-03,44863022,7,917144,0.20382346618710576,0.006786365562644684
2020-09-03,44863022,8,1193200,0.8739362436942225,0.006792979477518369
2020-09-03,44863022,9,796600,-0.32643087392631176,0.0022337931049197673
2020-09-03,44863022,10,959300,0.8164896314249722,0.0022337931049197673
2020-09-03,44863022,11,2064334,0.7517886091632802,0.00350202141156929
2020-09-03,44863022,12,2883263,-0.33399778240663314,0.003503014775102181
2020-09-03,44863022,13,975069,-0.6527333211966831,0.0034538293246493585
2020-09-03,44863022,14,797531,0.12181726747347135,0.0034538293246493585
2020-09-03,44863022,15,866669,-0.3024376692930006,0.0020293678635135075
2020-09-03,44863022,16,972520,0.33245605901443154,0.0034652682479793446
2020-09-03,44863022,17,997900,0.1912613533611851,0.0034652682479793446
2020-09-03,44863022,18,1196350,-0.34222069520487086,0.0034652682479793446
2020-09-03,44863022,19,1224054,-0.38498849214176367,0.003464575434186305
2020-09-03,44863022,20,1658234,-0.37440142667886406,0.0020241828121204545
2020-09-03,44863022,21,1579934,-0.7766009826977532,0.0020241828121204545
2020-09-03,44863022,22,768622,0.6282679341981512,0.003503340071693008
2020-09-03,44863022,23,1148519,0.257319653029738,0.003503009146208387
2020-09-03,44863022,24,2152924,-0.160100373469324,0.003503009146208387
2020-09-04,58185460,0,951700,-0.16970125125707047,0.005360809769088461
2020-09-04,58185460,1,6413042,0.2807594009665717,0.027501462076025576
2020-09-04,58185460,2,3886306,0.5095013191041798,0.027503120953018344
2020-09-04,58185460,3,1842873,0.3372394597051246,0.027504754589951563
